site,Genus,Species,Family,Genus_species,dry.mg,leafarea(m2),d13c,C(%),d15N,N(%),SLA,LMA_g_m2,Narea_g_m2,ci_ca,Nfixer,leafless,longitude (deg),latitude (deg),elevation (m),growing degree days,moisture index,PET (mm),AET (mm),MAT (C),MAP (mm),mean vapor pressure deficit (kPa)
NTABRT0004,Ptilotus,obovatus,Amaranthaceae,Ptilotus obovatus,301.03,0.002611912,-27.21,42.57017344,4.47,3.945934256,0.008676585,115.2527181,4.547796461,0.67950753,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Solanum,ellipticum,Solanaceae,Solanum ellipticum,364.72,0.003094586,-29.21,43.25271652,3.67,3.585552297,0.008484828,117.8574337,4.225839695,0.770423137,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Corymbia,opaca,Myrtaceae,Corymbia opaca,2004.11,0.007396316,-27.25,49.10317983,-0.06,1.171152416,0.003690574,270.9605599,3.173361152,0.681697375,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Acacia,aptaneura,Fabaceae,Acacia aptaneura,1562.08,0.003643642,-27.79,51.06874893,0.79,1.790417732,0.002332558,428.7139216,7.6757694,0.693055673,yes,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Eremophila,longifolia,Myoporaceae,Eremophila longifolia,1024.49,0.005756613,-27.51,49.83848509,3.12,2.513289147,0.005619004,177.9674987,4.472837441,0.679732967,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Hakea,divaricata,Proteaceae,Hakea divaricata,557.88,0.002434806,-27.24,47.2189292,1.54,2.352196299,0.004364391,229.1270633,5.389517802,0.680485714,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Eremophila,latrobei,Myoporaceae,Eremophila latrobei subsp. glabra,356.53,0.001601261,-27.68,46.78787405,3.49,3.161463878,0.004491238,222.6557765,7.039181353,0.700997354,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Acacia,aneura,Fabaceae,Acacia aneura,855.03,0.001613442,-27.58,49.19960097,0,1.676173605,0.001887,529.9416469,8.882743005,0.696189519,yes,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Rutidosis,helichrysoides,Asteraceae,Rutidosis helichrysoides,174.18,0.00184728,-28.09,44.74461652,1.2,3.930767857,0.010605578,94.29000629,3.706321199,0.706056579,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Rhagodia,eremaea,Rhagodidae,Rhagodia eremaea,79.51,7.6669e-4,-29.39,38.89348994,4.5,4.337200366,0.009642692,103.7054789,4.497914448,0.781363873,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. artemisioides,228.79,0.00129099,-29.04,47.61118998,2.65,2.453496209,0.005642686,177.2205794,4.348099839,0.747237809,yes,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Sida,platycalyx,Malvaceae,Sida platycalyx,89.81,8.62818e-4,-30.32,41.88888795,1.98,4.912915959,0.009607149,104.0891577,5.113812598,0.82245835,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Aristida,holathera,Poaceae,Aristida holathera,123.51,0.001028381,-23.95,41.643,2.51,1.625,0.008326301,120.1013562,1.951646956,0.528379467,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Abutilon,fraseri,Malvaceae,Abutilon fraseri,63.44,5.89577e-4,-27.56,42.06780505,2.8,3.247119266,0.00929346,107.6025452,3.493983152,0.695325289,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0004,Sclerolaena,cornishiana,Amaranthaceae,Sclerolaena costata,68.34,6.65007e-4,-30.23,35.38462065,0.71,5.212700348,0.009730854,102.7658998,5.356878593,0.819600049,No,1,133.616,-22.29,548.082,22.544,0.157,2162.539,457.962,22.575,339.973,2.109
NTABRT0006,Acacia,aneura,Fabaceae,Acacia aneura,838.12,0.001973067,-28.16,50.38467824,0.2,1.567756139,0.002354158,424.7803053,6.65951962,0.709460757,yes,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Psydrax,latifolia,Rubiaceae,Psydrax latifolia,2705.81,0.008219279,-26.72,46.80705354,3.03,0.978035398,0.003037641,329.2028215,3.219720164,0.66026002,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Acacia,kempeana,Fabaceae,Acacia kempeana,907.97,0.002516939,-27.28,47.15521956,0.32,1.976195556,0.002772051,360.7437328,7.129001436,0.68354209,yes,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Corymbia,opaca,Myrtaceae,Corymbia opaca,2895.56,0.007456002,-25.32,28.88702641,-1.01,0.485127768,0.002574977,388.3529163,1.88400816,0.595000999,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Eremophila,longifolia,Myoporaceae,Eremophila longifolia,480.23,0.003737905,-30.17,47.24890603,3.25,3.212403561,0.007783573,128.4756967,4.127158004,0.815799595,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Tinospora,smilacina,Menispermaceae,Tinospora smilacina,529.65,0.008177116,-26.38,43.1343694,4.33,4.482475634,0.015438716,64.77222419,2.903399243,0.642149478,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Ptilotus,obovatus,Amaranthaceae,Ptilotus obovatus,281.49,0.002093649,-27.1,41.16291195,6.4,3.119389039,0.00743774,134.4494422,4.194001187,0.674144285,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Eremophila,latrobei,Myoporaceae,Eremophila latrobei subsp. glabra,316.41,0.001758744,-27.26,46.99836178,3.7,3.24519567,0.005558435,179.9067566,5.838326202,0.67966069,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Sida,platycalyx,Malvaceae,Sida platycalyx,263.77,0.002049701,-29.78,41.85219315,4.07,3.915756551,0.007770789,128.6870679,5.039072031,0.799006377,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Hakea,divaricata,Proteaceae,Hakea divaricata,873.65,0.001279196,-25.82,45.97653895,2.67,0.7416,0.001464198,682.9678754,5.064888765,0.615169408,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
