name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Atractocarpus merikin,0.804,62,60
Austromatthaea elegans,0.73,62,60
Beilschmiedia bancroftii,0.646,62,60
Beilschmiedia tooram,0.784,62,60
Cinnamomum laubatii,0.405,62,60
Cryptocarya angulata,0.667,62,60
Cryptocarya corrugata,0.641,62,60
Cryptocarya grandis,0.715,62,60
Cryptocarya mackinnoniana,0.758,62,60
Cryptocarya murrayi,0.676,62,60
Cryptocarya oblata,0.469,62,60
Cryptocarya pleurosperma,0.56,62,60
Davidsonia pruriens,0.786,62,60
Delarbrea michieana,0.634,62,60
Dichapetalum papuanum,0.761,62,60
Diospyros indet,0.801,62,60
Endiandra cowleyana,0.641,62,60
Endiandra leptodendron,0.749,62,60
Endiandra montana,0.646,62,60
Endiandra palmerstonii,0.648,62,60
Endiandra sankeyana,0.71,62,60
Endiandra sideroxylon,0.689,62,60
Endiandra wolfei,0.861,62,60
Eupomatia barbata,0.612,62,60
Eupomatia laurina,0.544,62,60
Ficus septica,0.422,62,60
Gossia dallachyana,0.814,62,60
Guioa acutifolia,0.607,62,60
Guioa lasioneura,0.536,62,60
Haplostichanthus indet,0.621,62,60
Linospadix minor,0.817,62,60
Litsea bindoniana,0.456,62,60
Litsea leefeana,0.439,62,60
Mackinlaya confusa,0.725,62,60
Neolitsea dealbata,0.498,62,60
Pandanus monticola,0.331,62,60
Pilidiostigma tropicum,0.632,62,60
Pittosporum rubiginosum,0.722,62,60
Polyosma hirsuta,0.632,62,60
Polyscias mollis,0.411,62,60
Pseuduvaria villosa,0.581,62,60
Psychotria indet,0.678,62,60
Rubus alceifolius,0.35,62,60
Sarcopteryx martyana,0.562,62,60
Symplocos hayesii,0.679,62,60
Symplocos paucistaminea,0.448,62,60
Tetrasynandra laxiflora,0.527,62,60
Wilkiea indet,0.684,62,60
