plotID,fireYr,treatYr,fireInterval,fireRan,soilType,utmE,utmN,elevation,SummerRain,WinterRain,Lag1WinterRain,Lag2WinterRain
BK06,1998,2006,8,Yes,sandplain,328255,6711862,66,271.1,41.3,428.6,410.3
SEC06,2002,2006,4,No,sandplain,330898,6694219,65,271.1,41.3,428.6,410.3
SES06,2002,2006,4,No,sandplain,330655,6694022,65,271.1,41.3,428.6,410.3
SKC06,2002,2006,4,No,sandplain,326866,6719395,65,271.1,41.3,428.6,410.3
SKS06,2002,2006,4,No,sandplain,327227,6719818,65,271.1,41.3,428.6,410.3
BK07,2000,2007,7,No,limestone,328163,6712560,61,352.5,126.2,271.1,428.6
BS07,1996,2007,11,Yes,sandplain,315912,6740527,32,352.5,126.2,271.1,428.6
CN07,1993,2007,14,Yes,limestone,315716,6694061,80,352.5,126.2,271.1,428.6
DC07,1998,2007,9,Yes,limestone,317949,6650513,51,352.5,126.2,271.1,428.6
DH07,2001,2007,6,Yes,limestone,311339,6693705,23,352.5,126.2,271.1,428.6
LN07,2002,2007,5,Yes,limestone,311254,6673507,7,352.5,126.2,271.1,428.6
MAT07,1991,2007,16,Yes,sandplain,315870,6746097,31,352.5,126.2,271.1,428.6
MAX07,1993,2007,14,Yes,sandplain,315889,6745580,30,352.5,126.2,271.1,428.6
OC07,1998,2007,9,Yes,sandplain,323651,6723961,58,352.5,126.2,271.1,428.6
PT07,2002,2007,5,Yes,limestone,317299,6690019,68,352.5,126.2,271.1,428.6
RRX07,2000,2007,7,Yes,sandplain,327536,6710164,65,352.5,126.2,271.1,428.6
SEC07,2002,2007,5,No,sandplain,330892,6694022,65,352.5,126.2,271.1,428.6
SKS07,2002,2007,5,Yes,sandplain,327184,6719600,69,352.5,126.2,271.1,428.6
TT07,2004,2007,3,Yes,limestone,312346,6682024,10,352.5,126.2,271.1,428.6
CL08,1996,2008,12,Yes,sandplain,323076,6695565,46,363.5,6.5,352.5,271.1
CN08,1993,2008,15,Yes,limestone,315755,6694133,72,363.5,6.5,352.5,271.1
DH08,2001,2008,7,Yes,limestone,311485,6693630,36,363.5,6.5,352.5,271.1
LN08,2002,2008,6,Yes,limestone,311219,6673635,11,363.5,6.5,352.5,271.1
MAC08,2002,2008,6,No,sandplain,315658,6745863,31,363.5,6.5,352.5,271.1
MAS08,2002,2008,6,Yes,sandplain,321638,6745380,82,363.5,6.5,352.5,271.1
MP08,1994,2008,14,Yes,sandplain,325459,6706898,54,363.5,6.5,352.5,271.1
PT08,2002,2008,6,No,limestone,317333,6690099,70,363.5,6.5,352.5,271.1
TT08,2004,2008,4,Yes,limestone,312251,6682046,9,363.5,6.5,352.5,271.1
WS08,1994,2008,14,Yes,sandplain,324238,6699479,52,363.5,6.5,352.5,271.1
DH09,2001,2009,8,Yes,limestone,311311,6693658,25,409.4,52.9,363.5,352.5
DHN09,2000,2009,9,Yes,limestone,312171,6694585,21,409.4,52.9,363.5,352.5
LN09,2002,2009,7,Yes,limestone,311299,6673424,13,409.4,52.9,363.5,352.5
TT09e,1985,2009,24,Yes,limestone,312696,6682197,8,409.4,52.9,363.5,352.5
TT09s,2006,2009,3,No,limestone,312578,6681954,15,409.4,52.9,363.5,352.5
TT09w,2004,2009,5,Yes,limestone,312489,6682075,12,409.4,52.9,363.5,352.5
