Species,Plant Family,Taxa,Region,Site,Ind,Aarea (umol CO2 m-2 s-1) saturate,Leaf P (mg g-1),Leaf Ca (mg g-1),Leaf Al (mg g-1)
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,1,NA,0.851,19.1,0.107
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,2,NA,0.674,23.6,0.0793
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,3,NA,1.53,19.9,0.0841
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,21.70169492,NA,NA,NA
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,15.855,NA,NA,NA
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,15.90181818,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,4,NA,1.11,11,0.0194
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,5,NA,1.12,8.31,0.0269
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,6,NA,1.66,16.6,0.0322
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,15.77915493,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,14.28214286,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,19.58275862,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,16.60434783,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,6.523580034,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,16.7338403,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,8.079558011,NA,NA,NA
Myoporum insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,18.17647059,NA,NA,NA
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,7,NA,3.19,12.2,0.0672
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,8,NA,1.22,10.5,0.143
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,9,NA,0.871,7.91,0.0857
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,18.56888889,NA,NA,NA
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,11.35636364,NA,NA,NA
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,13.41741176,NA,NA,NA
Olearia axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,11.3295,NA,NA,NA
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,10,NA,1.28,28.3,0.0391
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,11,NA,1.32,37.2,0.0422
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,12,NA,0.946,27.9,0.0379
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,12.47054795,NA,NA,NA
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,12.95157895,NA,NA,NA
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,18.61883408,NA,NA,NA
Templetonia retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,10.56943231,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,13,NA,0.409,16.4,0.0172
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,14,NA,0.335,20.1,0.0266
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,15,NA,0.398,21.1,0.0215
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,13.29017341,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,19.10789474,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,14.18918919,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,11.54571429,NA,NA,NA
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,16,NA,0.782,20,0.0368
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,17,NA,0.787,20.1,0.0668
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,18,NA,0.647,34.4,0.0544
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,19.88957055,NA,NA,NA
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,16.58695652,NA,NA,NA
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,18.98007968,NA,NA,NA
Spyridium globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,15.91411043,NA,NA,NA
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,19,NA,0.562,28.8,0.0269
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,20,NA,0.664,46.5,0.0891
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,21,NA,0.627,27.4,0.0349
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,15.77257525,NA,NA,NA
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,23.56739812,NA,NA,NA
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,21.38414634,NA,NA,NA
Acacia rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,34.8,NA,NA,NA
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,22,NA,0.511,30.7,0.0276
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,23,NA,0.425,25,0.0196
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,24,NA,0.893,50,0.0323
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,21.13567839,NA,NA,NA
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,12.69189189,NA,NA,NA
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,9.169,NA,NA,NA
Anthocercis littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,17.85,NA,NA,NA
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,25,NA,0.47,10.6,0.0253
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,26,NA,0.434,12.9,0.0265
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,27,NA,0.475,8.22,0.0134
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,10.15672131,NA,NA,NA
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,23.6641791,NA,NA,NA
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,16.125,NA,NA,NA
Labichea cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,9.506842105,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,28,NA,0.314,11,0.0265
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,29,NA,0.356,18,0.0512
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,30,NA,0.415,14.2,0.0703
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,15.31067961,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,33.79830508,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,27.37741935,NA,NA,NA
Melaleuca systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,18.91411765,NA,NA,NA
