genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Acacia doratoxylon,AcaDor_3_at_LR-HN,AcaDor,3,"Woodland, RoundHill",low,high,LR-HN,4.2,5.95,1.004793,0.65978022,0.581264839,1.083333333,0.714761905,1.103095238,0.641190476,13870.78,117.58233,6099.26,75.27986,4248.352669
Acacia doratoxylon,AcaDor_4_at_LR-HN,AcaDor,4,"Woodland, RoundHill",low,high,LR-HN,3.85,6.07,1.0593858,0.697752272,0.597258731,1.100526316,0.767894737,1.109583333,0.662708333,12828.8,120.97778,7178.27,84.44514,5941.734913
Acacia doratoxylon,AcaDor_5_at_LR-HN,AcaDor,5,"Woodland, RoundHill",low,high,LR-HN,4.73,6.96,1.4642824,0.734046477,0.646004019,1.0844,0.796,1.280990099,0.827524752,12576.72,122.69583,8105.04,100.11387,7537.845117
Brachychiton populneus,BraPop_1_at_LR-HN,BraPop,1,"Woodland, RoundHill",low,high,LR-HN,2.77,4.47,0.7677699,0.501084599,0.420643729,1.024444444,0.513333333,1.039615385,0.437307692,2722.15,38.56573,1071.36,19.33055,694.8219379
Brachychiton populneus,BraPop_2_at_LR-HN,BraPop,2,"Woodland, RoundHill",low,high,LR-HN,3.03,3.5,0.304915,0.42996988,0.447118075,1.021538462,0.439230769,1.051176471,0.47,2911.54,40.37814,916.2149,12.44941,-817.8054644
Brachychiton populneus,BraPop_3_at_LR-HN,BraPop,3,"Woodland, RoundHill",low,high,LR-HN,5.44,4.9,0.972953,0.480796928,0.423162584,1.0415,0.50075,0.997777778,0.422222222,5516.5,105.43117,1129.04,26.18238,461.2272064
Brachychiton populneus,BraPop_4_at_LR-HN,BraPop,4,"Woodland, RoundHill",low,high,LR-HN,4.52,5.25,1.1399625,0.494720169,0.43542654,1.052222222,0.520555556,1.089032258,0.474193548,2732.87,29.95338,572.96702,11.41924,326.4777186
Brachychiton populneus,BraPop_5_at_LR-HN,BraPop,5,"Woodland, RoundHill",low,high,LR-HN,3.29,6.93,1.9416081,0.569148936,0.438596491,1.044444444,0.594444444,1.08,0.473684211,1505.4,30.43476,658.04461,19.07,625.1568625
Dodonaea viscosa ssp angustissima,DodVisang_1_at_LR-HN,DodVisang,1,"Woodland, RoundHill",low,high,LR-HN,3.54,4.68,0.4345576,0.707955152,0.588235294,1.170625,0.82875,1.172413793,0.689655172,12392.22,129.08458,5587.59,75.76347,248.4044411
Dodonaea viscosa ssp angustissima,DodVisang_2_at_LR-HN,DodVisang,2,"Woodland, RoundHill",low,high,LR-HN,3.15,4.63,0.4120291,0.68358396,0.652097286,1.33,0.909166667,0.978275862,0.637931034,13993.38,110.45042,3477.55,48.50026,-5358.11019
Dodonaea viscosa ssp angustissima,DodVisang_3_at_LR-HN,DodVisang,3,"Woodland, RoundHill",low,high,LR-HN,3.97,4.52,0.3624664,0.722924901,0.683745583,1.265,0.9145,1.06125,0.725625,15028.42,149.56151,6817.86,96.3857,-1293.555144
Dodonaea viscosa ssp angustissima,DodVisang_4_at_LR-HN,DodVisang,4,"Woodland, RoundHill",low,high,LR-HN,3.7,4.11,0.1777327,0.733759843,0.619750284,1.27,0.931875,1.10125,0.6825,13178.06,137.60179,5508.75,76.95617,-12082.9673
Dodonaea viscosa ssp angustissima,DodVisang_5_at_LR-HN,DodVisang,5,"Woodland, RoundHill",low,high,LR-HN,4.02,5.06,0.6057742,0.723135272,0.664165589,1.248947368,0.903157895,1.073611111,0.713055556,12065.01,126.24286,4897.13,84.61777,1292.514945
Eremophila longifolia,EreLon_1_at_LR-HN,EreLon,1,"Woodland, RoundHill",low,high,LR-HN,5.03,5.32,0.724148,0.638508371,0.558202491,0.973333333,0.621481481,1.026111111,0.572777778,4373.15,62.92866,1919.66,36.44255,963.0648926
Eremophila longifolia,EreLon_2_at_LR-HN,EreLon,2,"Woodland, RoundHill",low,high,LR-HN,4.9,5.9,0.889535,0.589092141,0.595228934,0.984,0.579666667,0.945090909,0.562545455,5684.49,79.35409,2976.41,53.81614,2130.587478
Eremophila longifolia,EreLon_3_at_LR-HN,EreLon,3,"Woodland, RoundHill",low,high,LR-HN,4.38,4.61,0.5216915,0.641718976,0.617169374,0.941363636,0.604090909,0.9428125,0.581875,5795.72,63.77486,1898.66,31.83899,-277.1042077
Eremophila longifolia,EreLon_4_at_LR-HN,EreLon,4,"Woodland, RoundHill",low,high,LR-HN,4.28,5.82,0.866723,0.667089679,0.564117763,0.985,0.657083333,0.992352941,0.559803922,8069,93.19019,1911.72,37.605,-65.5760256
Eremophila longifolia,EreLon_5_at_LR-HN,EreLon,5,"Woodland, RoundHill",low,high,LR-HN,3.46,6.42,1.037813,0.651668352,0.606015596,0.989,0.6445,1.056078431,0.64,8259.46,100.20504,2590.56,48.52959,1086.497498
Geijera parviflora,GeiPar_1_at_LR-HN,GeiPar,1,"Woodland, RoundHill",low,high,LR-HN,4.2,5.12,0.7263748,0.657180969,0.532374101,1.1245,0.739,1.103823529,0.587647059,7037.46,88.02548,2266.3,41.92415,561.9619312
Geijera parviflora,GeiPar_2_at_LR-HN,GeiPar,2,"Woodland, RoundHill",low,high,LR-HN,4.66,6.08,1.2052132,0.679146256,0.611869179,1.099230769,0.746538462,1.126097561,0.68902439,5052.94,64.55997,1875.96,39.96831,1389.896734
Geijera parviflora,GeiPar_3_at_LR-HN,GeiPar,3,"Woodland, RoundHill",low,high,LR-HN,4.17,6.38,1.3548502,0.625102543,0.53560477,1.06,0.662608696,1.128846154,0.604615385,6533.15,79.30965,2641.65,49.74367,2162.992888
Geijera parviflora,GeiPar_4_at_LR-HN,GeiPar,4,"Woodland, RoundHill",low,high,LR-HN,4.15,6.11,1.2201769,0.645248172,0.548195013,1.181363636,0.762272727,1.096734694,0.60122449,8346,102.3204,1722.53,34.24075,731.7962256
Geijera parviflora,GeiPar_5_at_LR-HN,GeiPar,5,"Woodland, RoundHill",low,high,LR-HN,4.19,5.77,1.0505883,0.708515815,0.582541836,1.141666667,0.808888889,1.133846154,0.660512821,5588.21,74.34186,1568.35,32.96345,782.8795646
Hakea tephrosperma,HakTep_1_at_LR-HN,HakTep,1,"Woodland, RoundHill",low,high,LR-HN,3.2,4.22,0.1981864,0.60243218,0.545994065,1.187777778,0.715555556,1.225454545,0.669090909,8859.05,118.23077,3227.47,49.62526,-8415.115194
Hakea tephrosperma,HakTep_2_at_LR-HN,HakTep,2,"Woodland, RoundHill",low,high,LR-HN,3.53,5.25,0.84927,0.605428987,0.564028777,1.146111111,0.693888889,1.120967742,0.632258065,9756.46,92.24216,2037.36,27.94876,-7.21671967
Hakea tephrosperma,HakTep_3_at_LR-HN,HakTep,3,"Woodland, RoundHill",low,high,LR-HN,4.53,5.25,0.84927,0.569578213,0.552321386,1.158076923,0.659615385,1.154722222,0.637777778,5398.86,52.74252,3159.7,42.53402,2566.605256
Hakea tephrosperma,HakTep_4_at_LR-HN,HakTep,4,"Woodland, RoundHill",low,high,LR-HN,4.54,5.12,0.7670944,0.617452007,0.609925893,1.146,0.7076,1.236944444,0.754444444,8054.06,77.06781,4819.34,64.09824,3794.55982
Hakea tephrosperma,HakTep_5_at_LR-HN,HakTep,5,"Woodland, RoundHill",low,high,LR-HN,4.17,4.31,0.2550772,0.616469816,0.619993693,1.128888889,0.695925926,1.1325,0.702142857,12383.07,101.74442,4516.4,57.033,-7490.471152
Philotheca difformis,PhiDif_1_at_LR-HN,PhiDif,1,"Woodland, RoundHill",low,high,LR-HN,5,6.07,0.9530479,0.638030888,0.519180367,1.195384615,0.762692308,1.04925,0.54475,7004.38,101.18442,2697.13,45.61559,1472.081489
Philotheca difformis,PhiDif_2_at_LR-HN,PhiDif,2,"Woodland, RoundHill",low,high,LR-HN,3.68,4.32,0.2758504,0.682018618,0.567771084,1.074210526,0.732631579,1.106666667,0.628333333,10407.83,116.33202,4729.54,64.96523,-3078.428712
Philotheca difformis,PhiDif_3_at_LR-HN,PhiDif,3,"Woodland, RoundHill",low,high,LR-HN,4.08,4.99,0.5351203,0.664266427,0.568470458,1.169473684,0.776842105,1.131875,0.6434375,11337.21,120.06339,4342.18,70.64806,41.30456686
Philotheca difformis,PhiDif_4_at_LR-HN,PhiDif,4,"Woodland, RoundHill",low,high,LR-HN,3.59,5.08,0.5699476,0.637659784,0.576695371,1.196470588,0.762941176,1.092941176,0.630294118,9258.81,106.52611,3774.31,60.49135,663.8977734
Philotheca difformis,PhiDif_5_at_LR-HN,PhiDif,5,"Woodland, RoundHill",low,high,LR-HN,2.93,4.52,0.3532444,0.684666667,0.57549963,1.153846154,0.79,1.059607843,0.609803922,19210.5,166.11696,3985.61,60.67278,-11652.52228
Senna artemisioides var 3lft,SenArt3lft_1_at_LR-HN,SenArt3lft,1,"Woodland, RoundHill",low,high,LR-HN,5.21,5.03,0.5143321,0.634504792,0.570081301,1.159259259,0.735555556,1.098214286,0.626071429,10888.61,105.89161,6167.92,75.37832,3014.889006
Senna artemisioides var 3lft,SenArt3lft_2_at_LR-HN,SenArt3lft,2,"Woodland, RoundHill",low,high,LR-HN,4.29,5.06,0.5232742,0.611732922,0.542132737,1.233809524,0.754761905,1.1175,0.605833333,10123.71,102.48911,6046.85,65.53701,3376.23298
Senna artemisioides var 3lft,SenArt3lft_3_at_LR-HN,SenArt3lft,3,"Woodland, RoundHill",low,high,LR-HN,4.71,5.74,0.7259618,0.638341264,0.529681237,1.1768,0.7512,1.218372093,0.645348837,14292.48,104.01028,6813.97,77.22807,3431.077823
Senna artemisioides var 3lft,SenArt3lft_4_at_LR-HN,SenArt3lft,4,"Woodland, RoundHill",low,high,LR-HN,4.59,5.18,0.5590426,0.611043319,0.524477307,1.130344828,0.690689655,1.153529412,0.605,13274.27,113.13875,6037.59,62.00146,1637.913916
Senna artemisioides var 3lft,SenArt3lft_5_at_LR-HN,SenArt3lft,5,"Woodland, RoundHill",low,high,LR-HN,4.82,5.49,0.6514443,0.658496282,0.602028398,1.1346875,0.7471875,1.173809524,0.706666667,11551.66,119.46824,6578.85,79.86174,4035.870285
Acacia havilandiorum,AcaHav_1_at_LR-LN,AcaHav,1,"Mallee, RoundHill",low,low,LR-LN,3.86,4.95,0.519071,0.721854305,0.710597826,1.154705882,0.833529412,1.15,0.8171875,13517.51,149.55707,6587.42,91.88868,2155.92593
Acacia havilandiorum,AcaHav_2_at_LR-LN,AcaHav,2,"Mallee, RoundHill",low,low,LR-LN,4.21,5.56,0.7387808,0.744883041,0.665223977,1.243636364,0.926363636,1.15525,0.7685,20203.97,186.97092,9114.66,105.55241,4570.776679
Acacia havilandiorum,AcaHav_3_at_LR-LN,AcaHav,3,"Mallee, RoundHill",low,low,LR-LN,3.96,5.3,0.645134,0.696899225,0.632259432,1.172727273,0.817272727,1.1795,0.74575,17115.66,157.2021,6239.5,88.06739,940.2629531
Acacia havilandiorum,AcaHav_4_at_LR-LN,AcaHav,4,"Mallee, RoundHill",low,low,LR-LN,3.93,5.67,0.7784006,0.759732599,0.673297966,1.059583333,0.805,1.16,0.781025641,18596.36,177.86423,5366.71,79.60663,299.5977609
Acacia havilandiorum,AcaHav_5_at_LR-LN,AcaHav,5,"Mallee, RoundHill",low,low,LR-LN,3.46,5.59,0.7495862,0.815121413,0.743400447,1.1325,0.923125,1.208108108,0.898108108,18855.21,199.54137,5481.88,84.8315,103.7284724
Bertya cunninghamii,BerCun_1_at_LR-LN,BerCun,1,"Mallee, RoundHill",low,low,LR-LN,4.93,5.8,1.02975,0.669818457,0.601159115,0.944285714,0.6325,0.973333333,0.585128205,7259.22,84.84844,3810.34,52.02972,3088.951357
Bertya cunninghamii,BerCun_2_at_LR-LN,BerCun,2,"Mallee, RoundHill",low,low,LR-LN,5.03,6.38,1.3676,0.667497663,0.607786885,1.0028125,0.669375,1.016666667,0.617916667,8163.03,95.89263,3969.87,52.29208,3469.993637
Bertya cunninghamii,BerCun_3_at_LR-LN,BerCun,3,"Mallee, RoundHill",low,low,LR-LN,4.98,5.27,0.721025,0.646461226,0.605102312,0.984333333,0.636333333,1.045277778,0.6325,8779.03,86.95287,4433.96,64.17725,2757.84061
Bertya cunninghamii,BerCun_4_at_LR-LN,BerCun,4,"Mallee, RoundHill",low,low,LR-LN,5,5.86,1.0647,0.658730159,0.615521855,0.975483871,0.642580645,0.974782609,0.6,6474.29,73.87109,4542.61,60.74973,4162.953413
Bertya cunninghamii,BerCun_5_at_LR-LN,BerCun,5,"Mallee, RoundHill",low,low,LR-LN,5.08,6.52,1.44915,0.651659547,0.622460087,0.9509375,0.6196875,1.1024,0.6862,5973.22,66.5424,3451.38,51.08063,3186.023237
Beyeria opaca,BeyOpa_1_at_LR-LN,BeyOpa,1,"Mallee, RoundHill",low,low,LR-LN,4.72,5.14,0.6321272,0.694192019,0.609107579,0.973461538,0.675769231,1.055483871,0.642903226,7052.1,77.64686,3742.63,43.55599,2161.688598
Beyeria opaca,BeyOpa_2_at_LR-LN,BeyOpa,2,"Mallee, RoundHill",low,low,LR-LN,4.06,5.2,0.663146,0.663058187,0.624271845,1.007727273,0.668181818,0.996774194,0.622258065,6332.65,65.10496,2232.49,35.25431,407.9109114
Beyeria opaca,BeyOpa_3_at_LR-LN,BeyOpa,3,"Mallee, RoundHill",low,low,LR-LN,5.08,5.25,0.688995,0.692982456,0.65048268,0.982758621,0.681034483,1.035882353,0.673823529,5175.41,59.26728,3174.59,46.83954,2333.846568
Beyeria opaca,BeyOpa_4_at_LR-LN,BeyOpa,4,"Mallee, RoundHill",low,low,LR-LN,4.83,5.05,0.585599,0.724042637,0.622383985,1.055416667,0.764166667,1.0303125,0.64125,6960.11,83.85252,3396.27,48.04083,1493.787915
Beyeria opaca,BeyOpa_5_at_LR-LN,BeyOpa,5,"Mallee, RoundHill",low,low,LR-LN,4.41,5.65,0.895787,0.666893039,0.634165995,1.015517241,0.677241379,1.006216216,0.638108108,10727.08,112.85839,2274.93,41.18171,-74.29961891
Cassinia laevis,CasLae_1_at_LR-LN,CasLae,1,"Mallee, RoundHill",low,low,LR-LN,4.02,5.55,0.934354,0.606326034,0.609143431,0.978571429,0.593333333,0.99525,0.60625,7551.71,88.87553,4764.07,71.35452,4094.962016
Cassinia laevis,CasLae_2_at_LR-LN,CasLae,2,"Mallee, RoundHill",low,low,LR-LN,4.26,5.41,0.8416628,0.598313126,0.577093733,0.998421053,0.597368421,0.974594595,0.562432432,4326.3,63.68516,3297.68,54.56192,2998.76987
Cassinia laevis,CasLae_3_at_LR-LN,CasLae,3,"Mallee, RoundHill",low,low,LR-LN,3.65,6.06,1.2720148,0.611410118,0.508688457,1.092941176,0.668235294,1.098636364,0.558863636,8230.78,96.80128,2466.59,44.72727,1729.9448
Cassinia laevis,CasLae_4_at_LR-LN,CasLae,4,"Mallee, RoundHill",low,low,LR-LN,4.34,4.79,0.4311732,0.67052501,0.592274678,1.007916667,0.675833333,1.087333333,0.644,9010.88,100.47021,4770.86,62.34252,1272.843242
Cassinia laevis,CasLae_5_at_LR-LN,CasLae,5,"Mallee, RoundHill",low,low,LR-LN,5.16,6.03,1.2521524,0.616158712,0.608853575,1.086875,0.6696875,1.024418605,0.62372093,8077.42,103.9006,3365.93,52.01828,2742.423817
Eremophila glabra,EreGla_1_at_LR-LN,EreGla,1,"Mallee, RoundHill",low,low,LR-LN,3.24,4.43,0.2761462,0.62534626,0.518608696,1.110769231,0.694615385,1.105769231,0.573461538,10102.4,100.21718,4377.48,60.45517,-3761.523998
Eremophila glabra,EreGla_2_at_LR-LN,EreGla,2,"Mallee, RoundHill",low,low,LR-LN,3.98,5.53,0.8793202,0.661016949,0.562176166,0.993684211,0.656842105,0.965,0.5425,7127.06,77.26949,2648.68,44.17636,1412.524173
Eremophila glabra,EreGla_3_at_LR-LN,EreGla,3,"Mallee, RoundHill",low,low,LR-LN,2.84,6.24,1.2686416,0.657959184,0.60847519,1.113636364,0.732727273,1.061923077,0.646153846,12636.72,109.33964,4760.7,83.52888,3646.053569
Eremophila glabra,EreGla_4_at_LR-LN,EreGla,4,"Mallee, RoundHill",low,low,LR-LN,4.76,6.03,1.1534902,0.698630137,0.632422669,1.066923077,0.745384615,1.006590909,0.636590909,10015.6,124.96105,4937.59,80.41086,4074.217466
Eremophila glabra,EreGla_5_at_LR-LN,EreGla,5,"Mallee, RoundHill",low,low,LR-LN,2.66,5.3,0.753202,0.64260355,0.550178299,0.938888889,0.603333333,1.033157895,0.568421053,5982.59,66.32211,3339.75,50.56232,2399.157701
Eucalyptus socialis,EucSoc_1_at_LR-LN,EucSoc,1,"Mallee, RoundHill",low,low,LR-LN,5.49,7.09,1.5750979,0.584611172,0.596514947,1.043428571,0.61,1.1095,0.661833333,4322.36,62.88756,2309.78,45.94458,2097.661048
Eucalyptus socialis,EucSoc_2_at_LR-LN,EucSoc,2,"Mallee, RoundHill",low,low,LR-LN,5.9,8.37,2.2014147,0.617202268,0.540994131,1.085128205,0.66974359,1.147789474,0.620947368,7853.15,88.10048,2595.91,48.24541,2316.477303
Eucalyptus socialis,EucSoc_3_at_LR-LN,EucSoc,3,"Mallee, RoundHill",low,low,LR-LN,5.82,5.8,0.943888,0.63710424,0.592592593,1.149148936,0.73212766,1.110681818,0.658181818,8679.15,92.20623,2095.35,51.05647,376.6962993
Eucalyptus socialis,EucSoc_4_at_LR-LN,EucSoc,4,"Mallee, RoundHill",low,low,LR-LN,4.99,6.23,1.1542913,0.660126582,0.584128579,1.053333333,0.695333333,1.086,0.634363636,5835.76,65.17549,3511.97,52.27305,3079.283024
Eucalyptus socialis,EucSoc_5_at_LR-LN,EucSoc,5,"Mallee, RoundHill",low,low,LR-LN,4.21,7.67,1.8588977,0.66083151,0.584568337,1.088095238,0.719047619,1.1336,0.662666667,6065.04,66.86417,2084.22,47.31063,1782.297806
Melaleuca uncinata,MelUnc_1_at_LR-LN,MelUnc,1,"Mallee, RoundHill",low,low,LR-LN,3.98,5.37,0.7661326,0.627681952,0.615364917,1.080454545,0.678181818,1.055405405,0.649459459,13811.19,132.02695,5368.59,78.46962,2389.04184
Melaleuca uncinata,MelUnc_2_at_LR-LN,MelUnc,2,"Mallee, RoundHill",low,low,LR-LN,3.94,4.96,0.5656508,0.694807769,0.63086871,1.146818182,0.796818182,1.077878788,0.68,15145.78,146.87012,5042.98,76.53531,-518.4655995
Melaleuca uncinata,MelUnc_3_at_LR-LN,MelUnc,3,"Mallee, RoundHill",low,low,LR-LN,4.31,5.79,0.9715042,0.677502771,0.624106231,1.041153846,0.705384615,1.087777778,0.678888889,13809.44,136.96904,5496.21,84.26838,3483.964892
Melaleuca uncinata,MelUnc_4_at_LR-LN,MelUnc,4,"Mallee, RoundHill",low,low,LR-LN,4.98,5.83,0.9910634,0.645578231,0.606584028,1.176,0.7592,1.171666667,0.710714286,8891.11,109.33575,6278.37,75.51907,5666.45905
Melaleuca uncinata,MelUnc_5_at_LR-LN,MelUnc,5,"Mallee, RoundHill",low,low,LR-LN,4.38,5.33,0.7465734,0.650292398,0.651691332,1.06875,0.695,1.112941176,0.725294118,10215.49,112.77168,5764.55,87.08951,4130.565421
Olearia pimeleoides,OlePim_1_at_LR-LN,OlePim,1,"Mallee, RoundHill",low,low,LR-LN,3.55,4.62,NA,0.656119403,0.618295019,1.116666667,0.732666667,1.098947368,0.679473684,7161.79,66.15936,2264.55,34.03914,NA
Olearia pimeleoides,OlePim_2_at_LR-LN,OlePim,2,"Mallee, RoundHill",low,low,LR-LN,4.09,4.7,NA,0.673876872,0.600857055,1.287857143,0.867857143,1.089,0.654333333,12203.55,149.45848,3753.68,53.06135,NA
Olearia pimeleoides,OlePim_3_at_LR-LN,OlePim,3,"Mallee, RoundHill",low,low,LR-LN,2.64,4.5,NA,0.614136732,0.638974812,1.07875,0.6625,1.028636364,0.657272727,7579.71,92.33118,3727.78,56.92546,NA
Olearia pimeleoides,OlePim_4_at_LR-LN,OlePim,4,"Mallee, RoundHill",low,low,LR-LN,3.39,4.24,NA,0.639126306,0.574825986,1.17,0.747777778,1.0775,0.619375,6701.53,93.28178,2773.63,49.16014,NA
Olearia pimeleoides,OlePim_5_at_LR-LN,OlePim,5,"Mallee, RoundHill",low,low,LR-LN,3.89,4.88,NA,0.653525398,0.620724346,1.199090909,0.783636364,1.169411765,0.725882353,7291.51,103.78893,3479.46,80.22849,NA
