genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Persoonia linearis,PerLin_3_at_HR-HN,PerLin,3,"Westhead, Kuringai",high,high,HR-HN,3.67,4.98,0.5793316,0.505871122,0.463344639,1.102631579,0.557789474,1.095142857,0.507428571,10278.4,82.49511,4685.21,53.01942,1717.06811
Persoonia linearis,PerLin_4_at_HR-HN,PerLin,4,"Westhead, Kuringai",high,high,HR-HN,5.78,6.88,1.4227796,0.474070964,0.4367085,1.0825,0.513181818,1.078769231,0.471107692,7801.33,82.99861,5186.93,55.03719,4836.339903
Persoonia linearis,PerLin_5_at_HR-HN,PerLin,5,"Westhead, Kuringai",high,high,HR-HN,5.1,5.68,0.8900756,0.528700975,0.508095238,1.025813953,0.542348837,1.068421053,0.542859649,8799.07,89.52999,4063.55,44.75256,2710.503538
Pultenaea flexilis,PulFle_1_at_HR-HN,PulFle,1,"Westhead, Kuringai",high,high,HR-HN,4.39,4.19,0.2672321,0.600398406,0.552932912,1.075714286,0.645857143,1.095,0.605461538,12293.21,96.68519,11501.63,108.29623,10411.36551
Pultenaea flexilis,PulFle_2_at_HR-HN,PulFle,2,"Westhead, Kuringai",high,high,HR-HN,4.21,4.38,0.3568342,0.55795539,0.504493997,1.034615385,0.577269231,1.121153846,0.565615385,12831.47,85.88806,9178.06,71.49079,5654.653208
Pultenaea flexilis,PulFle_3_at_HR-HN,PulFle,3,"Westhead, Kuringai",high,high,HR-HN,5.51,4.78,0.5454702,0.52864215,0.439404233,1.01,0.533928571,1.007105263,0.442526316,11214.75,88.09728,6952.95,75.36245,4609.631371
Pultenaea flexilis,PulFle_4_at_HR-HN,PulFle,4,"Westhead, Kuringai",high,high,HR-HN,5.25,4.21,0.2766639,0.556205493,0.392356464,1.062702703,0.591081081,1.013928571,0.397821429,8958.82,86.09917,7161.31,64.00951,4786.964339
Pultenaea flexilis,PulFle_5_at_HR-HN,PulFle,5,"Westhead, Kuringai",high,high,HR-HN,4.64,4.66,0.4888794,0.557225211,0.595185526,1.000769231,0.557653846,1.164642857,0.693178571,10363.85,79.24196,12844.81,108.7562,14430.04876
Synoum glandulosum,SynGla_1_at_HR-HN,SynGla,1,"Westhead, Kuringai",high,high,HR-HN,6.07,5.4,0.660046,0.466682038,0.382735426,0.985681818,0.46,0.9812,0.37554,7135.01,76.46302,6067.08,58.13147,5550.876237
Synoum glandulosum,SynGla_2_at_HR-HN,SynGla,2,"Westhead, Kuringai",high,high,HR-HN,5.78,5.95,0.7417155,0.395914519,0.386061355,0.867818182,0.343581818,0.9714,0.37502,6874.98,67.76363,4077.79,57.42492,2776.166121
Synoum glandulosum,SynGla_3_at_HR-HN,SynGla,3,"Westhead, Kuringai",high,high,HR-HN,6.17,6.9,0.882781,0.367965288,0.373979665,0.902666667,0.33215,0.956575342,0.357739726,6387.02,66.444,3709.27,47.56437,2525.243215
Synoum glandulosum,SynGla_4_at_HR-HN,SynGla,4,"Westhead, Kuringai",high,high,HR-HN,5.72,5.69,0.7031081,0.49632312,0.334602297,0.8975,0.44545,0.9404,0.31466,7080.01,67.02849,2738.35,35.03579,683.3387843
Synoum glandulosum,SynGla_5_at_HR-HN,SynGla,5,"Westhead, Kuringai",high,high,HR-HN,4.87,5.53,0.6793497,0.480781499,0.38766863,0.9405,0.452175,1.012115385,0.392365385,8831.43,79.81706,3879.18,49.97566,1508.512905
Syncarpia glomulifera,SynGlo_1_at_HR-HN,SynGlo,1,"Westhead, Kuringai",high,high,HR-HN,4.92,5.32,0.7302644,0.520435913,0.506545911,1.163023256,0.60527907,1.137959184,0.576428571,12976.18,111.4781,7496.09,83.55576,5396.630625
