name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Cordia dichotoma,0.39,55,53
Dysoxylum mollissimum,0.55,55,53
Dysoxylum mollissimum,0.51,55,53
Ehretia acuminata,0.52,55,53
Elaeocarpus angustifolius,0.33,55,53
Elaeocarpus angustifolius,0.41,55,53
Flindersia brayleyana,0.47,55,53
Flindersia ifflaiana,0.84,55,53
Flindersia laevicarpa,0.48,55,53
Flindersia laevicarpa,0.61,55,53
Flindersia pimenteliana,0.48,55,53
Flindersia schottiana,0.59,55,53
Garuga floribunda,0.52,55,53
Mallotus philippensis,0.56,55,53
Melicope bonwickii,0.4,55,53
Sterculia shillinglawii,0.26,55,53
Sterculia shillinglawii,0.27,55,53
Terminalia complanata,0.39,55,53
Toona ciliata,0.43,55,53
