location_name,latitude (deg),longitude (deg),description,locality,notes
Toolinna Cove,,,coastal site near the Great Australian Bight,near Toolinna Cove on the Great Australian Bight,"No coordinates printed in the source. Toolinna Cove is a real, identifiable named place on the Western Australian side of the Great Australian Bight (Baxter Cliffs, Nuytsland Nature Reserve) and could be geocoded if the curator confirms that's wanted."
Barracca Nature Reserve,,,nature reserve,"Barracca Nature Reserve, located on the Great Northern Highway approximately 8 km NE of Muchea and 51 km NNE of Perth, Western Australia","No coordinates printed; only a relative distance/bearing from Muchea and Perth is given. A real, identifiable named reserve -- could be geocoded if confirmed."
Murdoch,,,relatively undisturbed patch of native vegetation in a Perth suburb,"Murdoch, a suburb of Perth, Western Australia","No coordinates printed; only named as a Perth suburb. A real, identifiable named place -- could be geocoded if confirmed."
Kalbarri National Park,,,national park,"Kalbarri National Park, 13 km 35 deg S of W from Eurardy HS (homestead)","No coordinates printed; only a bearing-and-distance reference from Eurardy Homestead is given (not decimal/DMS coordinates, so not transcribed as a coordinate here per the do-not-estimate-from-a-reference-point rule). A real, identifiable named park -- could be geocoded if confirmed."
