site,latitude (deg),longitude (deg),elevation (m),MAP (mm),MAT (),description
Howard Springs,-12.485,131.146,37,1714,27.8,eucalypt-dominated savannas
Adelaide River,-13.077,131.118,75,1532,27,eucalypt-dominated savannas
Daly River,-14.159,131.388,73,1170,27.2,eucalypt-dominated savannas
Dry Creek,-15.259,132.371,167,958,27.1,eucalypt-dominated savannas
Sturt Plains,-17.133,133.329,228,672,26.8,
Boulia,-22.994,139.945,151,291,24.9,Acacia-dominated shrublands
