ID,Species,Conifer,N-fixing,site,Site 2,site2,Gm,gm/mass,Rd,Rd/mass,Amax for Ci=250,Amax/mass,A/Ci-curve data,TPU/area,TPU/mass,Jmax/area,Jmax/mass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Vcmax/mass,Average Vcmax,Modelled Cc-ci,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,AvGtc,av-CA,av A,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Ci-Cc,Cc/Ca,GE-LMA,dC13,dN15,N%,C%,P%,P/N,GE-N/area,GE-P/area,site_name,LfSize(cm2),SLA(cm/2),Narea,Parea,ChlAarea(umol m-2),ChlBarea,Chl(tot)area,carots_area,Chla/b,ChlAmass(mmol/kg),ChlBmass,Chl(tot)mass,carots_mass(umol/m2),SLAchl(cm2/g),SLAall,Thickness,Density,climate,plantID,who,spp,site_spp,abs400_700,absLCF,PRI,Rred/Rgreen,R400-700,transmission
28,Astrotrichia floccosa,NA,NA,hiRhiP,hiRhiP,HiR,0.132,2.242,-1.041,-0.018,9.947,0.168,NA,6.05,0.102,97.904,1.657,16.184,92.408,Y,0.949,0.923,2.273,0.729,43.066,NA,250,174.886,0.7,75.114,0.114,380.643,10.284,290.745,0.764,213.083,0.733,77.662,0.56,59.075,-30.1,-3.788,2.08,46.8,0.07,0.015,1.229,0.041,WestHead,66.1,165.5,1.26,0.04,391,143,535,118,2.73,6.63,2.42,9.05,2,169.3,165.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Astrotrichia floccosa,NA,NA,hiRhiP,hiRhiP,HiR,0.1,1.571,-1.209,-0.019,8.947,0.14,NA,4.103,0.064,81.576,1.277,19.883,82.132,Y,0.917,0.904,1.956,0.653,41.709,NA,250,160.839,0.643,89.161,0.115,366.42,8.487,291.693,0.796,207.109,0.71,84.584,0.565,63.89,-29.82,-1.718,1.26,48.1,0.046,0.016,0.805,0.029,WestHead,46.3,148.7,0.85,0.03,363,122,485,124,2.98,5.68,1.91,7.59,1.94,156.5,148.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Astrotrichia floccosa,NA,NA,hiRhiP,hiRhiP,HiR,0.1,1.481,-0.705,-0.01,8.987,0.133,NA,4.528,0.067,90.149,1.336,19.908,88.84,Y,0.918,0.903,2.203,0.606,40.918,NA,250,160.121,0.64,89.879,0.105,382.167,8.805,296.007,0.775,207.948,0.703,88.059,0.544,67.496,-29.15,-1.65,1.6,46.9,0.055,0.016,1.08,0.037,WestHead,61.5,143,1.12,0.04,302,103,405,87,2.92,4.47,1.53,6,1.29,148.2,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Breynia oblongifolia,NA,NA,hiRhiP,hiRhiP,HiR,NA,NA,-1.025,-0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.187,-32.2,-3.95,1.61,50,0.029,0.008,1.935,0.035,WestHead,5.7,86.6,1.86,0.03,487,179,666,219,2.72,4.05,1.49,5.54,1.82,83.2,86.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Eucalyptus umbra,NA,NA,hiRhiP,hiRhiP,HiR,0.065,0.282,-1.449,-0.006,8.737,0.038,NA,5.045,0.022,126.712,0.545,25.119,103.626,Y,0.812,0.739,2.406,0.227,52.657,NA,250,116.477,0.466,133.523,0.059,365.75,8.168,226.889,0.62,102.067,0.076,7.547,10.496,232.316,-31.575,-1.89,0.72,53.9,0.028,0.017,1.673,0.064,WestHead,29.1,50.9,1.41,0.05,565,213,778,172,2.65,2.43,0.92,3.35,0.74,43,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Eucalyptus umbra,NA,NA,hiRhiP,hiRhiP,HiR,0.035,0.252,-0.747,-0.005,3.373,0.024,NA,2.055,0.015,44.068,0.315,21.441,55.231,N,0.843,1.067,2.613,0.12,16.864,NA,250,154.255,0.617,95.745,0.017,370.46,2.656,213.659,0.577,138.28,0.217,2.079,34.067,139.967,-32.2,-1.804,0.94,53.3,0.055,0.026,1.316,0.077,WestHead,24.4,65,1.45,0.08,552,233,785,263,2.37,3.78,1.59,5.38,1.8,68.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Lambertia formosa,NA,NA,hiRhiP,hiRhiP,HiR,0.085,0.401,-1.568,-0.007,6.657,0.032,NA,3.382,0.016,93.443,0.443,27.629,110.755,Y,0.948,0.903,3.008,0.147,31.067,NA,250,171.264,0.685,78.736,0.087,383.07,10.593,261.884,0.684,136.581,0.065,9.91,7.855,211.073,-31.7,-2,0.31,50.5,0.018,0.027,0.654,0.039,WestHead,1.8,47.8,0.65,0.04,340,128,467,305,2.66,1.57,0.59,2.17,1.41,46.3,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Macrozamia communis,NA,Y,hiRhiP,hiRhiP,HiR,0.165,0.82,-1.218,-0.006,9.424,0.047,NA,6.668,0.033,104.8,0.52,15.716,102.721,N,0.964,1.079,2.718,0.191,38.553,NA,250,193.01,0.772,56.99,0.035,368.1,6.67,176.108,0.478,135.769,0.072,6.192,13.701,201.579,-27.662,-1.255,1.36,51.7,0.068,0.022,2.741,0.136,WestHead,19.6,47.2,2.88,0.14,406,168,574,136,2.41,2.04,0.84,2.88,0.68,50.2,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Macrozamia communis,NA,Y,hiRhiP,hiRhiP,HiR,0.088,0.366,-1.522,-0.006,6.984,0.029,NA,6.074,0.025,92.609,0.387,15.248,86.646,N,1.186,1.114,2.853,0.136,32.455,NA,250,170.402,0.682,79.598,0.024,385.9,4.694,182.271,0.472,128.766,0.101,4.222,19.877,239.424,-26.8,-2.2,1.5,51.1,0.061,0.018,3.591,0.145,WestHead,24.3,40.9,3.67,0.15,748,333,1081,237,2.25,3.17,1.41,4.58,1,42.4,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Notelaea longifolia,NA,NA,hiRhiP,hiRhiP,HiR,0.045,0.26,-0.872,-0.005,3.415,0.02,NA,2.597,0.015,36.321,0.211,13.983,38.395,N,1.133,1.095,2.284,0.092,15.905,NA,250,173.948,0.696,76.052,0.034,370.715,3.652,261.86,0.706,180.541,0.193,2.945,21.056,172.462,-32.996,-1.8,0.63,50.7,0.027,0.02,1.087,0.047,WestHead,44.1,55.8,1.13,0.05,340,116,456,118,2.92,1.97,0.67,2.64,0.68,58,55.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Notelaea longifolia,NA,NA,hiRhiP,hiRhiP,HiR,0.03,0.161,-1.961,-0.011,2.382,0.013,NA,2.153,0.012,37.649,0.204,17.486,29.15,N,1.105,1.217,2.668,0.076,14.113,NA,250,170.019,0.68,79.981,0.019,371.92,2.535,239.259,0.643,154.141,0.254,1.892,33.663,184.523,-34.036,-1.7,0.75,52.9,0.031,0.019,1.384,0.057,WestHead,22.8,58.4,1.28,0.05,267,93,359,180,2.88,1.45,0.5,1.95,0.97,54.2,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Syncarpia glomulifera,NA,NA,hiRhiP,hiRhiP,HiR,0.117,0.968,-1.915,-0.016,9.202,0.076,NA,6.163,0.051,92.876,0.767,15.071,89.832,Y,0.968,0.942,2.191,0.35,42.38,NA,250,171.497,0.686,78.503,0.107,365.68,9.8,273.62,0.748,190.015,0.076,9.052,7.01,121.049,-31.13,2.738,1.07,54.1,0.044,0.018,1.295,0.053,WestHead,13.8,81,1.32,0.05,542,188,730,180,2.88,4.48,1.55,6.03,1.49,82.6,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Syncarpia glomulifera,NA,NA,hiRhiP,hiRhiP,HiR,0.117,0.822,-1.338,-0.009,8.987,0.063,NA,5.366,0.038,86.985,0.609,16.21,82.312,Y,0.923,0.909,2.177,0.28,39.954,NA,250,173.487,0.694,76.513,0.09,381.463,9.634,275.143,0.721,193.123,0.075,8.913,7.978,142.899,-30.879,-2,0.77,54.6,0.03,0.017,1.1,0.042,WestHead,25.1,70.2,1.1,0.04,375,141,517,152,2.66,2.63,0.99,3.62,1.06,70,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Syncarpia glomulifera,NA,NA,hiRhiP,hiRhiP,HiR,0.116,0.652,-1.833,-0.01,11.226,0.063,NA,7.941,0.045,129.285,0.727,16.28,109.309,Y,0.959,0.955,2.352,0.309,54.957,NA,250,153.104,0.612,96.896,0.093,380.527,10.804,264.311,0.695,171.061,0.064,10.109,7.434,177.828,-30.03,-3,0.68,52.1,0.032,0.021,1.209,0.057,WestHead,13.3,58.5,1.16,0.05,308,109,417,110,2.84,1.68,0.59,2.27,0.6,54.4,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Synoum glandulosum,NA,NA,hiRhiP,hiRhiP,HiR,0.08,1.056,-0.857,-0.011,4.692,0.062,NA,4.328,0.057,63.083,0.835,14.576,64.508,N,1.14,1.183,3.185,0.262,19.803,NA,250,191.189,0.765,58.811,0.03,369.695,3.903,238.111,0.644,189.192,0.165,3.259,21.484,75.528,-27.55,-3.3,1.45,49.6,0.075,0.024,1.095,0.057,WestHead,9,137.1,1.06,0.05,380,136,515,131,2.8,5.03,1.79,6.83,1.73,132.4,137.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Synoum glandulosum,NA,NA,hiRhiP,hiRhiP,HiR,0.08,0.719,-1.776,-0.016,4.107,0.037,NA,4.815,0.043,69.5,0.622,14.434,66.791,N,1.126,1.1,3.695,0.168,18.808,NA,250,198.859,0.795,51.141,0.049,369.32,5.104,265.815,0.72,202.26,0.141,4.384,14.597,111.647,-28.4,-1.6,1.37,46.1,0.062,0.02,1.53,0.069,WestHead,10.1,90.8,1.51,0.07,392,155,548,188,2.53,3.52,1.39,4.9,1.68,89.6,90.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Synoum glandulosum,NA,NA,hiRhiP,hiRhiP,HiR,0.076,0.643,-2.042,-0.017,5,0.042,NA,4.967,0.042,69.134,0.585,13.918,67.379,N,1.089,1.05,2.894,0.202,23.888,NA,250,184.235,0.737,65.765,0.081,368.295,5.994,294.065,0.798,215.227,0.133,5.195,9.868,118.263,-29,-1.997,1.4,49.3,0.066,0.021,1.656,0.078,WestHead,8.6,105.9,1.32,0.06,366,139,505,184,2.63,3.09,1.18,4.27,1.55,84.6,105.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Xylomelum pyriforme,NA,NA,hiRhiP,hiRhiP,HiR,0.067,0.44,-2.432,-0.016,4.896,0.032,NA,2.229,0.015,56.102,0.367,25.164,52.448,N,1.155,1.11,2.251,0.163,24.928,NA,250,177.071,0.708,72.929,0.022,371.575,4.761,156.091,0.42,85.16,0.088,4.341,18.939,152.694,-31.892,1.582,0.58,53.1,0.036,0.028,0.886,0.054,WestHead,39.6,62.5,0.93,0.06,592,194,787,224,3.05,3.88,1.27,5.15,1.47,65.5,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Xylomelum pyriforme,NA,NA,hiRhiP,hiRhiP,HiR,0.044,0.306,-1.347,-0.009,4.786,0.033,NA,3.97,0.027,58.538,0.405,14.746,56.52,N,1.166,1.007,2.237,0.181,26.163,NA,250,141.677,0.567,108.323,0.034,369.255,4.602,234.931,0.636,130.762,0.138,3.966,18.57,144.484,-32.296,2.9,0.87,52.1,0.028,0.015,1.257,0.041,WestHead,33.2,69.4,1.25,0.04,448,154,601,186,2.91,3.1,1.06,4.16,1.29,69.2,69.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Xylomelum pyriforme,NA,NA,hiRhiP,hiRhiP,HiR,0.089,0.623,-1.798,-0.013,8.637,0.061,NA,5.354,0.038,80.238,0.563,14.986,82.637,N,1.074,1.061,1.856,0.303,43.228,NA,250,152.764,0.611,97.236,0.031,368.145,5.677,183.519,0.498,119.602,0.088,5.179,15.993,142.632,-31.369,-1.421,1.3,53.5,0.037,0.013,1.854,0.052,WestHead,38.9,68.1,1.91,0.05,591,195,786,210,3.03,4.14,1.37,5.51,1.47,70.1,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Acacia longifolia,NA,Y,MUcampus,hiRhiP,HiR,0.061,0.526,-1.385,-0.012,6.561,0.057,NA,6.056,0.052,88.294,0.764,14.579,76.565,N,1.116,1.107,2.544,0.3,34.709,NA,250,141.97,0.568,108.03,0.028,386.043,4.447,224.985,0.583,151.756,0.131,3.865,21.076,115.566,-25.886,2.386,2.38,54.05,0.041,0.008,2.75,0.048,MU_forest,19.5,84.9,2.8,0.05,283,94,377,158,3,2.45,0.82,3.26,1.37,86.5,84.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Pittosporum undulatum,NA,NA,MUcampus,hiRhiP,HiR,0.107,0.913,-1.639,-0.014,7.922,0.067,NA,4.609,0.039,83.262,0.708,18.063,84.467,Y,0.904,0.827,2.328,0.304,35.773,NA,250,176.221,0.705,73.779,0.064,366.325,8.119,239.734,0.654,164.119,0.081,7.464,10.151,117.642,-26.728,-0.776,1.47,50.85,0.079,0.024,1.729,0.093,MU_forest,14.8,85.5,1.72,0.09,334,143,477,177,2.33,2.84,1.22,4.06,1.5,85,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Pittosporum undulatum,NA,NA,MUcampus,hiRhiP,HiR,0.117,0.954,-1.501,-0.012,9.01,0.073,NA,6.551,0.053,111.823,0.908,17.068,105.611,Y,0.888,0.923,2.767,0.328,40.418,NA,250,173.275,0.693,76.725,0.069,365.645,9.205,231.981,0.634,153.592,0.069,8.571,9.219,123.124,-26.242,-0.537,1.685,50.9,0.095,0.025,2.075,0.117,MU_forest,29.4,84.3,2,0.11,367,167,534,206,2.2,2.98,1.36,4.34,1.67,81.2,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Polyscias sambucifolia,NA,NA,MUcampus,hiRhiP,HiR,0.163,2.024,-1.335,-0.017,9.466,0.118,NA,6.334,0.079,99.74,1.24,15.746,95.582,Y,0.923,0.946,2.551,0.486,39.101,NA,250,191.841,0.767,58.159,0.071,318.73,7.656,211.151,0.662,164.115,0.087,6.993,9.318,80.434,-29.022,-0.885,1.37,53.62,0.074,0.024,1.102,0.06,MU_forest,15.9,119.1,1.15,0.06,266,97,363,112,2.75,3.31,1.2,4.51,1.39,124.3,119.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Polyscias sambucifolia,NA,NA,MUcampus,hiRhiP,HiR,0.124,1.005,-1.584,-0.013,6.747,0.055,NA,5.518,0.045,84.296,0.683,15.275,85.885,N,1.082,1.098,2.937,0.232,28.703,NA,250,195.654,0.783,54.346,0.036,367.915,5.85,202.107,0.549,154.984,0.094,5.301,15.42,123.492,-29.005,-1.9,1.06,53.4,0.06,0.026,1.309,0.075,MU_forest,18.4,90.3,1.17,0.07,407,147,554,135,2.77,3.3,1.19,4.49,1.1,81,90.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Banksia integrifolia,NA,NA,MUcampus,hiRhiP,NA,0.142,0.624,-2.649,-0.012,13.33,0.059,NA,8.624,0.038,160.11,0.704,18.565,161.216,Y,0.931,0.945,2.447,0.288,65.444,NA,250,155.944,0.624,94.056,0.062,361.277,10.532,191.099,0.529,116.783,0.05,10.003,8.597,227.304,-28.569,1.428,0.859,53.263,0.043,0.023,1.954,0.098,MU_campus,8.8,45.7,1.88,0.09,587,184,772,165,3.19,2.58,0.81,3.39,0.73,44,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Banksia integrifolia,NA,NA,MUcampus,hiRhiP,NA,0.072,0.313,-1.662,-0.007,9.608,0.042,NA,8.184,0.036,138.44,0.605,16.916,112.631,Y,0.883,0.963,2.374,0.255,58.312,NA,250,115.918,0.464,134.082,0.041,384.677,6.119,236.844,0.616,151.452,0.101,5.503,14.93,228.988,-27.28,0.756,0.586,52.318,0.039,0.03,1.341,0.09,MU_campus,7.8,41.9,1.4,0.09,268,86,354,153,3.11,1.17,0.38,1.54,0.67,43.7,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Banksia robur,NA,NA,MUcampus,hiRhiP,NA,0.127,0.636,-1.969,-0.01,6.49,0.033,NA,4.647,0.023,77.289,0.388,16.634,73.957,Y,0.943,0.913,2.745,0.141,28.154,NA,250,198.774,0.795,51.226,0.067,347.57,7.697,232.666,0.669,171.919,0.087,7.027,9.979,199.254,-27.749,6.514,0.645,49.75,0.035,0.025,1.285,0.07,MU_campus,109.2,49.2,1.31,0.07,141,40,181,78,3.51,0.71,0.2,0.91,0.39,50.2,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Banksia robur,NA,NA,MUcampus,hiRhiP,NA,0.113,0.97,-0.914,-0.008,7.837,0.067,NA,3.603,0.031,72.974,0.627,20.254,70.085,Y,0.94,0.911,2.187,0.286,33.361,NA,250,180.626,0.723,69.374,0.044,383.987,7.124,220.93,0.575,157.865,0.081,6.549,13.036,116.475,-32.293,6.65,0.73,50.8,0.061,0.038,0.85,0.071,MU_campus,143.9,81,0.9,0.08,227,77,305,77,2.94,1.95,0.66,2.62,0.66,85.9,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Banksia robur,NA,NA,MUcampus,hiRhiP,NA,0.079,0.914,-0.444,-0.005,4.798,0.055,NA,3.871,0.045,53.749,0.62,13.885,43.015,N,1.323,1.129,2.751,0.225,19.54,NA,250,189.435,0.758,60.565,0.02,372.11,3.016,219.694,0.59,181.629,0.196,2.425,29.821,86.686,-32.4,6.707,1.158,49.1,0.091,0.036,1.003,0.079,MU_campus,124.7,115,1.01,0.08,302,111,413,87,2.71,3.6,1.33,4.92,1.03,119.1,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Banksia serrata,NA,NA,MUcampus,hiRhiP,NA,0.053,0.285,-1.436,-0.008,7.129,0.038,NA,6.683,0.036,103.555,0.553,15.495,109.808,N,1.099,1.098,2.374,0.233,43.628,NA,250,116.611,0.466,133.389,0.03,399.344,4.685,243.775,0.61,156.122,0.13,4.074,20.301,187.267,-25.8,1.7,0.62,50.9,0.043,0.031,1.161,0.081,MU_campus,19.6,58.7,1.06,0.07,199,82,282,101,2.42,1.06,0.44,1.5,0.54,53.4,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Macadamia ternifolia,NA,NA,MUcampus,hiRhiP,NA,0.065,0.33,-2.286,-0.012,5.399,0.027,NA,5.05,0.026,75.067,0.381,14.866,39.642,N,1.237,1.162,2.699,0.141,27.813,NA,250,166.962,0.668,83.038,0.032,371.425,5.133,210.445,0.567,131.499,0.11,4.566,17.771,197.202,-26.838,0.313,0.89,50.8,0.04,0.02,1.755,0.079,MU_campus,36.6,52.2,1.7,0.08,645,239,884,258,2.7,3.27,1.21,4.48,1.31,50.7,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Macadamia ternifolia,NA,NA,MUcampus,hiRhiP,NA,0.086,0.627,-0.976,-0.007,5.907,0.043,NA,3.306,0.024,52.15,0.378,15.775,54.75,Y,0.899,0.902,2.036,0.186,25.619,NA,250,181.687,0.727,68.313,0.034,368.345,5.214,214.036,0.581,153.737,0.111,4.633,17.176,137.893,-30.753,2.532,1.07,51.9,0.09,0.038,1.475,0.124,MU_campus,34.4,71.9,1.49,0.12,305,124,429,125,2.46,2.21,0.9,3.11,0.91,72.5,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Acacia myrtifolia,NA,Y,hiRloP,hiRloP,HiR,0.111,0.785,-0.711,-0.005,7.868,0.055,NA,5.174,0.036,74.367,0.524,14.373,79.937,Y,0.985,0.97,2.238,0.234,33.233,NA,250,179.413,0.718,70.587,0.06,367.225,7.586,241.276,0.657,173.223,0.087,6.929,10.925,142.056,-30.545,-2.243,1.66,53.8,0.015,0.004,2.358,0.021,KCNP_Basin_Track,4.2,69,2.41,0.02,575,199,775,184,2.89,4.05,1.4,5.45,1.29,70.4,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
