species,leaf type,Seed mass (mg) - Mean,Seed mass (mg) - SE,RGR (day-1),Phenolics (%) - Mean,Phenolics (%) - SE,Nitrogen (%) - Mean,Nitrogen (%) - SE,SLA (mm2 mg-1) - Mean,SLA (mm2 mg-1) - SE,Density (ug mm-3) - Mean,Density (ug mm-3) - SE,Thickness (um) - Mean,Thickness (um) - SE,Leaf area (mm2)-Mean,Leaf area (mm2)-SE,Spinescence (spines cm-2)-Mean,Spinescence (spines cm-2)-SE
Hakea adnata,needle-leaved,23.9,0.5,0.064,10.6,0.55,0.83,0.05,3.27,0.31,425,40,868,33,145,12,0.0055,0.0004
Hakea circumalata,needle-leaved,23.5,0.5,0.045,5.26,0.16,0.63,0.03,3.73,0.16,492,22,572,19,17,1,0.0633,0.0026
Hakea erinacea,needle-leaved,22,0.6,0.042,10.5,0.39,0.59,0.02,4.73,0.16,746,45,307,20,44,2,0.0633,0.0031
Hakea lissocarpha,needle-leaved,25,1,0.066,9.54,0.34,0.6,0.03,4.33,0.5,891,11,327,11,126,11,0.0359,0.0037
Hakea obliqua,needle-leaved,26,1,0.071,13.1,0.41,0.55,0.02,2.72,0.12,492,24,796,40,124,12,0.0148,0.0007
Hakea platysperma,needle-leaved,600,16.8,0.006,6.86,0.23,2.41,0.16,2.82,0.11,329,14,1140,47,261,17,0.0061,0.0002
Hakea trifurcata,needle-leaved,17.4,0.4,0.035,10.8,0.37,0.58,0.05,4.83,0.29,519,36,401,21,203,15,0.0223,0.0025
Hakea elliptica,broad-leaved,7,0.3,0.043,14.5,0.58,0.66,0.05,5.83,0.14,737,60,206,5,684,41,0.0009,0.0001
Hakea francisiana,broad-leaved,18.1,0.3,0.071,14.8,0.53,0.78,0.04,5.9,0.36,920,31,147,6,187,9,0.0069,0.0005
Hakea laurina,broad-leaved,27,0.9,0.067,12.8,0.48,0.55,0.01,5.25,0.27,815,42,196,9,303,27,0.0015,0.0002
Hakea oleifolia,broad-leaved,13.4,0.4,0.075,10.9,1.05,0.74,0.07,7.97,0.42,505,21,194,8,168,12,0.0979,0.0098
Hakea petiolaris,broad-leaved,17.4,0.3,0.1,16.5,0.5,0.59,0.03,6.34,0.5,1160,77,121,5,220,17,0.0067,0.0009
Hakea stenocarpa,broad-leaved,13.7,0.4,0.051,14.4,0.52,0.71,0.03,5.95,0.13,931,73,152,7,268,16,0.0043,0.0007
Hakea undulata,broad-leaved,20.4,0.4,0.06,15.8,0.44,0.56,0.02,6.87,0.19,506,13,230,5,623,32,0.0026,0.0002
