species,wood.density,units
Acacia acinacea,0.774141212,g cm-3
Acacia baileyana,0.743078691,g cm-3
Acacia brachybotrya,0.736171217,g cm-3
Acacia calamifolia,0.820433775,g cm-3
Acacia cupularis,0.608014933,g cm-3
Acacia cyclops,0.801534827,g cm-3
Acacia deanei,0.77091612,g cm-3
Acacia decora,0.709230722,g cm-3
Acacia difformis,0.716729913,g cm-3
Acacia euthycarpa,0.901047091,g cm-3
Acacia falciformis,0.643568266,g cm-3
Acacia floribunda,0.703658702,g cm-3
Acacia genistifolia,0.670545944,g cm-3
Acacia hakeoides,0.701938047,g cm-3
Acacia ligulata,0.759878049,g cm-3
Acacia lineata,0.833938287,g cm-3
Acacia longissima,0.605738283,g cm-3
Acacia microbotrya,0.730621479,g cm-3
Acacia microcarpa,0.826793919,g cm-3
Acacia montana,0.817420541,g cm-3
Acacia mucronata,0.560054009,g cm-3
Acacia notabilis,0.841217341,g cm-3
Acacia oxycedrus,0.644598249,g cm-3
Acacia paradoxa,0.78953234,g cm-3
Acacia polybotrya,0.774997512,g cm-3
Acacia pravissima,0.58749443,g cm-3
Acacia pycnantha,0.620914025,g cm-3
Acacia retinodes,0.748842798,g cm-3
Acacia rigens,0.918093379,g cm-3
Acacia rubida,0.648643521,g cm-3
Acacia saligna,0.644616702,g cm-3
Acacia sclerophylla,0.805051881,g cm-3
Acacia trineura,0.721573993,g cm-3
Acacia triptera,0.864980273,g cm-3
Acacia verniciflua,0.784831407,g cm-3
Acacia verticillata,0.626552011,g cm-3
Acacia wattsiana,0.718195976,g cm-3
Allocasuarina muelleriana,0.730891868,g cm-3
Allocasuarina paludosa,0.682075056,g cm-3
Allocasuarina verticillata,0.75400115,g cm-3
Atriplex nummularia,0.779308069,g cm-3
Babingtonia behrii,0.868200801,g cm-3
Banksia attenuata,0.646113391,g cm-3
Banksia grandis,0.672336318,g cm-3
Banksia littoralis,0.544508759,g cm-3
Banksia menziesii,0.67483768,g cm-3
Banksia ornata,0.55311567,g cm-3
Bedfordia arborescens,0.566192769,g cm-3
Callistemon rugulosus,0.799038688,g cm-3
Callitris canescens,0.644401918,g cm-3
Callitris gracilis,0.587893312,g cm-3
Callitris preissii,0.68143623,g cm-3
Cassinia aculeata,0.639834789,g cm-3
Casuarina obesa,0.774624976,g cm-3
Chamaecytisus palmensis,0.645454791,g cm-3
Coprosma quadrifida,0.581348859,g cm-3
Corymbia calophylla,0.618412113,g cm-3
Dodonaea baueri,0.907380028,g cm-3
Dodonaea sinuolata,0.853967098,g cm-3
Enchylaena tomentosa,0.792661631,g cm-3
Eucalyptus acaciiformis,0.613112288,g cm-3
Eucalyptus arenacea,0.571895742,g cm-3
Eucalyptus argyphea,0.860626469,g cm-3
Eucalyptus behriana,0.846102022,g cm-3
Eucalyptus brachycalyx,0.868285957,g cm-3
Eucalyptus capillosa,0.815299287,g cm-3
Eucalyptus clivicola,0.841235956,g cm-3
Eucalyptus coccifera,0.604655339,g cm-3
Eucalyptus conferruminata,0.784343703,g cm-3
Eucalyptus decipiens,0.633469257,g cm-3
