species,surface.area(mm2),dry.mass(mg),specific.leaf.area(mm2.mg-1)
Acacia acinacea,52.96,12.118,4.3703581449
Acacia acinacea,57.04,12.508,4.5602814199
Acacia acinacea,49.367,10.616,4.6502449133
Acacia acinacea,48.407,9.911,4.884169105
Acacia acinacea,44.542,8.321,5.3529623843
Acacia acinacea,78.077,13.015,5.9990011525
Acacia acinacea,74.707,12.324,6.061911717
Acacia acinacea,83.993,13.568,6.190521816
Acacia acinacea,65.917,9.886,6.6677119158
Acacia acinacea,80.178,11.976,6.6948897796
Acacia acinacea,67.752,10.119,6.6955232731
Acacia acinacea,60.338,8.837,6.8278827656
Acacia acinacea,69.889,10.217,6.8404619751
Acacia acinacea,53.11,7.631,6.9597693618
Acacia acinacea,74.499,10.673,6.9801367938
Acacia acinacea,62.654,8.684,7.2148779364
Acacia acinacea,83.168,11.168,7.446991404
Acacia acinacea,74.162,9.93,7.4684793555
Acacia acinacea,65.006,8.507,7.6414717292
Acacia acinacea,43.438,5.464,7.9498535871
Acacia acinacea,51.884,6.525,7.9515708812
Acacia acinacea,52.795,6.635,7.9570459683
Acacia acinacea,44.628,5.481,8.1423097975
Acacia acinacea,42.405,5.027,8.4354485777
Acacia acinacea,40.971,4.771,8.58750786
Acacia acuminata,788.825,282.5,2.792300885
Acacia acuminata,1646.049,387.9,4.2434880124
Acacia acuminata,1015.851,229.3,4.4302267771
Acacia acuminata,1127.593,236.5,4.7678350951
Acacia acuminata,1130.641,235.3,4.8051041224
Acacia acuminata,918.715,190.7,4.8175930781
Acacia acuminata,808.092,164.2,4.9213885505
Acacia acuminata,948.236,191.4,4.9542110763
Acacia acuminata,1121.061,226.2,4.956061008
Acacia acuminata,1008.681,202.3,4.9860652496
Acacia acuminata,1058.264,211.4,5.0059791864
Acacia acuminata,976.53,194.5,5.0207197943
Acacia acuminata,849.07,169.1,5.0211117682
Acacia acuminata,1077.509,213.3,5.051612752
Acacia acuminata,1336.88,263.9,5.0658582797
Acacia acuminata,910.276,178.4,5.1024439462
Acacia acuminata,542.096,103.2,5.2528682171
Acacia acuminata,605.187,115.1,5.2579235447
Acacia acuminata,763.708,138.1,5.5301086169
Acacia acuminata,597.422,106.9,5.588606174
Acacia acuminata,940.083,168.2,5.589078478
Acacia acuminata,846.31,150.3,5.6308050566
Acacia acuminata,911.975,158.2,5.7646965866
Acacia acuminata,1083.023,182.1,5.9474080176
Acacia acuminata,1129.902,185.2,6.1009827214
Acacia argyrophylla,476.215,148.7,3.2025218561
Acacia argyrophylla,579.639,160.4,3.6137094763
Acacia argyrophylla,465.668,128.1,3.6351912568
Acacia argyrophylla,178.992,48.3,3.7058385093
Acacia argyrophylla,160.507,42.9,3.7414219114
Acacia argyrophylla,526.135,138.7,3.7933309301
Acacia argyrophylla,135.762,34.3,3.9580758017
Acacia argyrophylla,271.604,67.1,4.0477496274
Acacia argyrophylla,222.731,54.4,4.0943198529
Acacia argyrophylla,150.949,36.3,4.1583746556
Acacia argyrophylla,161.819,36.7,4.4092370572
Acacia argyrophylla,213.739,45.8,4.666790393
Acacia argyrophylla,326.915,69.5,4.7038129496
Acacia argyrophylla,146.912,31.2,4.7087179487
Acacia argyrophylla,151.171,32,4.72409375
Acacia argyrophylla,205.035,42,4.8817857143
Acacia argyrophylla,186.958,38.1,4.9070341207
Acacia argyrophylla,192.35,38.9,4.9447300771
Acacia argyrophylla,188.263,38,4.9542894737
Acacia argyrophylla,232.69,46.8,4.972008547
Acacia argyrophylla,221.541,44.5,4.9784494382
Acacia argyrophylla,149.113,29,5.1418275862
Acacia argyrophylla,256.675,49.8,5.1541164659
Acacia argyrophylla,124.29,23.9,5.20041841
Acacia baileyana,341.973,46,7.4341956522
Acacia baileyana,807.906,108.6,7.439281768
Acacia baileyana,671.72,87.4,7.685583524
Acacia baileyana,733.786,95.4,7.6916771488
Acacia baileyana,738.103,93.9,7.8605218317
Acacia baileyana,486.225,59.4,8.1856060606
Acacia baileyana,695.06,84.2,8.2548693587
Acacia baileyana,941.323,113,8.3302920354
Acacia baileyana,680.554,81.4,8.3606142506
Acacia baileyana,1162.885,138.2,8.4145079595
Acacia baileyana,689.46,80.8,8.5329207921
Acacia baileyana,851.214,99.7,8.5377532598
Acacia baileyana,1082.578,126.7,8.5444198895
Acacia baileyana,880.505,101.5,8.6749261084
Acacia baileyana,787.392,90.7,8.6812789416
Acacia baileyana,914.865,104.9,8.7213060057
Acacia baileyana,804.765,89.8,8.9617483296
Acacia baileyana,562.137,62.3,9.0230658106
Acacia baileyana,677.865,75,9.0382
Acacia baileyana,860.256,94.6,9.093615222
Acacia baileyana,934.01,102.6,9.103411306
Acacia baileyana,377.287,39.7,9.5034508816
Acacia baileyana,622.625,64.8,9.6084104938
Acacia baileyana,814.674,81.6,9.98375
Acacia baileyana,576.277,54.7,10.5352285192
Acacia calamifolia,183.058,80.1,2.2853682896
Acacia calamifolia,120.332,51,2.3594509804
Acacia calamifolia,78.682,33.1,2.3770996979
Acacia calamifolia,137.318,53.4,2.5714981273
Acacia calamifolia,160.521,58.8,2.7299489796
Acacia calamifolia,106.852,36.5,2.9274520548
Acacia calamifolia,127.803,43.3,2.9515704388
Acacia calamifolia,124.089,41.2,3.011868932
Acacia calamifolia,126.29,41.6,3.0358173077
Acacia calamifolia,76.084,24.5,3.1054693878
Acacia calamifolia,130.413,41.7,3.1274100719
Acacia calamifolia,103.152,32.9,3.1353191489
Acacia calamifolia,73.065,23.1,3.162987013
Acacia calamifolia,126.821,39.9,3.1784711779
Acacia calamifolia,53.921,16.9,3.190591716
Acacia calamifolia,89.285,27.7,3.2232851986
Acacia calamifolia,122.139,37.8,3.2311904762
Acacia calamifolia,117.535,36,3.2648611111
Acacia calamifolia,93.737,28.3,3.3122614841
Acacia calamifolia,101.89,30.6,3.3297385621
Acacia calamifolia,99.782,29.8,3.3483892617
Acacia calamifolia,89.335,25.7,3.4760700389
Acacia calamifolia,110.924,31.5,3.5213968254
Acacia calamifolia,127.767,33,3.8717272727
Acacia calamifolia,114.753,29.6,3.8767905405
Acacia cupularis,316.031,161.6,1.9556373762
Acacia cupularis,320.699,151.7,2.1140342782
Acacia cupularis,296.14,129.1,2.2938807126
Acacia cupularis,299.188,129.7,2.306769468
Acacia cupularis,282.216,114.1,2.4734092901
Acacia cupularis,301.848,120.8,2.4987417219
Acacia cupularis,402.605,159.8,2.5194305382
Acacia cupularis,300.22,115.9,2.590336497
Acacia cupularis,241.983,92.7,2.6103883495
Acacia cupularis,271.331,102.5,2.6471317073
Acacia cupularis,307.398,115.7,2.6568539326
Acacia cupularis,231.271,85.6,2.7017640187
Acacia cupularis,344.949,126.6,2.7247156398
Acacia cupularis,261.78,90.9,2.8798679868
Acacia cupularis,185.897,62.6,2.969600639
Acacia cupularis,590.918,145.3,4.0668823125
Acacia cupularis,558.415,133.8,4.1735052317
Acacia cupularis,420.308,99,4.2455353535
Acacia cupularis,358.558,79.3,4.5215384615
Acacia cupularis,423.671,92.7,4.5703451996
Acacia cupularis,318.777,67.9,4.6948011782
Acacia cupularis,351.452,73.6,4.7751630435
Acacia cupularis,257.292,51.9,4.9574566474
Acacia cupularis,244.887,49,4.9976938776
Acacia cupularis,159.102,29.8,5.3389932886
Acacia difformis,1609.251,368.1,4.3717766911
Acacia difformis,557.096,116.5,4.7819399142
Acacia difformis,806.335,168.3,4.7910576352
Acacia difformis,1607.157,329.6,4.8760831311
Acacia difformis,504.667,101.3,4.981905232
Acacia difformis,800.234,158.6,5.0456116015
Acacia difformis,422.173,82.9,5.0925572979
Acacia difformis,878.253,172.4,5.094274942
Acacia difformis,609.891,119.6,5.0994230769
Acacia difformis,750.508,145,5.1759172414
Acacia difformis,509.371,97.5,5.2243179487
Acacia difformis,621.356,117.5,5.2881361702
Acacia difformis,680.798,128.1,5.3145823575
Acacia difformis,711.178,132.6,5.3633333333
Acacia difformis,721.819,129.8,5.561009245
Acacia difformis,606.507,108.7,5.5796412144
Acacia difformis,815.521,145.4,5.6088101788
Acacia difformis,491.287,86.3,5.6927809965
Acacia difformis,509.041,89,5.7195617978
Acacia difformis,688.721,118.5,5.8119915612
Acacia difformis,740.053,123,6.0166910569
Acacia difformis,595.981,96.3,6.1887954309
Acacia difformis,520.764,80.5,6.4691180124
Acacia difformis,686.878,102.7,6.6881986368
Acacia difformis,548.642,81.1,6.7650061652
Acacia euthycarpa,40.562,20.4,1.9883333333
Acacia euthycarpa,69.559,30.8,2.2584090909
Acacia euthycarpa,44.054,19.1,2.3064921466
Acacia euthycarpa,42.563,17.7,2.4046892655
Acacia euthycarpa,48.321,19.6,2.4653571429
Acacia euthycarpa,44.621,18,2.4789444444
Acacia euthycarpa,44.441,17.6,2.5250568182
Acacia euthycarpa,48.572,19.2,2.5297916667
Acacia euthycarpa,37.809,14.7,2.5720408163
Acacia euthycarpa,30.029,11.6,2.5887068966
Acacia euthycarpa,43.05,16.5,2.6090909091
Acacia euthycarpa,92.719,35.1,2.6415669516
Acacia euthycarpa,32.367,12.2,2.6530327869
Acacia euthycarpa,29.047,10.9,2.6648623853
Acacia euthycarpa,29.068,10.9,2.6667889908
Acacia euthycarpa,41.767,15.6,2.6773717949
Acacia euthycarpa,29.692,10.9,2.7240366972
Acacia euthycarpa,30.574,11.2,2.7298214286
Acacia euthycarpa,34.446,12.2,2.823442623
Acacia euthycarpa,35.242,12.3,2.865203252
Acacia euthycarpa,46.42,16.1,2.8832298137
Acacia euthycarpa,39.788,13.7,2.9042335766
Acacia euthycarpa,44.771,15.3,2.9262091503
Acacia euthycarpa,43.947,14.5,3.0308275862
Acacia euthycarpa,39.881,12.4,3.2162096774
Acacia falciformis,2655.483,601.2,4.4169710579
Acacia falciformis,1720.842,371.7,4.6296529459
Acacia falciformis,2758.752,580.3,4.7540099948
Acacia falciformis,1004.938,204.3,4.9189329418
Acacia falciformis,1253.826,253.8,4.940212766
Acacia falciformis,2003.495,396.1,5.0580535218
Acacia falciformis,2961.461,584.9,5.0631919986
Acacia falciformis,1420.141,275,5.1641490909
Acacia falciformis,1082.299,205.1,5.2769332033
Acacia falciformis,1330.233,248.7,5.3487454765
Acacia falciformis,849.501,152,5.5888223684
Acacia falciformis,3541.767,616.5,5.7449586375
Acacia falciformis,1560.772,266.6,5.8543585896
Acacia falciformis,2176.313,369.6,5.8882927489
Acacia falciformis,2160.109,363.9,5.9359961528
Acacia falciformis,982.617,162.6,6.0431549815
Acacia falciformis,1826.432,301.1,6.0658651611
Acacia falciformis,620.395,101.4,6.1182938856
Acacia falciformis,1497.624,244.5,6.1252515337
Acacia falciformis,844.152,137.3,6.1482301529
Acacia falciformis,704.983,112.9,6.2443135518
Acacia falciformis,1667.717,266.6,6.2555026257
Acacia falciformis,1037.126,163.7,6.3355284056
Acacia falciformis,1276.312,198.8,6.4200804829
Acacia falciformis,2123.268,318.3,6.6706503299
Acacia leucoclada,908.39,191.1,4.7534798535
Acacia leucoclada,1256.4,247.6,5.0743134087
Acacia leucoclada,1235.27,221.1,5.5869289914
Acacia leucoclada,1381.787,245.6,5.6261685668
Acacia leucoclada,1771.199,311.9,5.6787399808
Acacia leucoclada,1674.758,289.9,5.777019662
Acacia leucoclada,1156.038,199.3,5.800491721
Acacia leucoclada,1496.491,243.9,6.1356744567
Acacia leucoclada,1715.744,273.6,6.270994152
Acacia leucoclada,1339.813,213.4,6.2784114339
Acacia leucoclada,1542.861,243.1,6.3466104484
Acacia leucoclada,2226.892,345.4,6.447284308
Acacia leucoclada,1780.348,263.8,6.7488551933
Acacia leucoclada,1283.633,172.1,7.458646136
Acacia leucoclada,1465.551,188.2,7.7871997875
Acacia leucoclada,1055.008,134.2,7.8614605067
Acacia leucoclada,2061.488,258.8,7.9655641422
