species,fresh.volume(cm3),dry.mass(g),wood.density(g.cm-3))
Acacia acinacea,4.3,3.1666,0.7364186047
Acacia acinacea,4.85,3.5877,0.7397319588
Acacia acinacea,13.59,10.4855,0.7715599706
Acacia acinacea,5.31,4.2274,0.7961205273
Acacia acinacea,4.8,3.969,0.826875
Acacia baileyana,9.84,6.1563,0.6256402439
Acacia baileyana,14.18,10.5205,0.7419252468
Acacia baileyana,5.52,4.18,0.7572463768
Acacia baileyana,17.16,13.2575,0.7725815851
Acacia baileyana,10.3,8.4254,0.818
Acacia brachybotrya,10.3,6.983,0.677961165
Acacia brachybotrya,7.67,5.2297,0.6818383312
Acacia brachybotrya,11.96,8.5173,0.7121488294
Acacia brachybotrya,11.61,9.1173,0.7852971576
Acacia brachybotrya,10.94,9.0103,0.8236106033
Acacia calamifolia,14.09,11.0837,0.786635912
Acacia calamifolia,11.41,9.0643,0.7944171779
Acacia calamifolia,6.71,5.5521,0.8274366617
Acacia calamifolia,14.06,11.6827,0.8309174964
Acacia calamifolia,10.32,8.9037,0.8627616279
Acacia cupularis,9.13,5.0362,0.5516100767
Acacia cupularis,5.72,3.3712,0.5893706294
Acacia cupularis,10.52,6.347,0.6033269962
Acacia cupularis,10.12,6.3113,0.6236462451
Acacia cupularis,6.13,4.1201,0.6721207178
Acacia cyclops,9.88,7.1565,0.7243421053
Acacia cyclops,8.84,6.7144,0.7595475113
Acacia cyclops,10.31,8.3333,0.8082735209
Acacia cyclops,6.83,5.8449,0.8557686676
Acacia cyclops,8.15,7.0069,0.8597423313
Acacia deanei,15.19,11.1522,0.7341803818
Acacia deanei,14.01,10.7985,0.7707708779
Acacia deanei,11.56,8.9324,0.7726989619
Acacia deanei,15.43,12.4368,0.8060142579
Acacia decora,17.2,11.3821,0.66175
Acacia decora,12.17,8.628,0.7089564503
Acacia decora,11.98,8.6745,0.724081803
Acacia decora,12.01,8.7095,0.7251873439
Acacia decora,7.64,5.548,0.7261780105
Acacia difformis,7.52,5.2913,0.7036303191
Acacia difformis,14.19,10.0735,0.709901339
Acacia difformis,9.59,6.8647,0.715818561
Acacia difformis,11.93,8.5865,0.7197401509
Acacia difformis,7.94,5.8324,0.734559194
Acacia euthycarpa,8.26,6.9261,0.8385108959
Acacia euthycarpa,11.81,10.5995,0.8975021169
Acacia euthycarpa,8.05,7.2802,0.9043726708
Acacia euthycarpa,10.29,9.4487,0.9182410107
Acacia euthycarpa,13.24,12.5331,0.9466087613
Acacia falciformis,17.05,9.499,0.5571260997
Acacia falciformis,30.96,19.0023,0.6137693798
Acacia falciformis,19.93,13.1248,0.6585449072
Acacia falciformis,16.66,11.3915,0.6837635054
