species,sla,units
Acacia acinacea,6.741255345,mm2 mg-1
Acacia acuminata,5.06417908,mm2 mg-1
Acacia argyrophylla,4.429076909,mm2 mg-1
Acacia baileyana,8.648025406,mm2 mg-1
Acacia calamifolia,3.104241364,mm2 mg-1
Acacia cupularis,3.37137907,mm2 mg-1
Acacia difformis,5.464100835,mm2 mg-1
Acacia euthycarpa,2.64534997,mm2 mg-1
Acacia falciformis,5.640406104,mm2 mg-1
Acacia leucoclada,6.866939122,mm2 mg-1
Acacia microbotrya,4.963802512,mm2 mg-1
Acacia microcarpa,2.684163204,mm2 mg-1
Acacia montana,6.738124335,mm2 mg-1
Acacia mucronata,4.872138019,mm2 mg-1
Acacia notabilis,4.774735448,mm2 mg-1
Acacia oxycedrus,2.648887059,mm2 mg-1
Acacia polybotrya,8.331275415,mm2 mg-1
Acacia pravissima,8.016860562,mm2 mg-1
Acacia pycnantha,4.261982806,mm2 mg-1
Acacia retinodes,7.588758805,mm2 mg-1
Acacia sclerophylla,4.001471699,mm2 mg-1
Acacia triptera,3.805363152,mm2 mg-1
Acacia verniciflua,6.409959969,mm2 mg-1
Acacia verticillata,5.864536004,mm2 mg-1
Acacia wattsiana,4.608897443,mm2 mg-1
Allocasuarina acutivalvis,1.822607081,mm2 mg-1
Allocasuarina fraseriana,2.533122178,mm2 mg-1
Allocasuarina huegeliana,2.886983193,mm2 mg-1
Allocasuarina muelleriana,3.699671409,mm2 mg-1
Allocasuarina paludosa,2.649054394,mm2 mg-1
Allocasuarina verticillata,3.256087589,mm2 mg-1
Babingtonia behrii,5.164266386,mm2 mg-1
Banksia grandis,4.735124181,mm2 mg-1
Banksia littoralis,4.772451409,mm2 mg-1
Bedfordia arborescens,11.15854142,mm2 mg-1
Callistemon rugulosus,3.053466404,mm2 mg-1
Callitris gracilis,3.07772991,mm2 mg-1
Callitris rhomboidea,4.950436574,mm2 mg-1
Cassinia aculeata,26.44252628,mm2 mg-1
Casuarina obesa,1.661423498,mm2 mg-1
Chamaecytisus palmensis,10.90293394,mm2 mg-1
Corymbia calophylla,6.095839432,mm2 mg-1
Dodonaea baueri,7.165527325,mm2 mg-1
Dodonaea sinuolata,7.19093103,mm2 mg-1
Eucalyptus acaciiformis,5.347340459,mm2 mg-1
Eucalyptus accedens,2.672012951,mm2 mg-1
Eucalyptus albens,5.203367559,mm2 mg-1
Eucalyptus amygdalina,4.886830029,mm2 mg-1
Eucalyptus argyphea,2.967004007,mm2 mg-1
Eucalyptus astringens,3.033443821,mm2 mg-1
Eucalyptus behriana,3.060546415,mm2 mg-1
Eucalyptus brachycalyx,3.05878173,mm2 mg-1
Eucalyptus bridgesiana,6.282349313,mm2 mg-1
Eucalyptus calycogona,2.365573001,mm2 mg-1
Eucalyptus capillosa,3.21703169,mm2 mg-1
Eucalyptus clivicola,2.704954763,mm2 mg-1
Eucalyptus coccifera,3.6335087,mm2 mg-1
Eucalyptus conferruminata,3.567641649,mm2 mg-1
Eucalyptus conglobata,2.291492045,mm2 mg-1
Eucalyptus conica,6.981947784,mm2 mg-1
Eucalyptus consideniana,4.807520745,mm2 mg-1
Eucalyptus dalrympleana,6.265701053,mm2 mg-1
Eucalyptus decipiens,2.786031664,mm2 mg-1
Eucalyptus extensa,3.166135402,mm2 mg-1
Eucalyptus falcata,2.785432709,mm2 mg-1
Eucalyptus fasciculosa,4.130494106,mm2 mg-1
Eucalyptus flocktoniae,2.764905055,mm2 mg-1
Eucalyptus gardneri,3.50454353,mm2 mg-1
Eucalyptus kitsoniana,5.842999713,mm2 mg-1
Eucalyptus kochii,3.108278389,mm2 mg-1
Eucalyptus lehmannii,2.777506881,mm2 mg-1
Eucalyptus longicornis,3.152670113,mm2 mg-1
Eucalyptus loxophleba,3.020982768,mm2 mg-1
Eucalyptus macrorhyncha,4.034134574,mm2 mg-1
Eucalyptus megacornuta,3.801342264,mm2 mg-1
Eucalyptus nitida,3.790509721,mm2 mg-1
Eucalyptus occidentalis,2.882898461,mm2 mg-1
Eucalyptus odorata,3.761889398,mm2 mg-1
Eucalyptus oleosa,3.138864455,mm2 mg-1
Eucalyptus ovata,4.090761595,mm2 mg-1
Eucalyptus perriniana,5.965791689,mm2 mg-1
Eucalyptus phaenophylla,2.609888182,mm2 mg-1
Eucalyptus phenax,1.975550429,mm2 mg-1
Eucalyptus pileata,2.233868561,mm2 mg-1
Eucalyptus platypus,2.438974059,mm2 mg-1
Eucalyptus pleurocarpa,2.785988491,mm2 mg-1
Eucalyptus porosa,4.065985993,mm2 mg-1
Eucalyptus pulchella,4.030199364,mm2 mg-1
Eucalyptus radiata,6.420101478,mm2 mg-1
Eucalyptus rodwayi,4.466870799,mm2 mg-1
Eucalyptus rubida,7.600614643,mm2 mg-1
Eucalyptus rudis,5.650208644,mm2 mg-1
Eucalyptus salubris,3.249903795,mm2 mg-1
Eucalyptus sargentii,3.41636836,mm2 mg-1
Eucalyptus spathulata,3.587043202,mm2 mg-1
Eucalyptus stellulata,4.331026055,mm2 mg-1
Eucalyptus tenuiramis,4.127430928,mm2 mg-1
Eucalyptus tricarpa,3.836348356,mm2 mg-1
Eucalyptus utilis,2.532161455,mm2 mg-1
Eucalyptus wandoo,3.079204398,mm2 mg-1
Eucalyptus willisii,3.922385408,mm2 mg-1
Eucalyptus woollsiana,4.552216747,mm2 mg-1
Eutaxia myrtifolia,8.433921277,mm2 mg-1
Exocarpos sparteus,3.551317278,mm2 mg-1
Hakea rostrata,1.772966164,mm2 mg-1
Hakea rugosa,2.063235833,mm2 mg-1
Kingia australis,1.526626568,mm2 mg-1
Kunzea ericifolia,6.353523347,mm2 mg-1
Leptomeria drupacea,3.468862101,mm2 mg-1
Leptospermum continentale,6.981258874,mm2 mg-1
Leptospermum coriaceum,4.815280823,mm2 mg-1
Melaleuca acuminata,6.781206353,mm2 mg-1
Melaleuca adnata,5.647752293,mm2 mg-1
Melaleuca armillaris,6.983393437,mm2 mg-1
Melaleuca brevifolia,3.716275927,mm2 mg-1
Melaleuca cuticularis,3.939949109,mm2 mg-1
Melaleuca decussata,7.876326164,mm2 mg-1
Melaleuca ericifolia,8.336542307,mm2 mg-1
Melaleuca halmaturorum,3.035476449,mm2 mg-1
Melaleuca hamata,2.418894829,mm2 mg-1
Melaleuca lateriflora,8.957980653,mm2 mg-1
Melaleuca preissiana,5.290051777,mm2 mg-1
Melaleuca spathulata,5.801018056,mm2 mg-1
Olearia lirata,12.84516051,mm2 mg-1
Ozothamnus ferrugineus,11.76053589,mm2 mg-1
Pittosporum angustifolium,5.239311982,mm2 mg-1
Rhagodia parabolica,11.17580453,mm2 mg-1
Santalum spicatum,2.615418871,mm2 mg-1
Viminaria juncea,4.831090123,mm2 mg-1
