taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Acanthus ebracteatus,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acanthus ebracteatus subsp. ebarbatus,Acanthaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Acanthus ilicifolius,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acanthus mollis,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,woody
Andrographis paniculata,Acanthaceae,native + naturalised,APC_accepted,binomial,species - www.inaturalist.org/search?q=Andrographis%20paniculata,website - well referenced material,herb,herbaceous
Asystasia alba,Acanthaceae,native,APC_accepted,binomial,species - FoA print,FoA print editions,herb,herbaceous soft_woody
Asystasia australasica,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Asystasia gangetica,Acanthaceae,naturalised,APC_accepted,binomial,species - plantnet.rbgsyd.PlantNet.gov.au/cgi-bin/PlantNetfl.pl?page=PlantNetfl&lvl=sp&name=Asystasia~gangetica,scraped from online flora,herb,herbaceous
Asystasia gangetica subsp. gangetica,Acanthaceae,naturalised,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Asystasia gangetica subsp. micrantha,Acanthaceae,naturalised,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Asystasia sp. Flora of Australia (D.A.Powell 740),Acanthaceae,naturalised,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Asystasia sp. Newcastle Bay (L.J.Brass 18671),Acanthaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb,herbaceous
Asystasia sp. Phosphate Hill (D.A.Powell 787),Acanthaceae,naturalised,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Avicennia integra,Acanthaceae,native,APC_accepted,binomial,genus - PlantNet,scraped from online flora,shrub tree,woody
Avicennia marina,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Avicennia marina subsp. australasica,Acanthaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub tree,woody
Avicennia marina subsp. eucalyptifolia,Acanthaceae,native,APC_accepted,subspecies,species - florabase.dpaw.wa.gov.au/browse/profile/14554,scraped from online flora,shrub tree,woody
Avicennia marina subsp. marina,Acanthaceae,native,APC_accepted,subspecies,genus - PlantNet,scraped from online flora,shrub tree,woody
Barleria cristata,Acanthaceae,naturalised,APC_accepted,binomial,species - www.inaturalist.org/taxa/159175-Barleria-cristata / tropical.theferns.info/viewtropical.php?id=Barleria+cristata,website - well referenced material,shrub,woody
Barleria lupulina,Acanthaceae,naturalised,APC_accepted,binomial,species - tropical.theferns.info,website - well referenced material,shrub,woody
Barleria prionitis,Acanthaceae,naturalised,APC_accepted,binomial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=220001533,website - well referenced material,shrub,woody
Barleria repens,Acanthaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb subshrub climber_herbaceous,herbaceous semi_woody
Barleria strigosa,Acanthaceae,naturalised,APC_accepted,binomial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242420688,website - well referenced material,subshrub,woody
Brillantaisia lamium,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brunoniella acaulis,Acanthaceae,native,APC_accepted,binomial,genus - PlantNet,scraped from online flora,herb,herbaceous
Brunoniella acaulis subsp. acaulis,Acanthaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Brunoniella acaulis subsp. ciliata,Acanthaceae,native,APC_accepted,subspecies,genus - PlantNet,scraped from online flora - applied genus value to individual species,herb,herbaceous
Brunoniella australis,Acanthaceae,native,APC_accepted,binomial,genus - PlantNet,scraped from online flora,herb,herbaceous
Brunoniella linearifolia,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Brunoniella pumilio,Acanthaceae,native,APC_accepted,binomial,genus - PlantNet,scraped from online flora,herb,herbaceous
Brunoniella sp. Daly River road (N.Byrnes 1275),Acanthaceae,native,APC_accepted,phrase_name,genus - PlantNet,scraped from online flora - applied genus value to individual species,herb,herbaceous
Brunoniella spiciflora,Acanthaceae,native,APC_accepted,binomial,genus - PlantNet,scraped from online flora - applied genus value to individual species,herb,herbaceous
Crossandra infundibuliformis,Acanthaceae,naturalised,APC_accepted,binomial,http://www.efloras.org/florataxon.aspx?flora_id=5&taxon_id=242412774,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242300251,subshrub,semi_woody
Crossandra nilotica,Acanthaceae,naturalised,APC_accepted,binomial,species - en.hortipedia.com/Crossandra_nilotica,website - without source references or incompletely referenced,subshrub,semi_woody
Dicladanthera forrestii,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb subshrub,herbaceous semi_woody
Dicladanthera glabra,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb subshrub,herbaceous semi_woody woody
Dicliptera armata,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Dicliptera arnhemica,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Dicliptera australis,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Dicliptera chinensis,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous
Dicliptera ciliata,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Dicliptera glabra,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Dicliptera maclearii,Acanthaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Dicliptera miscella,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Dicliptera spicata,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Dipteracanthus australasicus,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb shrub,herbaceous woody
Dipteracanthus australasicus subsp. australasicus,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora,subshrub shrub,woody woody_base
Dipteracanthus australasicus subsp. corynothecus,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora,subshrub shrub,woody woody_base
Dipteracanthus australasicus subsp. dalyensis,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,subshrub shrub,woody woody_base
Dipteracanthus australasicus subsp. glabratus,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,subshrub shrub,woody woody_base
Dipteracanthus bracteatus,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Dipteracanthus chichesterensis,Acanthaceae,native,APC_accepted,binomial,"species - Trudgen 2015, Nuytsia 25: 161–170",taxon revision; taxonomic species description,subshrub,woody
Dipteracanthus prostratus,Acanthaceae,naturalised,APC_accepted,binomial,species - plants.jstor.org/compilation/Dipteracanthus.prostratus,website - well referenced material,subshrub shrub,woody woody_base
Dipteracanthus sp. Kalpowar (D.G.Fell+ DGF2969B),Acanthaceae,native,APC_accepted,phrase_name,species,scraped from online flora,subshrub,woody
Dyschoriste depressa,Acanthaceae,naturalised,APC_accepted,binomial,species - sown.com.au/dyschoriste-depressa-acanthaceae-dyschoriste/,website - without source references or incompletely referenced,herb,herbaceous
Ecbolium ligustrinum,Acanthaceae,naturalised,APC_accepted,binomial,species - www.flowersofindia.net/catalog/slides/Green%20Shrimp%20Plant.html,website - well referenced material,shrub,woody
Eranthemum pulchellum,Acanthaceae,naturalised,APC_accepted,binomial,species - www.jcu.edu.au/discover-nature-at-jcu/plants/nq-weeds-by-scientific-name2/eranthemum-pulchellum,website - without source references or incompletely referenced,shrub,woody
Graptophyllum excelsum,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,shrub,woody
Graptophyllum ilicifolium,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Graptophyllum pictum,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Graptophyllum reticulatum,Acanthaceae,native,APC_accepted,binomial,species - www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55459,website - well referenced material,shrub,woody
Graptophyllum spinigerum,Acanthaceae,native + naturalised,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,shrub,woody
Harnieria hygrophiloides,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Harnieria kempeana,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Harnieria kempeana subsp. kempeana,Acanthaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Harnieria kempeana subsp. muelleri,Acanthaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Harnieria kempeana subsp. rhadinophylla,Acanthaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Harnieria sp. Lornesleigh (E.J.Thompson+ CHA75),Acanthaceae,native,APC_accepted,phrase_name,*AusTraits plant_growth_form value,AusTraits value - usually for genus sp. or phrase names,shrub,woody
Harnieria sp. Mt Garnet (R.J.Myers AQ6301),Acanthaceae,native,APC_accepted,phrase_name,*AusTraits plant_growth_form value,AusTraits value - usually for genus sp. or phrase names,shrub,woody
