Site,Species,Family,N,Ca,K,Mg,P,S,Al,B,Co,Cr,Cu,Fe,Mn,Na,Ni,Zn,Se,cellulose,alkaloids,water content (% fresh wt),Total Phenolics_FW,Total Phenolics_DW,Condensed_Tannins_FW,Condensed_Tannins_DW,Condensed_Tannins/Total Phenolics,thickness,leafarea,SLA,Toughness,Tough_adj,Toughness_N_per_m,Tough_adj_N_per_m2,site name,latitude,longitude
3,Acacia aulacocarpa,Mimosaceae,2.439,0.1967114,0.6758076,0.1665933,0.1135457,0.3733766,52.1,18.8,0.1,0.3,4.919,75.6,166.8,6395.1,5,9.7,1,23.5,0,69.9,38.1,12.6,5.7,19.1,15.1,0.3,25.6,100,3.6,11.8,2245.996454,24539590.89,Tully Falls Rd: Smiths,-17.68174,145.52989
5,Acacia aulacocarpa,Mimosaceae,2.475,0.2927163,1.0079631,0.1057092,0.0685535,0.4548204,51.9,11.2,0.1,0.321,5.798,69.1,148.6,2224.5,5,15.2,1,20.9,0,65.7,43.7,12.8,5.3,15.6,12.2,0.37,26.6,76.4,3.9,10.5,2433.162825,17704927,Longlands Gap (rhyolite),-17.45501,145.47862
6,Acacia aulacocarpa,Mimosaceae,2.619,0.3092873,1.0396088,0.1892156,0.0971365,0.6134874,18,15.4,0.1,0.317,3.936,52.8,271.1,1483.6,5,12.6,1,21.5,0,70.1,69.8,23.4,12.1,40.7,17.4,0.34,15,108.7,2.1,6.4,1310.164598,11743772.31,Mt Haig,-17.10111,145.57346
7,Acacia aulacocarpa,Mimosaceae,2.823,0.2053844,1.546589,0.1308269,0.1469573,0.3441645,12.2,11.2,0.1,0.302,5.516,50.5,233.7,1408.6,5,12.9,1,20.6,0,63.6,55.2,15.2,8,21.9,14.5,0.34,32,74.8,2.9,8.6,1809.274921,15780694.04,Arthur Baillie Rd,-17.68914,145.50649
9,Acacia aulacocarpa,Mimosaceae,2.876,0.33549645,0.90156135,0.13135685,0.14795865,0.36316345,13.6,11.1,0.1,0.4465,4.953,48.2,204.1,2152.5,5,10,1,22.2,0,65.1,40.7,11.7,4.6,13.2,11.3,0.35,22.8,83.2,2.1,5.9,1310.164598,10516967.52,Lamins Hill (Cairns track),-17.36528,145.71537
13,Acacia aulacocarpa,Mimosaceae,2.599,0.3785364,1.0496909,0.1406115,0.0874301,0.3401663,25.1,16,0.1,0.3,7.725,68.9,432,2196.9,5,12.6,1,23,0,64,61.7,17.1,6.5,18.1,10.5,0.33,14.8,87.1,3,9.2,1871.663712,17393238.53,Cairns Track,-17.35164,145.72726
14,Acacia aulacocarpa,Mimosaceae,2.633,0.29648555,1.04008655,0.1489084,0.1037874,0.34132715,12.1,9.6,0.1,0.3,5.1505,44.6,309.7,1516.8,5,13.8,1,24.7,0,67.2,47,14.3,6.3,19.1,13.3,0.32,11.4,96.6,2.2,6.8,1372.553389,13257617.96,Robson Ck,-17.11917,145.62952
15,Acacia aulacocarpa,Mimosaceae,2.435,0.2506679,0.8351406,0.1612701,0.0789654,0.3560182,22.8,17.6,0.1,0.3,3.748,49.3,379.7,2586.8,5,9.4,1,23.9,0,65.9,53.1,15.6,8.1,23.8,15.3,0.35,18.8,81,3.4,9.6,2121.218873,17112353.94,TF Rd rhyolite,-17.78676,145.55958
1,Acacia melanoxylon,Mimosaceae,2.133,0.2811734,0.5852734,0.1775022,0.0902184,0.1788256,26.7,16,0.1,0.3,8.085,59.5,348.9,1257.4,5,11.4,1,20.6,0,54.4,68.8,15.1,5.8,12.7,8.4,0.3,17.8,65.4,3.3,10.9,2058.830083,22667927.17,Longlands Gap (basalt),-17.46028,145.47473
2,Acacia melanoxylon,Mimosaceae,2.678,0.1387114,0.292377,0.1823655,0.1076849,0.1857722,39.8,20,0.1,0.387,15.139,75.5,144,5854.4,5,9.7,1,23.2,0,58.6,48.3,11.6,4.3,10.4,9,0.31,13.8,75,3,9.6,1871.663712,19320399.6,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
