1,Genus_species,Genus,Species,Family,Order,superorder,Species code,location,lat,long,d13C,wood density (g/cm3),LMA (g m-2),Leaf size (cm2),Ks (kg m-1 s-1 MPa -1),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea (umol m-2 s-1),Rmass (umol/kg/s),Rarea,max_ht (m),MOR (Pa),MOE (Pa),LA/SA at 1.0 cm (m2/m2),LA/SA Gleason 2012 (m2/m2),gl N (mg/g),gl P (mg/g),gl K (mg/g),gl S (mg/g),gl C (mg/g),gl Ca (mg/g),gl Mg (mg/g),gl Na (mg/g),gl Cu (mg/kg),gl Zn (mg/kg),gl Mn (mg/kg),gl Fe (mg/kg),gl B (mg/kg),gl Mo (mg/kg),gl Co (mg/kg),gl Si (mg/kg),gl Crude Protein,stem N (mg/g),stem P (mg/g),N area (mg/cm3),P area (mg/cm3),stem K (mg/g),stem S (mg/g),stem C (mg/g),stem Ca (mg/g),stem Mg (mg/g),stem Na (mg/g),stem Cu (mg/kg),stem Zn (mg/kg),stem Mn (mg/kg),stem Fe (mg/kg),stem B (mg/kg),stem Mo (mg/kg),stem Co (mg/kg),stem Si (mg/kg),Crude Protein (%),bark thickness (mm bark/mm whole-stem),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),WUE (mmol CO2/mol H2O/m2/s,SA (mm),E (mmol/m2/s)
2,Acacia dealbata,Acacia,dealbata,Mimosaceae,Fabales,Rosidae,AcaDea,Bothwell,-42.387,147.048,-28.208,0.67,96.5,65.75,2.14,-0.61,-1.37,140.06,11.65,23.61,1.96,6,40.896,2793.757,12155.72014,,25.18095238,0.923387415,8.632666039,1.435,523.2,3.313637688,1.962948488,0.135571121,13.13926663,31.75321758,116.7478145,126.0139116,21.6591185,0.069815444,0.19378339,235.5081957,15.73809524,,,,,,,,,,,,,,,,,,,,0.21691,2.14,,5.46,16.27228756,2.359
3,Aotus ericoides,Aotus,ericoides,Fabaceae,Fabales,Rosidae,AotEri,Bothwell,-42.387,147.048,-25.908,0.83,151.2,0.059,0.35,-0.53,-1.19,90.2,13.637,25.03,3.78,1.1,60.684,7230.718,1359.74216,,14.74285714,0.403393311,2.971466119,1.56,538.8,1.389720354,1.207293722,2.392439773,3.132785252,18.24701046,55.72060289,127.1028087,22.38835949,0,0.494643747,468.3327728,9.214285714,,,,,,,,,,,,,,,,,,,,0.20452,0.35,,5.7,6.550487718,2.089
4,Banksia marginata,Banksia,marginata,Proteaceae,Proteales,Rosidae,BanMar,Bothwell,-42.387,147.048,-28.583,0.6,166.3,1.147,2.31,-0.29,-1.03,102.4,17.032,29.18,4.85,6,34.212,2523.574,3847.03298,,10.0952381,0.588036963,2.688706522,0.967625,505,2.219522604,1.320302557,2.489477273,3.80187747,9.061141304,199.2138093,48.38810351,12.67301754,0.161190711,0,198.8979125,6.30952381,,,,,,,,,,,,,,,,,,,,0.2595,2.31,,4.41,18.62332983,3.878
5,Bossiaea cinerea,Bossiaea,cinerea,Fabaceae,Fabales,Rosidae,BosCin,Bothwell,-42.387,147.048,-29.031,0.83,108.8,0.184,0.82,-0.47,-1.2,56.65,6.161,23.24,2.53,1.1,86.625,9612.494,4547.43908,,19.25714286,0.469889092,3.756108102,1.212125,535,2.418988531,1.413339617,0.312659407,6.613591996,22.26305515,163.2741581,69.94649048,13.54904832,0,0.63113104,373.1488531,12.03571429,,,,,,,,,,,,,,,,,,,,0.15078,0.82,,4.62,12.548385,1.455
6,Bursaria spinosa,Bursaria,spinosa,Pittosporaceae,Rosales,Rosidae,BurSpi,Bothwell,-42.387,147.048,-29.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cassinia aculeata,Cassinia,aculeata,Asteraceae,Asterales,Asteridae,CasAcu,Bothwell,-42.387,147.048,-29.93,0.61,89.5,0.124,1,-1.57,-2.94,118.25,10.588,41.81,3.74,3.6,64.275,6707.804,3088.3945,,18.98095238,1.220780871,12.09786785,1.98375,545.8,3.351942559,1.879280053,4.5583125,12.67571498,37.26563257,700.6192438,70.70969244,36.37590887,0.55077557,0.204344401,288.1669292,11.86309524,,,,,,,,,,,,,,,,,,,,0.15304,1,,6.74,14.60372487,1.61
8,Daviesia latifolia,Daviesia,latifolia,Fabaceae,Fabales,Rosidae,DavLat,Bothwell,-42.387,147.048,-27.571,0.65,120.3,8.292,1.16,-0.56,-1.37,91.09,10.956,21.12,2.54,2.2,58.166,5321.596,2689.92959,,18.45714286,0.611678983,11.56289829,1.79625,508.1,0.760244054,1.521699889,0.216775427,8.522670961,14.67257185,78.88503469,73.51433994,19.99513751,0,0.184186075,237.6018954,11.53571429,,,,,,,,,,,,,,,,,,,,0.19098,1.16,,7.92,16.99900077,1.328
9,Epacris impressa,Epacris,impressa,Epacridaceae,Ericales,Dilleniidae,EpaImp,Bothwell,-42.387,147.048,-28.269,0.7,103.1,0.069,0.05,-0.56,-1.47,33.49,3.453,15.06,1.55,1.6,60.259,5537.989,955.97817,,9.083809524,0.360917388,3.388847565,1.26875,530,2.640111839,1.582480011,0.834869161,4.646564508,9.552273851,57.32328225,54.69986678,48.08564014,0,0.058699951,232.635257,5.677380952,,,,,,,,,,,,,,,,,,,,0.08673,0.05,,5.97,13.34415042,0.8
10,Eucalyptus pauciflora,Eucalyptus,pauciflora,Myrtaceae,Myrtales,Rosidae,EucPau,Bothwell,-42.387,147.048,-27.105,0.62,210.9,15.761,9.02,-0.58,-1.47,57.92,12.217,12.5,2.64,9,56.745,4656.533,5363.90065,,15.79047619,0.9415678,8.417608614,1.21375,564.2,1.990274732,1.740280093,0.449412798,5.392300195,12.07949561,270.3252924,32.78785673,13.56122076,0,0.078125,283.4595517,9.869047619,,,,,,,,,,,,,,,,,,,,0.18125,9.02,,6.88,17.66547394,1.854
11,Eucalyptus rubida,Eucalyptus,rubida,Myrtaceae,Myrtales,Rosidae,EucRub,Bothwell,-42.387,147.048,-27.363,0.69,155.9,9.754,5.56,-0.43,-1.29,78.76,12.276,13.13,2.05,20,51.889,3301.786,8186.01203,,15.82857143,1.027838652,7.851028311,1.13925,514.4,3.337555182,1.284911858,1.38318678,6.170825336,15.39683301,251.4179463,38.18041339,14.20447457,0,0.164677303,240.5483445,9.892857143,,,,,,,,,,,,,,,,,,,,0.24691,5.56,,6.29,18.90231897,2.018
