taxon,subspecies,latitude (deg),longitude (deg),elevation.avg,elevation.rep,site.rep,aspect,aspect.cardinal,satwc.leaf.dm,c.leaf.dm,gmin.leaf,gmin.stem,c.stem.dm,satwc.stem.dm,wd.branch,lma,leaf.size,hv,rbt.branch,dbh.cm,tree.height.m,rbt.bole,wd.bole,bark.dens.bole,vessel.dens.branch,Lumen.area.branch,Fibre.area.branch,vessel.diam.branch,kv.branch,ks.branch,fibre.dens.branch,Depth to bedrock.cm,Percent Clay,pH (0-140),Percent Sand,Percent Silt,Soil organic content (t.h),BIO1_clip,BIO2_clip,BIO3_clip,BIO4_clip,BIO5_clip,BIO6_clip,BIO7_clip,BIO8_clip,BIO9_clip,BIO10_clip,BIO11,BIO12_clip,BIO13_clip,BIO14_clip,BIO15_clip,BIO16_clip,BIO17_clip,Summer_Pre,BIO19_clip,object.id,transect,site.no,site.id,Method,tree.no,db.damage,bt,db.s1,db.s2,db.s3,db.s4,db.s5,db.s6,db.s7,db.s8,db.s9,db.s10,db.s11,db.s12,db.s13,db.s14,db.s15,stem.no,db.max,rbt,wd
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43562397,148.333218,1810,1802,A1,355.3469849,N,1.012995812,0.040616848,5.822413184,17.58531455,0.11446277,1.043613279,0.625187182,403.6527217,10.448,5.036035433,20.1997445,20.5,7.24,11.70731707,NA,0.33190006,41.47901552,6.9720831,93.0279169,44.2837415,0.148,6.134685278,0.672042547,1264,23,58,56,20,160,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43654699,148.332163,1810,1802.122559,A2,350.1589966,N,1.030172273,0.046710657,4.064459487,6.228515057,0.055362071,0.940649573,0.53142315,371.3631157,9.603,4.531168644,17.4588029,20.1,7.78,9.950248756,0.808017403,0.326798263,46.25466728,7.9984804,92.0015196,45.47692629,0.144,6.677752577,0.577624318,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43658202,148.33221700000001,1810,1802.315796,A3,350.1589966,N,1.062218796,0.043707971,5.136542053,9.196001315,0.134330349,1.230091845,0.556334925,385.1894737,9.5,4.062684346,20.3166759,16.3,7.07,11.45194274,0.659962497,0.379454585,41.95782188,6.9903402,93.0096598,44.41372275,0.138,5.805697936,0.598147468,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43659703,148.332294,1810,1803.298462,A4,350.1589966,N,1.154623908,0.050639296,3.661843129,16.74586363,0.117309091,1.17482443,0.565035497,393.9666578,11.337,4.519662722,21.0236085,36.9,11.4,5.058717254,0.759396443,0.363646523,41.56435886,6.3204515,93.6795485,42.37952303,0.117,4.844873027,0.603157793,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43659803,148.332262,1810,1808.528198,A5,350.1589966,N,1.056015876,0.047277986,3.806662201,6.431622511,0.11933697,1.093329137,0.585926259,420.6596196,11.5036,2.641619329,25.2910268,18.3,10.98,13.84335155,0.800322,0.366655265,64.07011883,9.6209833,90.3790167,42.19328117,0.112,7.168955962,0.648298997,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43660599,148.332135,1810,1810.930298,A6,350.1589966,N,0.956651137,0.042325857,6.486133089,4.959859602,0.096988726,1.134579714,0.538770227,324.4993324,10.486,4.83308516,20.0836223,22.5,9,10.07407407,0.691793486,0.324743838,41.79816641,5.3834598,94.6165402,38.40397522,0.091,3.802990204,0.569424993,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43665503,148.332106,1810,1812.15332,A7,350.1589966,N,1.111021605,0.037755425,5.191219386,5.584146971,0.072183066,1.007695125,0.549161074,334.2385448,12.654,4.016614417,20.6037588,20,8.44,13,0.761821661,0.299313925,52.80007093,5.3522116,94.6477884,34.42203454,0.053900000000000003,2.84580629,0.580215432,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43670004,148.332163,1810,1811.278687,A8,350.1589966,N,0.964969131,0.043096379,17.7768128,7.510871805,0.0670532,0.920170633,0.59338455,361.7694868,12.919,5.096597356,17.7742497,17.7,7.76,14.3126177,0.736091612,0.377995117,44.37265751,5.5854666,94.4145334,38.52028905,0.0797,3.534504155,0.628488569,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.436664,148.332204,1810,1810.966553,A9,350.1589966,N,1.115856151,0.050989375,5.168326886,7.178138552,0.091711088,1.107637964,0.535954009,374.0472642,9.394,5.099513267,19.2079847,27.1,8.12,8.11808118,0.662084563,0.431051612,28.4121076,4.373635,95.626365,42.4128422,0.12,3.416466448,0.56046678,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. niphophila,Eniph,-36.43669602,148.332214,1810,1811.15918,A10,350.1589966,N,1.004471404,0.036601346,3.529339843,12.80712003,0.080986346,0.989686175,0.598180763,391.9425087,11.48,7.82795343,19.4006262,21.1,9.67,10.11058452,0.763943727,0.403714248,48.68380121,7.5450174,92.4549826,43.36822612,0.113,5.481911617,0.646996783,1075,25,57,55,21,153,5.1333299,8.6166697,39.1666985,489.0220032,15.6000004,-6.4000001,22,1.26667,11.1332998,11.1332998,-0.866667,1869,212,94,25.2122002,616,323,323,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
