Ordered_Tag,Tag_Num,Block,Plot,Plot_Code,Treatment,SubPlot,Position,provenance,Mother,Mother_Code,Notes,Trip,Months_Since_Planting,Trip_Date,Date_Deci,Alive,Green,Height,Leaf_Number,Fv.Fm,Soil_Moisture,Total_B,Total_ABG,Root_Weight,ABG_Weight,SLA_Weight,N_SLA_Leaves,Total_Leaf_Area,LA_per_leaf,SLA,ID.fact,Mother.f,Mother_Code.f,Site_Name,Total_B_log,Total_ABG.log,Root_Weight_log,SLA.sq,IN_Plant,Run,Thermocouple,NT_Temp,Exotherm,FvFm_Pre_IN,FvFm_Post_IN,Weight_Pre_IN,Weight_Post_IN,species,site,context
4011,15,A,2,2,Ambient,A2A,Ea,Kosciuszko Summit,3,3,Good,11,25,Apr-16,42461,1,1,35,5,0.784,16.2,0.4779,0.2733,0.2046,0.161,0.1123,3,1.46,0.486666667,13.00089047,15,3,3,Kosciuszko Summitt,-0.738353773,-1.297185186,-1.586698425,3.605674759,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Kosciuszko Summit grown under Ambient conditions
4012,13,A,2,2,Ambient,A2A,So,Snowy River,4,24,Good,11,25,Apr-16,42461,1,1,15,5,0.749,16.2,0.0775,0.0298,0.0477,0.0163,0.0135,3,8.023,2.674333333,0,13,4,24,Snowy River,-2.557477343,-3.513246885,-3.042823881,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Snowy River grown under Ambient conditions
4029,28,A,4,4,Ambient,A4A,No,Seamans Hut,3,33,Good,11,25,Apr-16,42461,1,0,35,5,0.77,25.5,0.1487,0.0946,0.0541,0.0564,0.0382,3,4.508,1.502666667,118.0104712,28,3,33,Seamans Hut,-1.905824426,-2.358097803,-2.916921093,10.86326246,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Seamans Hut grown under Ambient conditions
4035,37,A,5,5,Warmed,A5W,No,Snowy River,5,25,Good,11,25,Apr-16,42461,1,1,39,4,0.779,29.4,0.643,0.4155,0.2275,0.2531,0.1624,3,10.642,3.547333333,65.52955665,37,5,25,Snowy River,-0.441610555,-0.878272665,-1.480605041,8.095032838,Yes,2,4-,-10.2,Yes,0.735,0.71,0.00397,0.00313,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Snowy River grown under Warmed conditions
4037,36,A,5,5,Ambient,A5A,Ea,Seamans Hut,4,34,Good,11,25,Apr-16,42461,1,1,20,6,0.817,25.3,0.1088,0.0656,0.0432,0.0344,0.0312,3,2.053,0.684333333,65.80128205,36,4,34,Seamans Hut,-2.218243945,-2.724179583,-3.141914784,8.11179894,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Seamans Hut grown under Ambient conditions
4038,34,A,5,5,Ambient,A5A,No,Charlotte Pass,1,11,Good,11,25,Apr-16,42461,1,0,35,1,0.663,25.3,0.1334,0.0551,0.0783,0.0388,0.0163,1,1.126,1.126,69.0797546,34,1,11,Charlotte Pass,-2.014403146,-2.898605563,-2.547207676,8.311423139,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Charlotte Pass grown under Ambient conditions
4042,41,A,6,6,Ambient,A6A,No,Charlotte Pass,8,18,Good,11,25,Apr-16,42461,1,1,35,5,0.798,29.6,1.1839,0.1859,0.998,0.0989,0.087,3,6.622,2.207333333,76.11494253,41,8,18,Charlotte Pass,0.168814073,-1.682546384,-0.002002003,8.724387803,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Charlotte Pass grown under Ambient conditions
4049,49,A,7,7,Warmed,A7W,Ea,Charlotte Pass,5,15,Good,11,25,Apr-16,42461,1,1,65,5,0.796,32.3,0.4218,0.263,0.1588,0.1168,0.1462,3,11.742,3.914,80.31463748,49,5,15,Charlotte Pass,-0.863224011,-1.335601247,-1.84010973,8.96184342,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Charlotte Pass grown under Warmed conditions
4050,55,A,7,7,Warmed,A7W,No,Kosciuszko Summit,2,2,Good,11,25,Apr-16,42461,1,1,49,7,0.821,32.3,0.276,0.1717,0.1043,0.0973,0.0744,3,5.482,1.827333333,73.6827957,55,2,2,Kosciuszko Summitt,-1.287354413,-1.762006511,-2.260483917,8.583868341,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Kosciuszko Summit grown under Warmed conditions
4053,50,A,7,7,Ambient,A7A,Ea,Charlotte Pass,5,15,Good,11,25,Apr-16,42461,1,1,35,3,0.737,45,0.1535,0.0616,0.0919,0.0189,0.0427,3,3.45,1.15,80.79625293,50,5,15,Charlotte Pass,-1.874054712,-2.787093408,-2.38705425,8.988673591,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aciphylla glacialis,"Merritts Creek, Kosciuszko NP",seeds from Charlotte Pass grown under Ambient conditions
