dataset_id,trait_name,find,replace,omit
ANBG_2019,dispersal_appendage,hairs,hairs,x
ANBG_2019,dispersal_appendage,aril,aril,x
ANBG_2019,dispersal_appendage,wing,wings,
ANBG_2019,dispersal_appendage,pappus,pappus,
ANBG_2019,dispersal_appendage,wings,wings,x
ANBG_2019,dispersal_appendage,pappus hairs,pappus,
ANBG_2019,dispersal_appendage,awn,bristles,
ANBG_2019,dispersal_appendage,hairs persistent flower parts,floral_parts,
ANBG_2019,dispersal_appendage,spines hairs,spines hairs,
ANBG_2019,dispersal_appendage,caruncle,eliasome,
ANBG_2019,dispersal_appendage,none,none,x
ANBG_2019,dispersal_appendage,hook,hooks,
ANBG_2019,dispersal_appendage,inflated seed coat,inflated_parts,
ANBG_2019,dispersal_appendage,pseudo-wing,wings,
ANBG_2019,dispersal_appendage,spines,spines,x
ANBG_2019,dispersal_appendage,awn hairs,bristles hairs,
ANBG_2019,dispersal_appendage,bract,bracts,
ANBG_2019,dispersal_appendage,inflated cell layer,inflated_parts,
ANBG_2019,dispersal_appendage,strophiole,eliasome,
ANBG_2019,dispersal_appendage,bristles,bristles,x
ANBG_2019,dispersal_appendage,persistent calyx,floral_parts,
ANBG_2019,dispersal_appendage,persistent sepals,floral_parts,
ANBG_2019,dispersal_appendage,persistent funicle,floral_parts,
ANBG_2019,dispersal_appendage,barbs,hooks,
ANBG_2019,dispersal_appendage,enclosing wing,wings,
ANBG_2019,dispersal_appendage,spine,spines,
ANBG_2019,dispersal_appendage,glumes,glumes,x
ANBG_2019,dispersal_appendage,scales,scales,x
ANBG_2019,dispersal_appendage,awns,bristles,
ANBG_2019,dispersal_appendage,awns hairs,bristles hairs,
ANBG_2019,dispersal_appendage,elaiosome,elaiosome,x
ANBG_2019,dispersal_appendage,paddles,wings,
ANBG_2019,dispersal_appendage,persistent style,style,
ANBG_2019,dispersal_appendage,beak,hooks,
ANBG_2019,dispersal_appendage,hairs bracts,hairs bracts,
ANBG_2019,dispersal_appendage,attached carpels,style,
ANBG_2019,dispersal_appendage,placental endocarp,placental_endocarp,
ANBG_2019,dispersal_appendage,bristles persistent style,bristles floral_parts,
ANBG_2019,dispersal_appendage,awn bristles,bristles,
ANBG_2019,dispersal_appendage,persistent bracts,bracts,
ANBG_2019,dispersal_appendage,short hairs,hairs,
ANBG_2019,dispersal_appendage,persistent tepals,floral_parts,
ANBG_2019,dispersal_appendage,style stigma,floral_parts,
ANBG_2019,dispersal_appendage,tiny barbs,hooks,
ANBG_2019,dispersal_appendage,persistent glumes,glumes,
ANBG_2019,dispersal_appendage,reduced pappus,pappus,
ANBG_2019,dispersal_appendage,awns bristles,bristles,
ANBG_2019,dispersal_appendage,feathery style,plumose_style,
ANBG_2019,dispersal_appendage,curved awn,bristles,
ANBG_2019,dispersal_appendage,persistent flower parts,floral_parts,
ANBG_2019,dispersal_appendage,persistent floral parts,floral_parts,
ANBG_2019,dispersal_appendage,hook hairs,hooks hairs,
