"ITEM_ID","DATEGERMPLASMRECEIVED","MONITORINGPERIOD","THOUSANDSEEDWEIGHT","DEGREEOFPURITY","AVGSEEDPERFRUIT","ORIGINALSEEDQUANTITY","CURRENTSEEDQUANTITY","ADJUSTEDSEEDQUANTITY","METHODSEEDNUMDETERMINED","VIABILITYSUMMARY","PROCESSINGMEASUREMENTSORFACTS"
1370384,,"",,,"","",,"","","","Current quantity available as 1.579gm packet"
1586186,13-JUN-16,"",0.0512,,"","",1203,"","","","Current quantity available as 1203ea packet"
1362399,,"",0.8524,,"","",157,"","","","Current quantity available as .134gm packet"
1371115,,"",,,"","",34,"","","","Current quantity available as 34ea packet"
1371507,,"",,,"","",,"","","","Current quantity available as 1 packet"
1362979,,"",0.8429,,"","",134,"","","","Current quantity available as .113gm packet"
1363336,,"",1.0833,,"","",113,"","","","Current quantity available as .122gm packet"
1367697,,"",,,"","",,"","","","Current quantity available as 1.017gm packet"
1371916,,"",,,"","",,"","","","Current quantity available as 63.321gm packet"
1517443,02-APR-15,"",,,"","",0,"","","","Current quantity available as 0ea vial"
1374924,,"",,,"","",,"","","","Current quantity available as 10.873gm packet"
1375091,,"",,,"","",,"","","","Current quantity available as 42.441gm large packet"
1446837,15-DEC-11,"",1.3,100,"","",190,"","","","Current quantity available as 190ea packet"
1375374,,"",,,"","",,"","","","Current quantity available as 4 packet"
1405925,,"",66.917,,"","",292,"","","","Current quantity available as 19.555gm packet"
1405946,,"",,,"","",,"","","","Current quantity available as 1.309gm packet"
1455983,25-JUN-13,"",0.0753,100,"","",57,"","","","Current quantity available as 57ea packet"
1455988,25-JUN-13,"",1.7633,100,"","",14,"","","","Current quantity available as 14ea packet"
1455989,25-JUN-13,"",0.6,100,"","",397,"","","","Current quantity available as 397ea packet"
1494814,27-AUG-14,"",1.048,100,"","",1813,"","","","Current quantity available as 1813ea packet"
1494817,27-AUG-14,"",2.448,100,"","",2768,"","","","Current quantity available as 2768ea packet"
1494845,27-AUG-14,"",7.133,,"","",324,"","","","Current quantity available as 2.312gm packet"
1462648,09-OCT-13,"",4.3452,,"","",57,"","","","Current quantity available as 57ea packet"
1462664,09-OCT-13,"",10.0449,100,"","",59,"","","","Current quantity available as 59ea packet"
1495937,05-SEP-14,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1454919,25-JUL-12,"",,,"","",9,"","","","Current quantity available as 9ea plate"
1454925,02-FEB-12,"",,,"","",4,"","","","Current quantity available as 4ea plate"
1510824,17-FEB-15,"",0.8563,100,"","",77,"","","","Current quantity available as 77ea packet"
1510826,17-FEB-15,"",0.56,100,"","",5,"","","","Current quantity available as 5ea packet"
1510833,17-FEB-15,"",1.1062,100,"","",168,"","","","Current quantity available as 168ea packet"
1510837,17-FEB-15,"",0.86,100,"","",30,"","","","Current quantity available as 30ea packet"
1525913,29-JUL-15,"",1.3456,100,"","",33,"","","","Current quantity available as 33ea packet"
1525916,29-JUL-15,"",1.2736,100,"","",27,"","","","Current quantity available as 27ea packet"
1580008,06-APR-16,"",0.161,,"","",8232,"","","","Current quantity available as 1.3254gm packet"
1511050,18-FEB-15,"",,,"","",46,"","","","Current quantity available as 46ea packet"
1511056,18-FEB-15,"",,,"","",55,"","","","Current quantity available as 55ea packet"
1511070,18-FEB-15,"",,,"","",81,"","","","Current quantity available as 81ea packet"
1511071,18-FEB-15,"",,,"","",185,"","","","Current quantity available as 185ea packet"
1511073,18-FEB-15,"",,,"","",97,"","","","Current quantity available as 97ea packet"
1511078,18-FEB-15,"",,,"","",105,"","","","Current quantity available as 105ea packet"
1511079,18-FEB-15,"",,,"","",157,"","","","Current quantity available as 157ea packet"
1511081,18-FEB-15,"",,,"","",176,"","","","Current quantity available as 176ea packet"
1511085,18-FEB-15,"",,,"","",189,"","","","Current quantity available as 189ea packet"
1511095,18-FEB-15,"",,,"","",168,"","","","Current quantity available as 168ea packet"
1446801,08-DEC-11,"",0.6,,"","",3167,"","","","Current quantity available as 3167ea packet"
1585880,08-JUN-16,"",,,"","",2144,"","","","Current quantity available as 2069ea packet,75ea packet"
1509092,05-FEB-15,"",1.0332,99.6716,"","",2932,"","","","Current quantity available as 3.029gm packet"
1509112,05-FEB-15,"",1.7368,100,"","",1084,"","","","Current quantity available as 1.883gm packet"
1585896,08-JUN-16,"",,,"","",1527,"","","","Current quantity available as 1502ea packet,25ea packet"
1585917,08-JUN-16,"",0.238,,"","",1301,"","","","Current quantity available as 1301ea packet"
1466863,27-NOV-13,"",3.06,,"","",215,"","","","Current quantity available as .658gm packet"
1567451,24-NOV-15,"",,,"","",55,"","","","Current quantity available as 55ea packet"
1567457,24-NOV-15,"",,,"","",98,"","","","Current quantity available as 98ea packet"
1585927,08-JUN-16,"",,,"","",83,"","","","Current quantity available as 83ea packet"
1586092,10-JUN-16,"",0.285,,"","",2533,"","","","Current quantity available as 2413ea packet,120ea packet"
1586108,10-JUN-16,"",,,"","",10,"","","","Current quantity available as 10ea packet"
1586209,14-JUN-16,"",0.5736,,"","",6604,"","","","Current quantity available as 6604ea packet"
1586221,14-JUN-16,"",81.6636,100,"","",2292,"","","","Current quantity available as 2292ea packet"
1586241,14-JUN-16,"",,100,"","",62,"","","","Current quantity available as 62ea packet"
1586247,14-JUN-16,"",0.6152,,"","",21456,"","","","Current quantity available as 13.2gm packet"
1586260,14-JUN-16,"",,100,"","",91,"","","","Current quantity available as 91ea packet"
1586470,17-JUN-16,"",,,"","",127,"","","","Current quantity available as 127ea packet"
1586472,17-JUN-16,"",,,"","",1314,"","","","Current quantity available as 1289ea packet,25ea packet"
1525854,29-JUL-15,"",0.247,96.5,"","",8146,"","","","Current quantity available as 8146ea packet"
1586478,17-JUN-16,"",,,"","",728,"","","","Current quantity available as 728ea packet"
1568986,08-DEC-15,"",,,"","",28,"","","","Current quantity available as 28ea packet"
1568991,08-DEC-15,"",,,"","",12,"","","","Current quantity available as 12ea packet"
1501319,12-NOV-14,"",0.8807,76.76,"","",764,"","","","Current quantity available as .673gm packet"
1411431,17-JUL-12,"",0.6,100,"","",245,"","","","Current quantity available as 245ea packet"
1447036,12-JAN-12,"",22,,"","",1136,"","","","Current quantity available as 1136ea packet"
1447147,09-FEB-12,"",3.4,99.65,"","",339,"","","","Current quantity available as 339ea packet"
1447148,09-FEB-12,"",5.4,98.6,"","",2234,"","","","Current quantity available as 2234ea packet"
1447150,09-FEB-12,"",2.9,99.7847,"","",470,"","","","Current quantity available as 470ea packet"
1467274,04-DEC-13,"",0.0866,,"","",13788,"","","","Current quantity available as 1.194gm packet"
1467303,04-DEC-13,"",10.0449,,"","",89,"","","","Current quantity available as 89ea packet"
1461585,18-SEP-13,"",6.5,,"","",366,"","","","Current quantity available as 365.961ea packet,.039ea packet"
1459734,28-AUG-13,"",0.414,,"","",4759,"","","","Current quantity available as 4759ea packet"
1452441,25-JAN-13,"",,,"","",2,"","","","No stock available"
1585946,08-JUN-16,"",,,"","",2835,"","","","Current quantity available as 2800ea packet,35ea stick"
1585952,08-JUN-16,"",,,"","",296,"","","","Current quantity available as 296ea packet"
1585958,08-JUN-16,"",,,"","",85,"","","","Current quantity available as 85ea packet"
1586180,13-JUN-16,"",2.0056,11.407,"","",1244,"","","","Current quantity available as 1244ea packet"
1586182,13-JUN-16,"",1.3588,,"","",592,"","","","Current quantity available as 592ea packet"
1582369,06-MAY-16,"",,,"","",1,"","","","Current quantity available as 1ea packet"
1582370,06-MAY-16,"",,,"","",2,"","","","Current quantity available as 2ea packet"
1581497,21-APR-16,"",,,"","",210,"","","","Current quantity available as 210ea packet"
1532610,30-SEP-15,"",0.1648,100,"","",2236,"","","","Current quantity available as 2236ea packet"
1532620,30-SEP-15,"",186.7032,100,"","",560,"","","","Current quantity available as 560ea large packet"
1532621,30-SEP-15,"",0.35,,"","",586,"","","","Current quantity available as 586ea packet"
1582375,06-MAY-16,"",,,"","",10,"","","","Current quantity available as 10ea packet"
1582376,06-MAY-16,"",,,"","",476,"","","","Current quantity available as 476ea packet"
1466896,27-NOV-13,"",,,"","",5,"","","","Current quantity available as 5ea packet"
1467287,04-DEC-13,"",0.1066,100,"","",17636,"","","","Current quantity available as 1.88gm packet"
1467569,11-DEC-13,"",,,"","",,"","","","Current quantity available as .365gm packet"
1467609,11-DEC-13,"",1.43,100,"","",3231,"","","","Current quantity available as 3231ea packet"
1467283,04-DEC-13,"",4.307,35,"","",540,"","","","Current quantity available as 540ea packet"
1586035,09-JUN-16,"",89.2276,100,"","",503,"","","","Current quantity available as 503ea packet"
1583020,05-MAY-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1583032,10-MAY-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1583035,05-MAY-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1583090,05-MAY-16,"",,,"","",8,"","","","Current quantity available as 8ea plate"
1530574,01-SEP-15,"",0.9806,100,"","",44,"","","","Current quantity available as 44ea packet"
1582072,04-MAY-16,"",,,"","",3832,"","","","Current quantity available as 3757ea packet,75ea packet"
1582094,04-MAY-16,"",,,"","",293,"","","","Current quantity available as 293ea packet"
1498495,01-OCT-14,"",0.014,40,"","",99429,"","","","Current quantity available as 1.392gm packet"
1530580,01-SEP-15,"",0.9361,100,"","",59,"","","","Current quantity available as 59ea packet"
1530582,01-SEP-15,"",,,"","",82,"","","","Current quantity available as 82ea packet"
1530584,01-SEP-15,"",,,"","",141,"","","","Current quantity available as 141ea packet"
1530590,01-SEP-15,"",,,"","",59,"","","","Current quantity available as 59ea packet"
1530593,01-SEP-15,"",,100,"","",198,"","","","Current quantity available as 198ea packet"
1530594,01-SEP-15,"",,100,"","",87,"","","","Current quantity available as 87ea packet"
1409734,17-MAY-12,"",4.6993,100,"","",1443,"","","","Current quantity available as 6.781gm packet"
1407637,20-OCT-11,"",,100,"","",28,"","","","Current quantity available as 28ea packet"
1407667,25-OCT-11,"",,,"","",,"","","","Current quantity available as .292gm packet"
1407677,09-AUG-11,"",1.5619,,"","",53,"","","","Current quantity available as .0832gm packet"
1407019,31-MAY-11,"",0.044,,"","",12727,"","","","Current quantity available as .5591gm packet,.0009gm packet"
1406396,04-MAR-11,"",0.6796,,"","",8534,"","","","Current quantity available as 5.8gm large packet"
1406455,04-MAR-11,"",0.728,,"","",13853,"","","","Current quantity available as 10.085gm large packet"
1406492,04-MAR-11,"",0.188,,"","",1005,"","","","Current quantity available as .189gm packet"
1406571,16-MAR-11,"",1.9364,,"","",1516,"","","","Current quantity available as 2.935gm packet"
1407358,29-SEP-11,"",6.561,,"","",774,"","","","Current quantity available as 5.077gm packet"
1406645,20-APR-11,"",1.832,,"","",11190,"","","","Current quantity available as 20.5gm large packet"
1406682,20-APR-11,"",5.4408,,"","",511,"","","","Current quantity available as 511ea packet"
1406754,20-APR-11,"",0.0013,,"","",110000,"","","","Current quantity available as .143gm packet"
1408914,20-JAN-12,"",,,"","",,"","","","Current quantity available as .938gm packet"
1408941,20-JAN-12,"",,,"","",,"","","","Current quantity available as 5.153gm packet"
1450709,21-NOV-12,"",,,"","",0,"","","","No stock available"
1450711,02-APR-13,"",,,"","",2,"","","","Current quantity available as 2ea plate"
1450723,16-NOV-12,"",,,"","",25,"","","","Current quantity available as 25ea plate"
1454118,15-MAY-13,"",0.0401,100,"","",135,"","","","Current quantity available as 135ea packet"
1458105,07-AUG-13,"",13.0769,,"","",9,"","","","Current quantity available as 9ea packet"
1582105,04-MAY-16,"",14.8772,,"","",414,"","","","Current quantity available as 414ea packet"
1516792,20-APR-15,"",,,"","",12,"","","","Current quantity available as 12ea packet"
1516795,20-APR-15,"",,,"","",30,"","","","Current quantity available as 30ea packet"
1516798,20-APR-15,"",,,"","",72,"","","","Current quantity available as 72ea packet"
1606135,24-FEB-17,"",1.0996,100,"","",290,"","","","Current quantity available as 290ea packet"
1606746,07-MAR-17,"",1.0084,100,"","",556,"","","","Current quantity available as 556ea packet"
1607991,27-MAR-17,"",1.03,100,"","",172,"","","","Current quantity available as 172ea packet"
1607992,27-MAR-17,"",1.198,100,"","",211,"","","","Current quantity available as 211ea packet"
1608011,27-MAR-17,"",,,"","",20,"","","","Current quantity available as 20ea packet"
1606722,07-MAR-17,"",1.3572,100,"","",865,"","","","Current quantity available as 865ea packet"
1607609,21-FEB-17,"",,,"","",9,"","","","Current quantity available as 9ea plate"
1610320,22-MAY-16,"",,,"","",14,"","","","Current quantity available as 14ea packet"
1610322,22-MAY-16,"",,,"","",190,"","","","Current quantity available as 190ea packet"
1610329,22-MAY-16,"",,,"","",16,"","","","Current quantity available as 16ea packet"
1610337,22-MAY-16,"",,,"","",31,"","","","Current quantity available as 31ea packet"
1610343,22-MAY-16,"",,,"","",17,"","","","Current quantity available as 17ea packet"
1610351,22-MAY-16,"",,,"","",4,"","","","Current quantity available as 4ea packet"
1610352,22-MAY-16,"",,,"","",8,"","","","Current quantity available as 8ea packet"
1610353,22-MAY-16,"",,,"","",1,"","","","Current quantity available as 1ea packet"
1610359,22-MAY-16,"",,,"","",27,"","","","Current quantity available as 27ea packet"
1610360,22-MAY-16,"",,,"","",18,"","","","Current quantity available as 18ea packet"
1610364,22-MAY-16,"",,,"","",25,"","","","Current quantity available as 25ea packet"
1607717,21-FEB-17,"",,,"","",11,"","","","Current quantity available as 11ea plate"
1607738,16-FEB-17,"",,,"","",3,"","","","Current quantity available as 3ea plate"
1607741,16-FEB-17,"",,,"","",8,"","","","Current quantity available as 8ea plate"
1607830,21-FEB-17,"",,,"","",30,"","","","Current quantity available as 30ea plate"
1607833,21-FEB-17,"",,,"","",23,"","","","Current quantity available as 23ea plate"
1607840,16-FEB-17,"",,,"","",31,"","","","Current quantity available as 31ea plate"
1611633,25-JUL-17,"",1.4048,100,"","",561,"","","","Current quantity available as 561ea packet"
1607845,16-FEB-17,"",,,"","",21,"","","","Current quantity available as 21ea plate"
1622404,17-AUG-17,"",0.0127,100,"","",157,"","","","Current quantity available as 157ea packet"
1622405,17-AUG-17,"",,,"","",12,"","","","Current quantity available as 12ea packet"
1625173,05-SEP-17,"",,100,"","",10,"","","","Current quantity available as 10ea packet"
1625222,05-SEP-17,"",1.6769,100,"","",26,"","","","Current quantity available as 14ea packet,12ea packet"
1635271,02-JAN-18,"",0.1824,100,"","",1976,"","","","Current quantity available as 1976ea packet"
1635272,02-JAN-18,"",0.3986,100,"","",515,"","","","Current quantity available as 515ea packet"
1635273,02-JAN-18,"",,,"","",,"","","","Current quantity available as .126gm packet"
1635433,05-JAN-18,"",,,"","",,"","","","Current quantity available as 37.1886gm packet"
1635186,15-OCT-17,"",0.2598,100,"","",3844,"","","","Current quantity available as 3844ea packet"
1634576,12-DEC-17,"",28.1488,100,"","",1621,"","","","Current quantity available as 1621ea packet"
1630184,01-NOV-17,"",2.441,100,"","",251,"","","","Current quantity available as 251ea packet"
1630246,01-NOV-17,"",,100,"","",51,"","","","Current quantity available as 51ea packet"
1630247,01-NOV-17,"",2.3,100,"","",148,"","","","Current quantity available as 148ea packet"
1630248,01-NOV-17,"",,100,"","",53,"","","","Current quantity available as 53ea packet"
1628125,11-OCT-17,"",1.372,100,"","",131,"","","","Current quantity available as 131ea packet"
1628128,11-OCT-17,"",1.087,100,"","",321,"","","","Current quantity available as 321ea packet"
1628162,11-OCT-17,"",0.948,100,"","",372,"","","","Current quantity available as 372ea packet"
1642296,26-MAR-18,"",0.1964,100,"","",2961,"","","","Current quantity available as 2961ea packet"
1642301,26-MAR-18,"",0.234,100,"","",946,"","","","Current quantity available as 946ea packet"
1642302,26-MAR-18,"",1.672,100,"","",105,"","","","Current quantity available as 105ea packet"
1628167,11-OCT-17,"",,100,"","",9,"","","","Current quantity available as 9ea packet"
1628172,11-OCT-17,"",1.13,100,"","",184,"","","","Current quantity available as 184ea packet"
1628175,11-OCT-17,"",1.029,100,"","",255,"","","","Current quantity available as 255ea packet"
1632307,27-NOV-17,"",,100,"","",4,"","","","Current quantity available as 4ea packet"
1632310,27-NOV-17,"",,100,"","",4,"","","","Current quantity available as 4ea packet"
1632311,27-NOV-17,"",,100,"","",4,"","","","Current quantity available as 4ea packet"
1639301,27-FEB-18,"",,,"","",4,"","","","Current quantity available as 4ea packet"
1632378,27-NOV-17,"",7.08,100,"","",560,"","","","Current quantity available as 559.823ea packet,.177ea packet"
1641515,19-MAR-18,"",0.4116,100,"","",1550,"","","","Current quantity available as 1550ea packet"
1641516,19-MAR-18,"",0.1574,100,"","",5442,"","","","Current quantity available as 5442ea packet"
1640353,07-MAR-18,"",27.103,100,"","",242,"","","","Current quantity available as 242ea packet"
1640355,07-MAR-18,"",1.6168,100,"","",11932,"","","","Current quantity available as 19.2919gm packet"
1632524,28-NOV-17,"",11.044,100,"","",87,"","","","Current quantity available as 87ea packet"
1634572,12-DEC-17,"",42.538,100,"","",179,"","","","Current quantity available as 179ea packet"
1641563,20-MAR-18,"",1.4216,100,"","",258,"","","","Current quantity available as 258ea packet"
1586997,27-JUN-16,"",,,"","",335,"","","","Current quantity available as 335ea packet"
1587019,27-JUN-16,"",,,"","",1624,"","","","Current quantity available as 1589ea packet,35ea packet"
1588428,15-JUL-16,"",0.0679,100,"","",5890,"","","","Current quantity available as 5890ea packet"
1588564,18-JUL-16,"",0.1031,,"","",931,"","","","Current quantity available as 931ea packet"
1586797,23-JUN-16,"",0.7024,,"","",551,"","","","Current quantity available as 551ea packet"
1596112,23-SEP-16,"",,,"","",7,"","","","Current quantity available as 7ea plate"
1589413,27-JUL-16,"",0.1212,100,"","",2593,"","","","Current quantity available as 2593ea packet"
1588903,20-JUL-16,"",0.0428,,"","",794,"","","","Current quantity available as 794ea packet"
1588885,20-JUL-16,"",0.97,,"","",187,"","","","Current quantity available as 187ea packet"
1587845,08-JUL-16,"",0.1756,93.9,"","",296321,"","","","Current quantity available as 52.034gm packet"
1478519,04-JUN-14,"",0.1868,82.2,"","",1843,"","","","Current quantity available as 1843ea packet"
1478544,04-JUN-14,"",8.345,100,"","",212,"","","","Current quantity available as 212ea packet"
1478558,04-JUN-14,"",,,"","",,"","","","Current quantity available as .111gm container"
1412568,03-AUG-12,"",234.756,,"","",149,"","","","Current quantity available as 149ea packet"
1579093,23-MAR-16,"",1.4828,100,"","",3040,"","","","Current quantity available as 3040ea packet"
1458584,15-AUG-13,"",0.08,,"","",205875,"","","","Current quantity available as 16.47gm packet"
1461577,18-SEP-13,"",0.084,,"","",8677,"","","","Current quantity available as 8677ea packet"
1454861,10-JAN-12,"",,,"","",0,"","","","No stock available"
1469856,18-APR-13,"",2.025,100,"","",14434,"","","","Current quantity available as 16.725gm packet,12.504gm packet"
1582750,05-MAY-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1313824,,"",,,"","",,"","","","Current quantity available as 8.364gm packet"
1343247,,"",4.5,,"","",304,"","","","Current quantity available as 304ea packet"
1314485,,"",,,"","",,"","","","Current quantity available as .22gm packet"
1193941,,"",,,"","",,"","","","Current quantity available as .858gm packet"
1210067,,"",,,"","",,"","","","Current quantity available as .246gm packet"
1210117,,"",,,"","",,"","","","Current quantity available as 1.855gm packet"
1326979,,"",,,"","",,"","","","Current quantity available as 17.135gm packet"
1201495,,"",9.6707,,"","",41,"","","","Current quantity available as .396gm packet"
1315975,,"",,,"","",,"","","","Current quantity available as 5.264gm packet"
1305036,,"",,,"","",,"","","","Current quantity available as 15.62gm packet"
1316335,,"",,,"","",,"","","","Current quantity available as 1 packet"
1322039,,"",,,"","",,"","","","Current quantity available as 1.259gm packet"
1194514,,"",,,"","",,"","","","Current quantity available as .27gm packet"
1206229,,"",,,"","",,"","","","Current quantity available as 1.047gm packet"
1305119,,"",,,"","",,"","","","Current quantity available as 7.721gm packet"
1333739,,"",,,"","",,"","","","Current quantity available as .365gm packet"
1194673,,"",,,"","",,"","","","Current quantity available as 33.764gm packet"
1334310,05-NOV-03,"",10.23,,"","",490,"","","","Current quantity available as 5.013gm packet"
1215709,,"",,,"","",,"","","","Current quantity available as 2 packet"
1340749,,"",,,"","",,"","","","Current quantity available as .809gm packet"
1340815,,"",,,"","",,"","","","Current quantity available as 1 packet"
1195043,,"",,,"","",,"","","","Current quantity available as .08gm packet"
1306342,,"",,,"","",,"","","","Current quantity available as 1 packet"
1195325,,"",,,"","",,"","","","Current quantity available as .513gm packet"
1220807,,"",,,"","",,"","","","Current quantity available as 2.024gm packet"
1335261,,"",,,"","",,"","","","Current quantity available as .689gm packet"
1341676,,"",,,"","",,"","","","Current quantity available as 3.017gm packet"
1318220,,"",,,"","",,"","","","Current quantity available as .507gm packet"
1341730,,"",,,"","",,"","","","Current quantity available as 3.044gm packet"
1341993,,"",,,"","",,"","","","Current quantity available as 1.197gm packet"
1221360,,"",,,"","",,"","","","Current quantity available as .449gm packet"
1221401,,"",,,"","",,"","","","Current quantity available as 8.953gm packet"
1302123,,"",,,"","",,"","","","Current quantity available as .474gm packet"
1302136,,"",,,"","",,"","","","Current quantity available as 1 packet"
1312816,,"",3.9168,,"","",759,"","","","Current quantity available as 2.972gm packet"
1318612,,"",,,"","",,"","","","Current quantity available as 2 packet"
1307736,,"",,,"","",,"","","","Current quantity available as 1.299gm packet"
1313172,,"",,,"","",,"","","","Current quantity available as 2.588gm packet"
1313246,,"",,,"","",,"","","","Current quantity available as 4 packet,1 large packet"
1325114,05-NOV-03,"",0.3375,,"","",92,"","","","Current quantity available as .0277gm packet,.0033gm packet"
1211264,,"",,,"","",,"","","","Current quantity available as .823gm packet"
1367067,,"",,,"","",,"","","","Current quantity available as 2 packet"
1383188,,"",,,"","",,"","","","Current quantity available as 3.521gm packet"
1391022,19-FEB-93,"",,,"","",,"","","","Current quantity available as .037gm packet"
1353963,,"",,,"","",,"","","","Current quantity available as 1.117gm packet"
1391053,,"",,,"","",,"","","","Current quantity available as .139gm packet"
1358914,,"",,,"","",,"","","","Current quantity available as .601gm packet"
1358970,,"",,,"","",,"","","","Current quantity available as .847gm packet"
1376862,,"",14.2768,,"","",491,"","","","Current quantity available as 7.014gm packet"
1387391,,"",,,"","",,"","","","Current quantity available as .301gm packet"
1387425,,"",,,"","",,"","","","Current quantity available as .99gm packet"
1377117,,"",,,"","",,"","","","Current quantity available as 3.95gm packet"
1206512,,"",,,"","",,"","","","Current quantity available as .302gm packet"
1363331,,"",,,"","",,"","","","Current quantity available as .191gm packet"
1373142,,"",,,"","",,"","","","Current quantity available as .503gm packet"
1373234,,"",,,"","",,"","","","Current quantity available as 1.776gm packet"
1380909,,"",,,"","",,"","","","Current quantity available as .332gm packet"
1194137,,"",,,"","",,"","","","Current quantity available as 4.638gm packet"
1200454,,"",,,"","",,"","","","Current quantity available as 6.122gm packet"
1373380,,"",,,"","",,"","","","Current quantity available as 3.796gm packet"
1377532,,"",3.9988,100,"","",2698,"","","","Current quantity available as 10.79gm packet"
1200714,,"",,,"","",,"","","","Current quantity available as 4.38gm packet"
1200978,,"",,,"","",,"","","","Current quantity available as .17gm packet"
1207219,,"",,,"","",,"","","","Current quantity available as 1.523gm packet"
1360144,,"",,,"","",,"","","","Current quantity available as 2.744gm packet"
1377836,,"",,,"","",,"","","","Current quantity available as 1.953gm packet"
1384467,,"",,,"","",,"","","","Current quantity available as .702gm packet"
1350288,,"",,,"","",,"","","","Current quantity available as .787gm packet"
1194555,,"",,,"","",,"","","","Current quantity available as 2.551gm packet"
1201257,,"",,,"","",,"","","","Current quantity available as 3.113gm packet"
1214022,,"",,,"","",,"","","","Current quantity available as 1.426gm packet"
1369138,,"",,,"","",,"","","","Current quantity available as .199gm packet"
1369164,,"",,,"","",,"","","","Current quantity available as .441gm packet"
1384756,,"",,,"","",,"","","","Current quantity available as 1.594gm packet"
1392116,,"",,,"","",,"","","","Current quantity available as 2.062gm packet"
1384803,,"",,,"","",,"","","","Current quantity available as 6.245gm packet"
1208551,,"",,,"","",,"","","","Current quantity available as 1.384gm packet"
1360696,,"",,,"","",,"","","","Current quantity available as 6.253gm packet"
1360761,,"",,,"","",,"","","","Current quantity available as 18.29gm packet"
1378751,,"",,,"","",,"","","","Current quantity available as .228gm packet"
1378760,,"",,,"","",,"","","","Current quantity available as .851gm packet"
1381899,,"",,,"","",,"","","","Current quantity available as .563gm packet"
1381993,,"",,,"","",,"","","","Current quantity available as 1.385gm packet"
1202486,,"",,,"","",,"","","","Current quantity available as .108gm packet"
1202596,,"",,,"","",,"","","","Current quantity available as 1 packet"
1365298,,"",,,"","",,"","","","Current quantity available as 14.975gm packet,12.5gm packet"
1209647,,"",,,"","",,"","","","Current quantity available as 3.765gm packet"
1216128,,"",,,"","",,"","","","Current quantity available as 2.934gm packet"
1356420,,"",4.9888,100,"","",45,"","","","Current quantity available as 45ea packet"
1379253,,"",,,"","",,"","","","Current quantity available as 1 packet"
1216347,,"",,,"","",,"","","","Current quantity available as .507gm packet"
1365722,,"",,,"","",,"","","","Current quantity available as 22.95gm packet"
1379427,,"",,,"","",,"","","","Current quantity available as .518gm packet"
1382292,,"",,,"","",,"","","","Current quantity available as 2.563gm packet"
1389895,,"",0.229,,"","",1459,"","","","Current quantity available as .326gm packet,.008gm packet"
1203599,,"",,,"","",,"","","","Current quantity available as 5.417gm packet"
1386074,,"",,,"","",,"","","","Current quantity available as 3 packet"
1389939,,"",,,"","",,"","","","Current quantity available as .039gm packet"
1196838,,"",,,"","",,"","","","Current quantity available as .947gm packet"
1204323,,"",,,"","",,"","","","Current quantity available as 9.202gm packet"
1210711,,"",3.717,,"","",299,"","","","Current quantity available as 1.0059gm packet,.1041gm packet"
1210768,,"",,,"","",,"","","","Current quantity available as .756gm packet"
1217268,,"",,,"","",,"","","","Current quantity available as 6.269gm packet"
1362047,15-DEC-03,"",277.709,,"","",66,"","","","Current quantity available as 18.24gm packet"
1390262,,"",,,"","",,"","","","Current quantity available as .182gm packet"
1210948,,"",,,"","",,"","","","Current quantity available as .53gm packet"
1357893,,"",,,"","",,"","","","Current quantity available as 10.308gm packet"
1362190,,"",,,"","",,"","","","Current quantity available as .328gm packet"
1366792,,"",,,"","",,"","","","Current quantity available as 2.4gm packet"
1376100,,"",,,"","",,"","","","Current quantity available as .62gm packet"
1390486,,"",,,"","",,"","","","Current quantity available as .881gm packet"
1275463,,"",,,"","",,"","","","Current quantity available as 8 packet"
1291116,,"",,,"","",,"","","","Current quantity available as .23gm packet"
1232247,,"",,,"","",,"","","","Current quantity available as 6.612gm packet"
1253442,,"",,,"","",,"","","","Current quantity available as 1 packet"
1280942,,"",,,"","",,"","","","Current quantity available as 4.385gm packet"
1222282,,"",,,"","",,"","","","Current quantity available as 22.428gm packet"
1260873,,"",,,"","",,"","","","Current quantity available as 2.795gm packet"
1282674,,"",,,"","",,"","","","Current quantity available as 2.002gm packet"
1223029,,"",,,"","",,"","","","Current quantity available as 25.95gm packet"
1272986,,"",,,"","",,"","","","Current quantity available as .018gm packet"
1289201,,"",,,"","",,"","","","Current quantity available as .223gm packet"
1235150,,"",,,"","",,"","","","Current quantity available as 1.934gm packet"
1262697,,"",,,"","",,"","","","Current quantity available as 4.838gm packet"
1273843,,"",,,"","",,"","","","Current quantity available as 1.303gm packet"
1262790,,"",,,"","",,"","","","Current quantity available as .838gm packet"
1284738,,"",,,"","",,"","","","Current quantity available as 1 packet"
1231528,,"",,,"","",,"","","","Current quantity available as 3.592gm packet"
1228023,,"",,,"","",,"","","","Current quantity available as 1.131gm packet"
1197889,,"",,,"","",,"","","","Current quantity available as 2.61gm packet,0gm packet"
1209296,,"",,,"","",,"","","","Current quantity available as 18.136gm packet"
1231760,,"",,,"","",,"","","","Current quantity available as 45.697gm packet"
1212051,,"",,,"","",,"","","","Current quantity available as 1 packet"
1219766,,"",,,"","",,"","","","Current quantity available as .358gm packet"
1219779,,"",,,"","",,"","","","Current quantity available as 1.054gm packet"
