site,species,n,leaf_dry_matter_d13C,value_source
Site A,Santalum acuminatum,20,-27.6,text
Site A,Acacia rostellifera,20,-27.2,figure_digitized
Site A,Acacia pulchella,20,-25.85,figure_digitized
Site A,Melaleuca viminea,20,-26.1,figure_digitized
Site A,Cryptandra mutila,20,-26.5,figure_digitized
Site A,Alyogyne hakeaefolia,20,-25.55,figure_digitized
Site A,Baeckea tetragona,20,-24.6,figure_digitized
Site A,Anthocercis viscosa,20,-25.85,figure_digitized
Site A,Spyridium cordatum,20,-26.9,figure_digitized
Site A,Exocarpos sparteus,20,-25.75,figure_digitized
Site A,Dodonaea aptera,20,-25.75,figure_digitized
Site B,Santalum acuminatum,20,-26.8,text
Site B,Allocasuarina campestris,20,-26.85,figure_digitized
Site B,Acacia pulchella,20,-27.7,figure_digitized
Site B,Leucopogon ovalifolius,20,-28.3,figure_digitized
Site B,Spyridium cordatum,20,-25.15,figure_digitized
Site B,Lysinema ciliatum,20,-26.9,figure_digitized
Site B,Melaleuca viminea,20,-28.7,figure_digitized
Site B,Gompholobium tomentosum,20,-27.9,figure_digitized
Site B,Desmocladus asperus,20,-27.95,figure_digitized
Site B,Hemiandra pungens,20,-25.6,figure_digitized
Site B,Conostylis candicans,20,-27.85,figure_digitized
Site C,Santalum acuminatum,20,-27.6,text
Site C,Acacia pulchella,20,-27.2,figure_digitized
Site C,Phyllanthus calycinus,20,-24.85,figure_digitized
Site C,Melaleuca viminea,20,-27.75,figure_digitized
Site C,Acacia rostellifera,20,-26.5,figure_digitized
Site C,Allocasuarina campestris,20,-26.5,figure_digitized
Site C,Desmocladus asperus,20,-27.4,figure_digitized
Site C,Hemiandra pungens,20,-26.2,figure_digitized
