location,plant_type,Ks_stele_area_basis_x10-7_m2_MPa-1_s-1,vessel_radius_um,vessel_lumina_pct_stele_area,Ks_total_vessel_lumina_area_basis_m2_MPa-1_s-1,confidence
1,Santalum acuminatum,0.7,65,16,0.08,medium
1,Acacia rostellifera unparasitized,1.5,110,22,0.1,low
1,Acacia rostellifera parasitized,1.3,90,16,0.08,low
2,Santalum acuminatum,0.6,65,14,0.05,medium
2,Acacia rostellifera unparasitized,1.6,120,17,0.15,low
2,Acacia rostellifera parasitized,1.3,100,14,0.08,low
3,Santalum acuminatum,0.6,60,14,0.1,medium
3,Acacia rostellifera unparasitized,1.3,100,19,0.1,low
3,Acacia rostellifera parasitized,3.9,95,15,0.4,low
4,Santalum acuminatum,0.6,55,14,0.1,medium
4,Acacia rostellifera unparasitized,1.7,110,17,0.12,low
4,Acacia rostellifera parasitized,1.5,100,15,0.1,low
5,Santalum acuminatum,0.6,55,14,0.15,medium
5,Acacia rostellifera unparasitized,3.7,95,19,0.25,low
5,Acacia rostellifera parasitized,1.5,90,14,0.15,low
