site,species,host_availability_index,n,leaf_delta15N,value_source
Site A,Santalum acuminatum,NA,20,-0.13±0.01,text
Site A,Acacia rostellifera,52,20,0.89±0.08,text
Site A,Acacia pulchella,6,20,-0.35±0.10,text
Site A,Melaleuca viminea,4,20,1.3,figure_digitized
Site A,Cryptandra mutila,4,20,1.75,figure_digitized
Site A,Alyogyne hakeaefolia,3,20,4.7,figure_digitized
Site A,Baeckea tetragona,1,20,3.95,figure_digitized
Site A,Anthocercis viscosa,1,20,1.45,figure_digitized
Site A,Spyridium cordatum,>1,20,0.9,figure_digitized
Site A,Exocarpos sparteus,>1,20,2.3,figure_digitized
Site A,Dodonaea aptera,>1,20,1.0,figure_digitized
Site B,Santalum acuminatum,NA,20,-0.64±0.15,text
Site B,Allocasuarina campestris,66,20,-1.34±0.15,text
Site B,Acacia pulchella,6,20,-1.5,figure_digitized
Site B,Leucopogon ovalifolius,4,20,-3.7,figure_digitized
Site B,Spyridium cordatum,2,20,-2.6,figure_digitized
Site B,Lysinema ciliatum,2,20,-3.75,figure_digitized
Site B,Melaleuca viminea,2,20,-0.45,figure_digitized
Site B,Gompholobium tomentosum,>1,20,-1.9,figure_digitized
Site B,Desmocladus asperus,>1,20,-2.5,figure_digitized
Site B,Hemiandra pungens,>1,20,-2.3,figure_digitized
Site B,Conostylis candicans,>1,20,-3.5,figure_digitized
Site C,Santalum acuminatum,NA,20,-1.04±0.15,text
Site C,Acacia pulchella,55,20,-0.69±0.16,text
Site C,Phyllanthus calycinus,8,20,1.4,figure_digitized
Site C,Melaleuca viminea,6,20,1.95,figure_digitized
Site C,Acacia rostellifera,3,20,0.6,figure_digitized
Site C,Allocasuarina campestris,2,20,0.45,figure_digitized
Site C,Desmocladus asperus,>1,20,0.5,figure_digitized
Site C,Hemiandra pungens,>1,20,1.45,figure_digitized
