species,season,n,photosynthesis_umol_m2_s,transpiration_mmol_m2_s,water_use_efficiency_mmol_CO2_per_mol_H2O,leaf_dry_matter_d13C
Santalum acuminatum,September 1995,5,3.05±0.27,0.91±0.10,3.72±0.62,-28.6±0.1
Acacia rostellifera,September 1995,5,7.71±0.32,1.57±0.07,4.98±0.23,-28.7±0.2
Santalum acuminatum,January 1996,5,3.14±1.50,1.50±0.13,2.21±0.14,-27.6±0.5
Acacia rostellifera,January 1996,5,9.54±0.53,3.65±0.22,2.71±0.13,-28.1±0.3
Santalum acuminatum,April 1996,5,1.48±0.34,1.08±0.23,1.34±0.07,-27.6±0.3
Acacia rostellifera,April 1996,5,5.03±0.45,2.13±0.22,2.40±0.14,-28.1±0.1
Santalum acuminatum,July 1996,5,2.88±0.17,1.06±0.10,2.88±0.24,-27.3±0.1
Acacia rostellifera,July 1996,5,4.25±0.30,1.52±0.11,2.90±0.27,-28.3±0.6
