genus,species,binomial,longevity,growth form ,extreme min height (m) ,min height (m),max height (m),extreme max height (m) ,extreme min leaf length (mm) ,leaf length min (mm) ,leaf length max (mm) ,extreme max leaf length (mm) ,extreme min leaf width (mm) ,leaf width min (mm) ,leaf width max (mm) ,extreme max leaf width (mm) ,flowering month begin,flowering month end,source
Kunzea,montana,Kunzea montana,p,s/t,,,2,,2.2,2.5,4.5,6.7,2.8,3.6,5,6.1,10,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,sulphurea,Kunzea sulphurea,p,s/t,,1.7,3.5,6,2.8,3,3.4,,1,1.4,2.5,,9,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,glabrescens,Kunzea glabrescens,p,s,,,4,,4,5,8,10,,0.5,1,1.5,9,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,ericifolia,Kunzea ericifolia,p,s,,,3,,28,34,63,82,0.5,0.6,1,,,,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,spathulata,Kunzea spathulata,p,s/t,,,4.5,,4,5,7,,0.4,0.6,0.75,,10,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,clavata,Kunzea clavata,p,s/t,,2.5,4,,2.7,2.8,4,4.8,,0.6,0.75,,9,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,recurva,Kunzea recurva,p,s,,0.3,1.5,2,1.3,1.9,2.6,4.2,1.3,1.7,2.7,3.6,8,12,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,newbeyi,Kunzea newbeyi,p,s,,0.6,1.8,2.3,2.8,4.8,5.6,6.5,,1.7,2,2.2,10,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,rostrata,Kunzea rostrata,p,s,,,1.6,,1.8,2,2.8,3,,1.8,2.3,,10,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,ciliata,Kunzea ciliata,p,s,0.3,0.8,1.5,2.5,3.4,3.8,4.8,5.7,1,1.3,1.6,1.8,10,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,praestans,Kunzea praestans,p,s,0.3,0.6,1.5,2.5,3.4,4.5,6.8,11.2,1.3,1.8,2.5,3.4,9,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,micrantha,Kunzea micrantha,p,s,,0.25,1.2,2,0.8,1.3,6.5,7.8,0.4,0.6,2,3.2,,,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,micromera,Kunzea micromera,p,s,0.15,0.2,0.6,,1,1.6,2.8,3.4,,0.6,0.9,1.6,10,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,similis,Kunzea similis,p,s,0.3,0.5,1,1.5,3.2,4,5,5.4,,1.4,2.8,4,10,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,acuminata,Kunzea acuminata,p,s,,2,,,4.3,6.3,7.2,7.6,0.8,0.9,1.1,1.3,9,9,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,pauciflora,Kunzea pauciflora,p,s,0.35,0.5,1.2,1.5,3.2,3.4,6.5,8.8,,0.4,0.8,1,10,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,preissiana,Kunzea preissiana,p,s,,0.5,1.2,1.8,2.2,3,6,7.6,0.2,0.4,1.2,,8,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,jucunda,Kunzea jucunda,p,s,,0.6,1.2,2,1.2,2,2.7,3.5,0.9,1.1,1.5,,8,11,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,affinis,Kunzea affinis,p,s,,0.6,1.5,2.5,,3.5,6,8,,0.4,0.8,1.1,8,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,cincinnata,Kunzea cincinnata,p,s,,0.6,1,1.5,2.8,3.5,6.4,7.3,,0.7,0.8,0.95,9,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
Kunzea,erioclayx,Kunzea erioclayx,p,s,,0.5,0.8,1,2,2.5,4.5,7,,0.4,0.6,,9,10,"Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106."
