family,SID taxa,spauth,infraspecauth,pdadesc,pdasubgroupdesc,method,animalgp,animalspecies,dispnotes,refshort,refdesc
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,Water,Floating in saltwater currents,Direct or experimental observation,,,,"(Tomlinson, 1986)","Tomlinson, P.B. 1986. The Botany of Mangroves. Cambridge University Press, Cambridge."
ALISMATACEAE,Alisma plantago-aquatica,L.,,Water,Floating in freshwater currents,Method not stated,,,The diaspore is buoyant.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
AMARANTHACEAE,Achyranthes aspera,L.,,Animal,Diaspore is carried accidentally,Method not stated,Mammals (non-bat).,,"Diaspore=fruit. The diaspore has spiny, spiky, hooked or barbed projections or awns.","(Sen, 1982)","Sen, D.N. 1982. Environment and Plant Life in Indian Desert. Geobios International, Jodhpur, India."
AMARANTHACEAE,Alternanthera angustifolia,R.Br.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Amaranthus mitchellii,Benth.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Atriplex elachophylla,F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Atriplex holocarpa,F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Atriplex humifusa,Paul G.Wilson,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Atriplex lindleyi,Moq.,,Wind,Diaspore is blown by wind,Method not stated,,,Diaspore=inflated fruit. Also dispersed by animals (eaten).,"(Milton & Dean, 2001)","Milton, S.J. and Dean, W.R.J. 2001. Seeds dispersed in dung of insectivores and herbivores in semi-arid southern Africa. Journal of Arid Environments, 47:465-483."
AMARANTHACEAE,Atriplex paludosa,R.Br.,,Water,Floating in saltwater currents,Assumption based upon diaspore morphology,,,Diaspore=fruit. The diaspore is buoyant.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,The fruit is fleshy/juicy.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,Animal,Diaspore is eaten intentionally,Method not stated,Birds.,,Diaspore=fruit. Fruit is fleshy.,"(Milton & Dean, 2001)","Milton, S.J. and Dean, W.R.J. 2001. Seeds dispersed in dung of insectivores and herbivores in semi-arid southern Africa. Journal of Arid Environments, 47:465-483."
AMARANTHACEAE,Atriplex vesicaria,Heward ex Benth.,,Wind,Diaspore is blown by wind,Direct or experimental observation,,,The diaspore is buoyant.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
AMARANTHACEAE,Dissocarpus paradoxus,(R.Br.) Ulbr.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Dysphania glomulifera,(Nees) Paul G.Wilson,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Dysphania rhadinostachya,(F.Muell.) A.J.Scott,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Einadia nutans,(R.Br.) A.J.Scott,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,Diaspore=fruit. Fruit is fleshy,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
AMARANTHACEAE,Einadia nutans,(R.Br.) A.J.Scott,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,The fruit is fleshy/juicy.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Enchylaena tomentosa,R.Br.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,The fruit is fleshy/juicy.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
AMARANTHACEAE,Maireana aphylla,(R.Br.) Paul G.Wilson,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Maireana ciliata,(F.Muell.) Paul G.Wilson,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Maireana coronata,(J.M.Black) Paul G.Wilson,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
