Species,Date,Temp,CO2,Water,Organ,Potnum,SolSugW (mg g-1 DW),StarchW (mg g-1 DW)
C. rhomboidea,26/03/2012,Elv,640,Wet,leaf,344,41.0832,32.92173913
C. rhomboidea,26/03/2012,Elv,640,Wet,stem,344,39.3263,14.1375
C. rhomboidea,26/03/2012,Elv,640,Wet,root,344,18.4601,5.428571429
C. rhomboidea,26/03/2012,Elv,640,Wet,leaf,353,39.7015,11.03827751
C. rhomboidea,26/03/2012,Elv,640,Wet,stem,353,41.7819,6.53271028
C. rhomboidea,26/03/2012,Elv,640,Wet,root,353,32.3579,6.081395349
C. rhomboidea,26/03/2012,Elv,640,Wet,leaf,360,54.24,15.86915888
C. rhomboidea,26/03/2012,Elv,640,Wet,stem,360,67.842,6.366666667
C. rhomboidea,26/03/2012,Elv,640,Wet,root,360,19.6198,4.876712329
C. rhomboidea,26/03/2012,Elv,400,Wet,leaf,445,27.4205,5.878378378
C. rhomboidea,26/03/2012,Elv,400,Wet,root,445,20.6992,3.648979592
C. rhomboidea,26/03/2012,Elv,400,Wet,leaf,449,56.1497,15.425
C. rhomboidea,26/03/2012,Elv,400,Wet,stem,449,44.0093,4.210526316
C. rhomboidea,26/03/2012,Elv,400,Wet,root,449,23.8943,3.422535211
C. rhomboidea,26/03/2012,Elv,400,Wet,leaf,459,29.6611,5.747787611
C. rhomboidea,26/03/2012,Elv,400,Wet,stem,459,29.2007,3.182926829
C. rhomboidea,26/03/2012,Elv,400,Wet,root,459,11.7355,3.512195122
C. rhomboidea,26/03/2012,Amb,400,Wet,leaf,551,45.6387,10.11688312
C. rhomboidea,26/03/2012,Amb,400,Wet,root,551,21.0066,3.889328063
C. rhomboidea,26/03/2012,Amb,400,Wet,leaf,552,42.3521,14.02463054
C. rhomboidea,26/03/2012,Amb,400,Wet,stem,552,43,11.42201835
C. rhomboidea,26/03/2012,Amb,400,Wet,root,552,27.8661,15.85344828
C. rhomboidea,26/03/2012,Amb,400,Wet,leaf,557,29.9588,8.357142857
C. rhomboidea,26/03/2012,Amb,400,Wet,stem,557,28.1137,6.9527897
C. rhomboidea,26/03/2012,Amb,400,Wet,root,557,14.6306,10.64125561
C. rhomboidea,26/03/2012,Amb,640,Wet,leaf,642,28.0678,7.388059701
C. rhomboidea,26/03/2012,Amb,640,Wet,stem,642,36.6129,2.381974249
C. rhomboidea,26/03/2012,Amb,640,Wet,root,642,14.0262,4.353658537
C. rhomboidea,26/03/2012,Amb,640,Wet,leaf,657,34.8466,5.721238938
C. rhomboidea,26/03/2012,Amb,640,Wet,stem,657,33.2095,5.071748879
C. rhomboidea,26/03/2012,Amb,640,Wet,root,657,25.0919,4.917391304
C. rhomboidea,26/03/2012,Amb,640,Wet,leaf,1,44.8301,12.4057971
C. rhomboidea,26/03/2012,Amb,640,Wet,stem,1,48.0765,4.673076923
C. rhomboidea,26/03/2012,Amb,640,Wet,root,1,19.843,4.444444444
C. rhomboidea,16/10/2012,Elv,640,Dry,leaf,341,95.8944,2.233766234
C. rhomboidea,16/10/2012,Elv,640,Dry,stem,341,58.4734,2.05
C. rhomboidea,16/10/2012,Elv,640,Dry,root,341,18.6818,2.918552036
C. rhomboidea,16/10/2012,Elv,640,Dry,leaf,342,71.8459,3.539473684
C. rhomboidea,16/10/2012,Elv,640,Dry,stem,342,47.9729,4.38559322
C. rhomboidea,16/10/2012,Elv,640,Dry,root,342,23.6085,3.774647887
C. rhomboidea,16/10/2012,Elv,640,Wet,leaf,343,95.7385,38.73061224
C. rhomboidea,16/10/2012,Elv,640,Wet,stem,343,25.1963,7.083333333
C. rhomboidea,16/10/2012,Elv,640,Wet,root,343,26.4666,19.65898618
C. rhomboidea,16/10/2012,Elv,640,Wet,leaf,345,89.4861,13.90540541
C. rhomboidea,16/10/2012,Elv,640,Wet,stem,345,22.0301,7.394366197
C. rhomboidea,16/10/2012,Elv,640,Wet,root,345,34.4324,13.09090909
C. rhomboidea,16/10/2012,Elv,640,Dry,leaf,348,89.7716,1.879828326
C. rhomboidea,16/10/2012,Elv,640,Dry,stem,348,59.6675,2.384615385
C. rhomboidea,16/10/2012,Elv,640,Dry,root,348,22.5714,1.656370656
C. rhomboidea,16/10/2012,Elv,640,Dry,leaf,352,93.9491,4.243243243
C. rhomboidea,16/10/2012,Elv,640,Dry,stem,352,49.6953,1.812
C. rhomboidea,16/10/2012,Elv,640,Dry,root,352,32.923,2.871428571
C. rhomboidea,16/10/2012,Elv,640,Wet,leaf,355,93.1416,21.74693878
C. rhomboidea,16/10/2012,Elv,640,Wet,stem,355,21.8137,4.350649351
C. rhomboidea,16/10/2012,Elv,640,Wet,root,355,39.1409,16.71255061
C. rhomboidea,16/10/2012,Elv,640,Wet,leaf,356,91.6798,48.9625
C. rhomboidea,16/10/2012,Elv,640,Wet,stem,356,32.7558,6.014778325
C. rhomboidea,16/10/2012,Elv,640,Wet,root,356,29.1161,11.33467742
C. rhomboidea,16/10/2012,Elv,400,Wet,leaf,441,82.4582,22.41025641
C. rhomboidea,16/10/2012,Elv,400,Wet,stem,441,31.5542,5.743243243
C. rhomboidea,16/10/2012,Elv,400,Wet,root,441,24.4986,10.51351351
C. rhomboidea,16/10/2012,Elv,400,Dry,leaf,442,78.8628,1.514851485
C. rhomboidea,16/10/2012,Elv,400,Dry,stem,442,41.0196,4.131355932
C. rhomboidea,16/10/2012,Elv,400,Dry,root,442,17.8973,1.876712329
C. rhomboidea,16/10/2012,Elv,400,Dry,leaf,443,107.7336,1.225
C. rhomboidea,16/10/2012,Elv,400,Dry,stem,443,54.071,1.840909091
C. rhomboidea,16/10/2012,Elv,400,Dry,root,443,22.3147,2.268595041
C. rhomboidea,16/10/2012,Elv,400,Wet,leaf,446,79.8801,31.3438914
C. rhomboidea,16/10/2012,Elv,400,Wet,stem,446,24.4456,7.910377358
C. rhomboidea,16/10/2012,Elv,400,Wet,root,446,16.7193,10.9047619
C. rhomboidea,16/10/2012,Elv,400,Dry,leaf,447,84.278,3.510638298
C. rhomboidea,16/10/2012,Elv,400,Dry,stem,447,55.3842,2.77826087
C. rhomboidea,16/10/2012,Elv,400,Dry,root,447,21.9167,2.52892562
C. rhomboidea,16/10/2012,Elv,400,Dry,leaf,450,90.1418,3.893023256
C. rhomboidea,16/10/2012,Elv,400,Dry,stem,450,49.337,3.552631579
C. rhomboidea,16/10/2012,Elv,400,Dry,root,450,19.4388,3.178082192
C. rhomboidea,16/10/2012,Elv,400,Wet,leaf,454,79.0147,10.32352941
C. rhomboidea,16/10/2012,Elv,400,Wet,stem,454,21.9897,5.484
C. rhomboidea,16/10/2012,Elv,400,Wet,root,454,14.281,7.226190476
C. rhomboidea,16/10/2012,Elv,400,Wet,leaf,460,76.4424,16.03947368
C. rhomboidea,16/10/2012,Elv,400,Wet,stem,460,21.7926,8.431718062
C. rhomboidea,16/10/2012,Elv,400,Wet,root,460,27.4883,24.86538462
C. rhomboidea,16/10/2012,Amb,400,Dry,leaf,542,94.8151,2.612068966
C. rhomboidea,16/10/2012,Amb,400,Dry,stem,542,54.1797,1.092
C. rhomboidea,16/10/2012,Amb,400,Dry,root,542,17.906,2.274418605
C. rhomboidea,16/10/2012,Amb,400,Wet,leaf,544,70.2535,11.41121495
C. rhomboidea,16/10/2012,Amb,400,Wet,stem,544,23.0878,6.715481172
C. rhomboidea,16/10/2012,Amb,400,Wet,root,544,21.9332,11.52112676
C. rhomboidea,16/10/2012,Amb,400,Wet,leaf,545,69.045,8.081632653
C. rhomboidea,16/10/2012,Amb,400,Wet,stem,545,26.5301,6.037344398
C. rhomboidea,16/10/2012,Amb,400,Wet,root,545,11.8185,3.717703349
C. rhomboidea,16/10/2012,Amb,400,Wet,leaf,546,86.5689,17.72596154
C. rhomboidea,16/10/2012,Amb,400,Wet,stem,546,26.1919,4.057377049
C. rhomboidea,16/10/2012,Amb,400,Wet,root,546,15.7467,13.29694323
C. rhomboidea,16/10/2012,Amb,400,Dry,leaf,548,108.6218,2.345070423
C. rhomboidea,16/10/2012,Amb,400,Dry,stem,548,96.1942,2.412765957
C. rhomboidea,16/10/2012,Amb,400,Dry,root,548,31.243,1.235294118
C. rhomboidea,16/10/2012,Amb,400,Dry,leaf,555,92.1092,0.842364532
C. rhomboidea,16/10/2012,Amb,400,Dry,stem,555,64.9426,2.18061674
C. rhomboidea,16/10/2012,Amb,400,Dry,root,555,27.9638,1.68
C. rhomboidea,16/10/2012,Amb,400,Dry,leaf,558,106.8334,2.181818182
C. rhomboidea,16/10/2012,Amb,400,Dry,stem,558,56.8815,1.659836066
C. rhomboidea,16/10/2012,Amb,400,Dry,root,558,25.4204,3.314634146
C. rhomboidea,16/10/2012,Amb,400,Wet,leaf,560,70.5307,13.45964126
C. rhomboidea,16/10/2012,Amb,400,Wet,stem,560,25.5623,3.954545455
C. rhomboidea,16/10/2012,Amb,400,Wet,root,560,20.5928,6.597285068
C. rhomboidea,16/10/2012,Amb,640,Wet,leaf,641,94.1528,24.5154185
C. rhomboidea,16/10/2012,Amb,640,Wet,stem,641,29.2606,6.364016736
C. rhomboidea,16/10/2012,Amb,640,Wet,root,641,30.3197,12.87096774
C. rhomboidea,16/10/2012,Amb,640,Dry,leaf,644,131.2131,2.441037736
C. rhomboidea,16/10/2012,Amb,640,Dry,stem,644,86.6932,2.012048193
C. rhomboidea,16/10/2012,Amb,640,Dry,root,644,24.6793,1.349282297
C. rhomboidea,16/10/2012,Amb,640,Dry,leaf,645,117.7697,1.752336449
C. rhomboidea,16/10/2012,Amb,640,Dry,stem,645,63.9392,2.483606557
C. rhomboidea,16/10/2012,Amb,640,Dry,root,645,32.637,3.458333333
C. rhomboidea,16/10/2012,Amb,640,Wet,leaf,647,58.4357,36.62389381
C. rhomboidea,16/10/2012,Amb,640,Wet,stem,647,27.4802,6.449339207
C. rhomboidea,16/10/2012,Amb,640,Wet,root,647,24.9449,16.66216216
C. rhomboidea,16/10/2012,Amb,640,Dry,leaf,652,109.0701,1.945205479
C. rhomboidea,16/10/2012,Amb,640,Dry,stem,652,80.3567,4.72173913
C. rhomboidea,16/10/2012,Amb,640,Dry,root,652,25.0996,3.75308642
C. rhomboidea,16/10/2012,Amb,640,Wet,stem,655,29.3006,8.651785714
