Species,Date,Temp,CO2,Water,Potnum,Height (cm),BasalDia1 (mm),BasalDia2 (mm),LA (cm-2),leafDW (g),stemDW (g),rootDW (g)
P. radiata,27/03/2012,Amb,400,Wet,530,29.5,3.7,3.8,150.414,1.2891,0.59334413,0.9803
P. radiata,27/03/2012,Amb,400,Wet,534,24,3.06,3.06,86.171,0.7575,0.44019802,0.7515
P. radiata,27/03/2012,Amb,400,Wet,533,28,2.92,2.97,106.318,0.8497,0.498539419,0.5834
P. radiata,27/03/2012,Amb,640,Wet,639,34.5,3.87,3.82,152.803,1.5581,0.790479798,0.4681
P. radiata,27/03/2012,Amb,640,Wet,624,30,3.2,2.9,106.774,1.0988,0.506477733,0.8418
P. radiata,27/03/2012,Amb,640,Wet,630,27,3.31,2.88,86.986,0.6382,0.23784,0.4238
C. rhomboidea,27/03/2012,Amb,400,Wet,552,18.5,1.4,1.5,42.719,0.252,0.12395,0.1604
C. rhomboidea,27/03/2012,Amb,400,Wet,551,9.5,1.32,0.87,20.492,0.1572,0.040418182,0.1986
C. rhomboidea,27/03/2012,Amb,400,Wet,557,25,2.56,2.46,151.28,0.9279,0.39228972,0.3958
C. rhomboidea,27/03/2012,Amb,640,Wet,657,21.3,1.76,1.82,95.935,0.5752,0.205461236,0.2575
C. rhomboidea,27/03/2012,Amb,640,Wet,642,27,2,1.8,105.161,0.9098,0.270586957,0.3374
C. rhomboidea,27/03/2012,Amb,640,Wet,spare,17,1.47,1.48,83.532,0.4807,0.187523077,0.1276
P. radiata,27/03/2012,Elv,640,Wet,329,25.5,2.6,2.7,105.652,1.1979,0.444956522,0.928
P. radiata,27/03/2012,Elv,640,Wet,330,32,4.39,4.08,227.909,2.0541,1.084963504,1.3819
P. radiata,27/03/2012,Elv,640,Wet,338,32,3.03,3.04,104.979,1.0677,0.611350181,0.4681
P. radiata,27/03/2012,Elv,400,Wet,423,26.5,2.3,2,81.793,0.6441,0.27772,0.593
P. radiata,27/03/2012,Elv,400,Wet,422,30.5,4.33,4.23,177.249,1.758,0.821918519,1.4366
P. radiata,27/03/2012,Elv,400,Wet,431,35.5,4.32,3.64,142.235,1.3055,0.706304416,0.9789
C. rhomboidea,27/03/2012,Elv,640,Wet,353,19.5,1.3,1.6,42.629,0.4027,0.179872727,0.2193
C. rhomboidea,27/03/2012,Elv,640,Wet,360,13.8,1.49,1.52,36.11,0.2522,0.097769492,0.0924
C. rhomboidea,27/03/2012,Elv,640,Wet,344,27.5,2.61,2.66,192.748,1.4753,0.601489362,0.5349
C. rhomboidea,27/03/2012,Elv,400,Wet,445,14,1,1.3,25.712,0.1551,0.035426087,0.0991
C. rhomboidea,27/03/2012,Elv,400,Wet,449,20,1.95,1.76,97.058,0.4285,0.195384615,0.1058
C. rhomboidea,27/03/2012,Elv,400,Wet,459,28,2.3,2.24,199.517,1.1081,0.508647303,0.4021
P. radiata,22/05/2012,Amb,400,Dry,532,38,4.1,4,208.22,2.43,1.274320242,1.51
P. radiata,22/05/2012,Amb,400,Dry,537,27,3.8,3.8,,1.79,0.880434783,1.22
P. radiata,22/05/2012,Amb,400,Dry,523,35.5,5,4.9,,3.08,1.426848875,1.45
P. radiata,22/05/2012,Amb,640,Dry,628,36,4.3,4.2,,3.95,1.381132075,1.98
P. radiata,22/05/2012,Amb,640,Dry,633,30.5,4.2,4.2,,2.12,0.915,1.65
P. radiata,22/05/2012,Amb,640,Dry,637,34,4.8,4.7,,2.44,1.178666667,1.83
C. rhomboidea,22/05/2012,Amb,400,Dry,554,26.5,3.2,3.3,258.76,2.82,0.741101695,0.81
C. rhomboidea,22/05/2012,Amb,400,Dry,547,25.46,2.9,3.1,,1.85,0.45215847,0.72
C. rhomboidea,22/05/2012,Amb,400,Dry,550,21,2.1,2.2,,1.12,0.36,0.55
C. rhomboidea,22/05/2012,Amb,640,Dry,653,27,3.5,3.5,,2.52,0.8325,1.07
C. rhomboidea,22/05/2012,Amb,640,Dry,651,26.5,3.2,3.2,,2.7,0.793832599,0.84
C. rhomboidea,22/05/2012,Amb,640,Dry,643,25.3,3.3,3.25,,2.57,0.757834101,0.92
P. radiata,22/05/2012,Elv,640,Dry,334,30,4.3,4.4,184.76,2.08,1.20233463,2.12
P. radiata,22/05/2012,Elv,640,Dry,339,32,3.6,3.6,,2.03,1.005054152,1.64
P. radiata,22/05/2012,Elv,640,Dry,340,32,4,4,,1.93,0.969014085,1.29
P. radiata,22/05/2012,Elv,400,Dry,432,30.5,3.7,4,,1.55,0.7625,0.81
P. radiata,22/05/2012,Elv,400,Dry,439,32,4.5,4.3,,2.23,1.188571429,1.65
