gen spp,rep,site_text,fire_response,regeneration,C3C4,Nfixer,woodiness,growth form,mycorrhizal,deciduous/evergreen,leaf Nmass,leaf Pmass,delta 13C,15-N,15-N_sample_size
Pultanea paleacea,2,,,,,,,,,,,,-28.23,,
Dampiera stricta,2,,,,,,,,,,,,-31.27,,
Baeckea stenophylla,2,,,,,,,,,,,,-29.66,,
Callistemon pachyphyllus,2,,,,,,,,,,,,-28.05,,
Leptospermum liversidgei,2,,,,,,,,,,,,-28.75,,
Leptospermum speciosum,2,,,,,,,,,,,,-27.56,,
Melaleuca nodosa,2,,,,,,,,,,,,-29.61,,
Melaleuca sieberi,2,,,,,,,,,,,,-28.79,,
Banksia aemula,2,,,,,,,,,,,,-29.25,,
Banksia oblongifolia,2,,,,,,,,,,,,-31.10,,
Banksia robur,2,,,,,,,,,,,,-27.99,,
Hakea gibbosa,2,,,,,,,,,,,,-28.90,,
Persoonia virgata,2,,,,,,,,,,,,-29.33,,
Petrophila shirleyae,2,,,,,,,,,,,,-31.91,,
Strangea linearis,2,,,,,,,,,,,,-30.56,,
Empodesma minus,2,,,,,,,,,,,,-27.91,,
Eriostemon myropoides,2,,,,,,,,,,,,-28.20,,
Xanthorrhoea johnsonii,2,,,,,,,,,,,,-26.17,,
Caustis recurvata,3,,,,,,,,,,,,,,
Hibbertia salicifolia,3,,,,,,,,,,,,,,
Epacris pulcella,3,,,,,,,,,,,,-30.15,,
Leucopogon leptospermoides,3,,,,,,,,,,,,,,
Sprengelia sprengelioides,3,,,,,,,,,,,,,,
Gompholobium pinnatum,3,,,,,,,,,,,,-31.88,,
Mirbelia reticulata,3,,,,,,,,,,,,-27.74,,
Pultanea paleacea,3,,,,,,,,,,,,-28.89,,
Dampiera stricta,3,,,,,,,,,,,,-30.62,,
Baeckea stenophylla,3,,,,,,,,,,,,-29.83,,
Callistemon pachyphyllus,3,,,,,,,,,,,,-28.68,,
Leptospermum liversidgei,3,,,,,,,,,,,,-28.60,,
Leptospermum speciosum,3,,,,,,,,,,,,-28.95,,
Melaleuca nodosa,3,,,,,,,,,,,,-31.51,,
Melaleuca sieberi,3,,,,,,,,,,,,-29.39,,
Banksia aemula,3,,,,,,,,,,,,-30.17,,
Banksia oblongifolia,3,,,,,,,,,,,,-29.88,,
Banksia robur,3,,,,,,,,,,,,-29.37,,
Hakea gibbosa,3,,,,,,,,,,,,-29.48,,
Persoonia virgata,3,,,,,,,,,,,,-28.96,,
Petrophila shirleyae,3,,,,,,,,,,,,-29.73,,
Strangea linearis,3,,,,,,,,,,,,-29.26,,
Empodesma minus,3,,,,,,,,,,,,-28.44,,
Eriostemon myropoides,3,,,,,,,,,,,,-29.30,,
Xanthorrhoea johnsonii,3,,,,,,,,,,,,,,
