region,site_name,date,collector,file,species,delta_15N,plant_growth_form
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Freycinettia sp.,-6.34,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Freycinettia sp.,-6.6,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Freycinettia sp.,-6.36,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Platycerium bifurcatum,-3.91,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Platycerium bifurcatum,-4.4,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Platycerium bifurcatum,-4.06,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Orchidaceae,-4.13,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,Orchidaceae,-3.83,epiphyte
Daintree,Cape Tribulation (adjacent to beach),Aug-93,Suzanne,DAINEPI,Asplenium sp.,-3.11,epiphyte
Daintree,Cape Tribulation (adjacent to beach),Aug-93,Suzanne,DAINEPI,Asplenium sp.,-3.16,epiphyte
Daintree,Cape Tribulation (adjacent to beach),Aug-93,Suzanne,DAINEPI,Melaleuca sp.,-0.83,epiphyte
Daintree,Cape Tribulation (adjacent to beach),Aug-93,Suzanne,DAINEPI,Melaleuca sp.,-1.06,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,fern,-4.69,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,fern,-5.06,epiphyte
Daintree,Mangrove_area,Jul-93,Peter,DAINEPI,fern,-5.35,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,fern sp. A,-1.82,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,fern sp. A,-1.92,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,Asplenium sp.,-1.94,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,Asplenium sp.,-2.02,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,Asplenium sp.,-1.62,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,Asplenium sp.,-1.38,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,fern sp. A,-0.83,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,fern sp. A,-0.86,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,fern sp. A,-1,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,fern sp. A,-1.2,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,Adiantum sp.,0.28,epiphyte
Daintree,Coopers Creek (along creek in rainforest),Aug-93,Suzanne,DAINEPI,Adiantum sp.,-0.15,epiphyte
