Species,Treatment,Replicate,life_form,WP leaf (Mpa) predawn,leaf RWC at predawn,WP leaf (Mpa) midday,Shoot:Root,Stem mass fraction (SMF) g/g,Root mass fraction (RMF) g/g,WUE ,RGR mg g/day,Transpiration rate g/day,Total plant leaf area cm2,Total leaf dry mass g,Daily transpiration g H20/leaf area cm2,LMA kg/m2,LAR m2/kg whole plant,SLA m2/kg whole plant,LMF total g/g,Stomatal density Upper surface,Stomatal density Lower surface,Mean Stomatal density (upper and lower surfaces),site
Arthropodium milleflorum,Drought,1,geophyte,0.6,99.04153355,0.9,0.098426082,0,0.910393532,19.4277135,22.9650839,8.205,212.8784247,1.751,0.038543126,0.082253521,1.089393709,12.15753425,0.089606468,NA,NA,NA,The University of Melbourne Burnley campus
Arthropodium milleflorum,Drought,2,,0.4,93.95348837,0.7,0.257358307,0,0.795318243,6.002583824,9.971443171,6.43,353.2990345,2.116,0.01819988,0.059892606,3.417479536,16.69655172,0.204681757,NA,NA,NA,The University of Melbourne Burnley campus
Arthropodium milleflorum,Drought,3,,0.4,96.57534247,1.3,0.181267885,0,0.846548029,6.681274537,10.73668155,6.28,281.21,1.647,0.022332065,0.05856833,2.620050312,17.07407407,0.153451971,NA,NA,NA,The University of Melbourne Burnley campus
Arthropodium milleflorum,Drought,4,,0.5,97.12230216,1.6,0.180705933,0,0.84695094,6.78100107,11.06113649,6.43,259.3626,1.669,0.024791547,0.064350064,2.378382393,15.54,0.15304906,NA,NA,NA,The University of Melbourne Burnley campus
Arthropodium milleflorum,Drought,5,,0.6,97.52321981,1.5,0.360569715,0,0.734986226,1.344998388,2.758247294,6.805,411.0527103,1.924,0.016555054,0.046806649,5.661883062,21.36448598,0.265013774,NA,NA,NA,The University of Melbourne Burnley campus
Arthropodium milleflorum,Watered,1,,0.3,97.91666667,0.7,0.791278785,0,0.558260394,3.819137653,17.04976129,58.84,1340.309565,6.46,0.043900306,0.048197821,9.165136524,20.74782609,0.441739606,10.50955414,11.78343949,11.14649682,The University of Melbourne Burnley campus
Arthropodium milleflorum,Watered,2,,0.4,100,1,0.627931079,0,0.614276619,4.275175161,13.95447026,46.415,927.9166667,4.847,0.050020656,0.052235294,7.384343997,19.14414414,0.385723381,14.33121019,21.33757962,17.8343949,The University of Melbourne Burnley campus
Arthropodium milleflorum,Watered,3,,0.4,98.60627178,1,0.326610013,0,0.753801034,5.089665574,28.72566636,99.715,1059.18374,6.38,0.09414325,0.060235064,4.087303156,16.60162602,0.246198966,18.47133758,15.2866242,16.87898089,The University of Melbourne Burnley campus
Arthropodium milleflorum,Watered,4,,0.35,98.36601307,1.3,0.388228726,0,0.720342391,5.156251456,20.60503495,53.74,1011.872552,4.868,0.053109455,0.048108825,5.813020921,20.7862069,0.279657609,15.92356688,22.29299363,19.10828025,The University of Melbourne Burnley campus
Arthropodium milleflorum,Watered,5,,0.5,97.51552795,1.2,0.997900875,0,0.500525333,3.983239811,20.28004793,65.19,2096.465,8.557,0.031095201,0.040816327,12.23712935,24.5,0.499474667,NA,NA,NA,The University of Melbourne Burnley campus
