var_name,trait_name,unit
LAI,LAI,
soil OC,soil OC,
soil cond (dS/m),soil cond,dS/m
soil pH (CaCl2),soil pH (CaCl2),
soil pH (H2O),soil pH (H2O),
exc Al (cmol/kg),exc AI,cmol/kg
exc Ca (cmol/kg),exc Ca,cmol/kg
exc Mg (cmol/kg),exc Mg,cmol/kg
exc K (cmol/kg),exc K,cmol/kg
exc Na (cmol/kg),exc Na,cmol/kg
soil TN (%),soil TN,%
soil TP (mg/kg),soil TP,mg/kg
CEC (cmol(+)/kg),CEC,cmol(+)/kg
Al sat (%),AI sat,%
soil C:N,soil C:N,
soil C:P,soil C:P,
soil N:P,soil N:P,
