site_name,trait_name,unit,value,notes
Round Hill,exc_AI,cmol/kg,0.107,
Round Hill,exc_Ca,cmol/kg,3.868,
Round Hill,exc_Mg,cmol/kg,1.308,
Round Hill,exc_K,cmol/kg,0.444,
Round Hill,exc_Na,cmol/kg,0.038,
Round Hill,soil_total_N,%,0.05,
Round Hill,soil_total_P,mg/kg,105.944,
Round Hill,soil_cation_exchange_capacity,,cmol(+)/kg,5.765,
Round Hill,AI_sat,%,1.853,
Round Hill,soil_C:N,,16.96,
Round Hill,soil_C:P,,8.004,
Round Hill,soil_N:P,,0.472,
Yengo,longitude,deg,150.922,
Yengo,latitude,deg,-32.778,
Yengo,leaf_area_index,,3.74,
Yengo,soil_organic_C,,4.587,
Yengo,soil_conductivity,dS/m,0.043,
Yengo,soil_pH_(CaCl2),,4.433,
Yengo,soil_pH,,5.233,
Yengo,exc_AI,cmol/kg,2.197,
Yengo,exc_Ca,cmol/kg,0.913,
Yengo,exc_Mg,cmol/kg,0.99,
Yengo,exc_K,cmol/kg,0.457,
Yengo,exc_Na,cmol/kg,0.21,
Yengo,soil_total_N,%,0.147,
Yengo,soil_total_P,mg/kg,222.87,
Yengo,soil_cation_exchange_capacity,,cmol(+)/kg,4.767,
Yengo,AI_sat,%,46.091,
Yengo,soil_C:N,,31.273,
Yengo,soil_C:P,,20.58,
Yengo,soil_N:P,,0.658,
