Site,species,SLA (m2 kg-1),[N] (%),A (nmol g-1 s-1)
Kunoth Paddock,Acacia aneura var. major,3.23,1.75,80.8
Berrimah,Acacia auriculiformis,13.4,2.97,205.4
Katherine,Acacia holosericea,7.59,2.45,115.5
Berrimah,Acacia holosericea,10.54,3.09,193.9
Kunoth Paddock,Acacia kempeana,3.93,1.99,91
Newcastle Waters,Acacia lysiphloia,8.22,2.04,152.1
Newcastle Waters,Acacia neurocarpa,6.43,2.43,123.9
Newcastle Waters,Acacia shirleyi,5.73,1.93,83.8
Newcastle Waters,Corymbia dichromophloia,5.16,0.96,84
Katherine,Corymbia foelscheana,5.88,1.16,74.5
Kunoth Paddock,Corymbia terminalis,3.62,1.16,111
Newcastle Waters,Eucalyptus chlorophylla,4.17,0.99,59.2
Berrimah,Eucalyptus miniata,7.36,1.56,104.6
Katherine,Eucalyptus patellaris,4.59,0.9,51.2
Berrimah,Eucalyptus tetrodonta,5.65,1.06,64.9
Katherine,Grevillea dimidiata,5.18,0.98,58.4
Berrimah,Grevillea pteridifolia,5.1,1.04,58.8
Newcastle Waters,Grevillea wickhamii ssp aprica,6.39,1.58,92.7
Katherine,Hakea arborescens,2.8,0.76,49.4
Kunoth Paddock,Hakea suberea,2,0.79,28.1
Berrimah,Persoonia falcata,6.85,1.26,71.7
