find,taxon_rank,dataset_id,still_to_match,stripped_name,stripped_name2,cleaned_name,trinomial,binomial,genus,replace_new,reason_new,fuzzy_match_genus,fuzzy_match_genus_known,fuzzy_match_genus_APNI,fuzzy_match_binomial,fuzzy_match_binomial_APC_known,fuzzy_match_trinomial,fuzzy_match_trinomial_known,fuzzy_match_cleaned_APC,fuzzy_match_cleaned_APC_known,fuzzy_match_cleaned_APNI,fuzzy_match_cleaned_APC_imprecise,fuzzy_match_cleaned_APC_known_imprecise,fuzzy_match_cleaned_APNI_imprecise,taxonomic_ref,taxonomic_resolution
Dendrobium ellipsophyllum,Genus,eFLOWER_Dun_2022,match_20_accepted,dendrobium ellipsophyllum,dendrobium ellipsophyllum,Dendrobium ellipsophyllum,NA,dendrobium ellipsophyllum,Dendrobium,Dendrobium sp. [Dendrobium ellipsophyllum; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Dendrobium,Dendorobium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Dendrolobium triangulare,Genus,eFLOWER_Dun_2022,match_20_accepted,dendrolobium triangulare,dendrolobium triangulare,Dendrolobium triangulare,NA,dendrolobium triangulare,Dendrolobium,Dendrolobium sp. [Dendrolobium triangulare; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Dendrolobium,Dendorobium,Dendrolirium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Deplanchea speciosa,Genus,eFLOWER_Dun_2022,match_20_accepted,deplanchea speciosa,deplanchea speciosa,Deplanchea speciosa,NA,deplanchea speciosa,Deplanchea,Deplanchea sp. [Deplanchea speciosa; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Deplanchea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Endiandra macrophylla,Genus,eFLOWER_Dun_2022,match_20_accepted,endiandra macrophylla,endiandra macrophylla,Endiandra macrophylla,NA,endiandra macrophylla,Endiandra,Endiandra sp. [Endiandra macrophylla; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Endiandra,NA,Epiandra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Entada abyssinica,Genus,eFLOWER_Dun_2022,match_20_accepted,entada abyssinica,entada abyssinica,Entada abyssinica,NA,entada abyssinica,Entada,Entada sp. [Entada abyssinica; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Entada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Floscopa glomerata,Genus,eFLOWER_Dun_2022,match_20_accepted,floscopa glomerata,floscopa glomerata,Floscopa glomerata,NA,floscopa glomerata,Floscopa,Floscopa sp. [Floscopa glomerata; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Floscopa,Floscopae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Gentiana cruciata,Genus,eFLOWER_Dun_2022,match_20_accepted,gentiana cruciata,gentiana cruciata,Gentiana cruciata,NA,gentiana cruciata,Gentiana,Gentiana sp. [Gentiana cruciata; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Gentiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Gossia clusioides,Genus,eFLOWER_Dun_2022,match_20_accepted,gossia clusioides,gossia clusioides,Gossia clusioides,NA,gossia clusioides,Gossia,Gossia sp. [Gossia clusioides; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Gossia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Gouania mauritiana,Genus,eFLOWER_Dun_2022,match_20_accepted,gouania mauritiana,gouania mauritiana,Gouania mauritiana,NA,gouania mauritiana,Gouania,Gouania sp. [Gouania mauritiana; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Gouania,Gunnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Grewia flavescens,Genus,eFLOWER_Dun_2022,match_20_accepted,grewia flavescens,grewia flavescens,Grewia flavescens,NA,grewia flavescens,Grewia,Grewia sp. [Grewia flavescens; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Grewia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Gymnosporia buxifolia,Genus,eFLOWER_Dun_2022,match_20_accepted,gymnosporia buxifolia,gymnosporia buxifolia,Gymnosporia buxifolia,NA,gymnosporia buxifolia,Gymnosporia,Gymnosporia sp. [Gymnosporia buxifolia; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Gymnosporia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Hedyotis nodulosa,Genus,eFLOWER_Dun_2022,match_20_accepted,hedyotis nodulosa,hedyotis nodulosa,Hedyotis nodulosa,NA,hedyotis nodulosa,Hedyotis,Hedyotis sp. [Hedyotis nodulosa; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Hedyotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Helicteres baruensis,Genus,eFLOWER_Dun_2022,match_20_accepted,helicteres baruensis,helicteres baruensis,Helicteres baruensis,NA,helicteres baruensis,Helicteres,Helicteres sp. [Helicteres baruensis; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Helicteres,Helipteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Hydnocarpus annamensis,Genus,eFLOWER_Dun_2022,match_20_accepted,hydnocarpus annamensis,hydnocarpus annamensis,Hydnocarpus annamensis,NA,hydnocarpus annamensis,Hydnocarpus,Hydnocarpus sp. [Hydnocarpus annamensis; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Hydnocarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Hymenachne felliana,Genus,eFLOWER_Dun_2022,match_20_accepted,hymenachne felliana,hymenachne felliana,Hymenachne felliana,NA,hymenachne felliana,Hymenachne,Hymenachne sp. [Hymenachne felliana; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Hymenachne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Intsia palembanica,Genus,eFLOWER_Dun_2022,match_20_accepted,intsia palembanica,intsia palembanica,Intsia palembanica,NA,intsia palembanica,Intsia,Intsia sp. [Intsia palembanica; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Intsia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Laportea canadensis,Genus,eFLOWER_Dun_2022,match_20_accepted,laportea canadensis,laportea canadensis,Laportea canadensis,NA,laportea canadensis,Laportea,Laportea sp. [Laportea canadensis; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Laportea,Lacostea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Lindernia dubia,Genus,eFLOWER_Dun_2022,match_20_accepted,lindernia dubia,lindernia dubia,Lindernia dubia,NA,lindernia dubia,Lindernia,Lindernia sp. [Lindernia dubia; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Lindernia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Lophatherum sinense,Genus,eFLOWER_Dun_2022,match_20_accepted,lophatherum sinense,lophatherum sinense,Lophatherum sinense,NA,lophatherum sinense,Lophatherum,Lophatherum sp. [Lophatherum sinense; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Lophatherum,NA,Leptatherum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Luzula elegans,Genus,eFLOWER_Dun_2022,match_20_accepted,luzula elegans,luzula elegans,Luzula elegans,NA,luzula elegans,Luzula,Luzula sp. [Luzula elegans; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Luzula,Lazula,Lapula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Maytenus boaria,Genus,eFLOWER_Dun_2022,match_20_accepted,maytenus boaria,maytenus boaria,Maytenus boaria,NA,maytenus boaria,Maytenus,Maytenus sp. [Maytenus boaria; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Maytenus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Meryta sinclairii,Genus,eFLOWER_Dun_2022,match_20_accepted,meryta sinclairii,meryta sinclairii,Meryta sinclairii,NA,meryta sinclairii,Meryta,Meryta sp. [Meryta sinclairii; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Meryta,Maruta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Millettia grandis,Genus,eFLOWER_Dun_2022,match_20_accepted,millettia grandis,millettia grandis,Millettia grandis,NA,millettia grandis,Millettia,Millettia sp. [Millettia grandis; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Millettia,Millottia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Monoon erianthoides,Genus,eFLOWER_Dun_2022,match_20_accepted,monoon erianthoides,monoon erianthoides,Monoon erianthoides,NA,monoon erianthoides,Monoon,Monoon sp. [Monoon erianthoides; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Monoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Murdannia divergens,Genus,eFLOWER_Dun_2022,match_20_accepted,murdannia divergens,murdannia divergens,Murdannia divergens,NA,murdannia divergens,Murdannia,Murdannia sp. [Murdannia divergens; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Murdannia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Neoalsomitra sarcophylla,Genus,eFLOWER_Dun_2022,match_20_accepted,neoalsomitra sarcophylla,neoalsomitra sarcophylla,Neoalsomitra sarcophylla,NA,neoalsomitra sarcophylla,Neoalsomitra,Neoalsomitra sp. [Neoalsomitra sarcophylla; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Neoalsomitra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Nothofagus obliqua,Genus,eFLOWER_Dun_2022,match_20_accepted,nothofagus obliqua,nothofagus obliqua,Nothofagus obliqua,NA,nothofagus obliqua,Nothofagus,Nothofagus sp. [Nothofagus obliqua; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Nothofagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Ottelia acuminata,Genus,eFLOWER_Dun_2022,match_20_accepted,ottelia acuminata,ottelia acuminata,Ottelia acuminata,NA,ottelia acuminata,Ottelia,Ottelia sp. [Ottelia acuminata; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Ottelia,Ophelia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Peperomia fraseri,Genus,eFLOWER_Dun_2022,match_20_accepted,peperomia fraseri,peperomia fraseri,Peperomia fraseri,NA,peperomia fraseri,Peperomia,Peperomia sp. [Peperomia fraseri; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Peperomia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Pilostyles aethiopica,Genus,eFLOWER_Dun_2022,match_20_accepted,pilostyles aethiopica,pilostyles aethiopica,Pilostyles aethiopica,NA,pilostyles aethiopica,Pilostyles,Pilostyles sp. [Pilostyles aethiopica; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Pilostyles,NA,Pilostylis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Pittosporum illicioides,Genus,eFLOWER_Dun_2022,match_20_accepted,pittosporum illicioides,pittosporum illicioides,Pittosporum illicioides,NA,pittosporum illicioides,Pittosporum,Pittosporum sp. [Pittosporum illicioides; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Pittosporum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Platostoma coloratum,Genus,eFLOWER_Dun_2022,match_20_accepted,platostoma coloratum,platostoma coloratum,Platostoma coloratum,NA,platostoma coloratum,Platostoma,Platostoma sp. [Platostoma coloratum; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Platostoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Pollia condensata,Genus,eFLOWER_Dun_2022,match_20_accepted,pollia condensata,pollia condensata,Pollia condensata,NA,pollia condensata,Pollia,Pollia sp. [Pollia condensata; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Pollia,NA,Pohlia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Pomaderris rugosa,Genus,eFLOWER_Dun_2022,match_20_accepted,pomaderris rugosa,pomaderris rugosa,Pomaderris rugosa,NA,pomaderris rugosa,Pomaderris,Pomaderris sp. [Pomaderris rugosa; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Pomaderris,NA,Paraderris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Potamogeton wrightii,Genus,eFLOWER_Dun_2022,match_20_accepted,potamogeton wrightii,potamogeton wrightii,Potamogeton wrightii,NA,potamogeton wrightii,Potamogeton,Potamogeton sp. [Potamogeton wrightii; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Potamogeton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Premna microphylla,Genus,eFLOWER_Dun_2022,match_20_accepted,premna microphylla,premna microphylla,Premna microphylla,NA,premna microphylla,Premna,Premna sp. [Premna microphylla; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Premna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Pternandra multiflora,Genus,eFLOWER_Dun_2022,match_20_accepted,pternandra multiflora,pternandra multiflora,Pternandra multiflora,NA,pternandra multiflora,Pternandra,Pternandra sp. [Pternandra multiflora; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Pternandra,Plerandra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Rothia hirsuta,Genus,eFLOWER_Dun_2022,match_20_accepted,rothia hirsuta,rothia hirsuta,Rothia hirsuta,NA,rothia hirsuta,Rothia,Rothia sp. [Rothia hirsuta; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Rothia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Ruellia bignoniiflora,Genus,eFLOWER_Dun_2022,match_20_accepted,ruellia bignoniiflora,ruellia bignoniiflora,Ruellia bignoniiflora,NA,ruellia bignoniiflora,Ruellia,Ruellia sp. [Ruellia bignoniiflora; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Ruellia,Riedlia,Roella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Sageretia thea,Genus,eFLOWER_Dun_2022,match_20_accepted,sageretia thea,sageretia thea,Sageretia thea,NA,sageretia thea,Sageretia,Sageretia sp. [Sageretia thea; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Sageretia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Sarcanthopsis praealta,Genus,eFLOWER_Dun_2022,match_20_accepted,sarcanthopsis praealta,sarcanthopsis praealta,Sarcanthopsis praealta,NA,sarcanthopsis praealta,Sarcanthopsis,Sarcanthopsis sp. [Sarcanthopsis praealta; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Sarcanthopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Schoenoplectiella senegalensis,Genus,eFLOWER_Dun_2022,match_20_accepted,schoenoplectiella senegalensis,schoenoplectiella senegalensis,Schoenoplectiella senegalensis,NA,schoenoplectiella senegalensis,Schoenoplectiella,Schoenoplectiella sp. [Schoenoplectiella senegalensis; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Schoenoplectiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Scindapsus coriaceus,Genus,eFLOWER_Dun_2022,match_20_accepted,scindapsus coriaceus,scindapsus coriaceus,Scindapsus coriaceus,NA,scindapsus coriaceus,Scindapsus,Scindapsus sp. [Scindapsus coriaceus; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Scindapsus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Senegalia senegal,Genus,eFLOWER_Dun_2022,match_20_accepted,senegalia senegal,senegalia senegal,Senegalia senegal,NA,senegalia senegal,Senegalia,Senegalia sp. [Senegalia senegal; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Senegalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Stigmaphyllon jatrophifolium,Genus,eFLOWER_Dun_2022,match_20_accepted,stigmaphyllon jatrophifolium,stigmaphyllon jatrophifolium,Stigmaphyllon jatrophifolium,NA,stigmaphyllon jatrophifolium,Stigmaphyllon,Stigmaphyllon sp. [Stigmaphyllon jatrophifolium; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Stigmaphyllon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Storckiella neocaledonica,Genus,eFLOWER_Dun_2022,match_20_accepted,storckiella neocaledonica,storckiella neocaledonica,Storckiella neocaledonica,NA,storckiella neocaledonica,Storckiella,Storckiella sp. [Storckiella neocaledonica; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Storckiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Thunbergia capensis,Genus,eFLOWER_Dun_2022,match_20_accepted,thunbergia capensis,thunbergia capensis,Thunbergia capensis,NA,thunbergia capensis,Thunbergia,Thunbergia sp. [Thunbergia capensis; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Thunbergia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Vigna juruana,Genus,eFLOWER_Dun_2022,match_20_accepted,vigna juruana,vigna juruana,Vigna juruana,NA,vigna juruana,Vigna,Vigna sp. [Vigna juruana; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Vigna,NA,Vignea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Xylopia peruviana,Genus,eFLOWER_Dun_2022,match_20_accepted,xylopia peruviana,xylopia peruviana,Xylopia peruviana,NA,xylopia peruviana,Xylopia,Xylopia sp. [Xylopia peruviana; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Xylopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
Xyris jupicai,Genus,eFLOWER_Dun_2022,match_20_accepted,xyris jupicai,xyris jupicai,Xyris jupicai,NA,xyris jupicai,Xyris,Xyris sp. [Xyris jupicai; eFLOWER_Dun_2022],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-05-11)",Xyris,Xuris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus
