find,taxon_rank,dataset_id
Abildgaardia schoenoides,Genus,eFLOWER_Dun_2022
Acalypha spiciflora,Genus,eFLOWER_Dun_2022
Aeginetia indica,Genus,eFLOWER_Dun_2022
Albizia kalkora,Genus,eFLOWER_Dun_2022
Alocasia odora,Genus,eFLOWER_Dun_2022
Amorphophallus longituberosus,Genus,eFLOWER_Dun_2022
Androstoma verticillatum,Genus,eFLOWER_Dun_2022
Anisotome haastii,Genus,eFLOWER_Dun_2022
Anoectochilus roxburghii,Genus,eFLOWER_Dun_2022
Anthoxanthum redolens,Genus,eFLOWER_Dun_2022
Apostasia nuda,Genus,eFLOWER_Dun_2022
Aristolochia littoralis,Genus,eFLOWER_Dun_2022
Aristotelia fruticosa,Genus,eFLOWER_Dun_2022
Arnocrinum preisii,Genus,eFLOWER_Dun_2022
Artabotrys rufus,Genus,eFLOWER_Dun_2022
Asparagus cochinchinensis,Genus,eFLOWER_Dun_2022
Asparagus densiflorus,Genus,eFLOWER_Dun_2022
Batis maritima,Genus,eFLOWER_Dun_2022
Beilschmiedia tsangii,Genus,eFLOWER_Dun_2022
Biancaea sappan,Genus,eFLOWER_Dun_2022
Boehmeria burgeriana,Genus,eFLOWER_Dun_2022
Bothriochloa ischaemum,Genus,eFLOWER_Dun_2022
Brackenridgea nitida,Genus,eFLOWER_Dun_2022
Calophyllum brasiliense,Genus,eFLOWER_Dun_2022
Caryota rumphiana,Genus,eFLOWER_Dun_2022
Ceropegia glabriflora,Genus,eFLOWER_Dun_2022
Chenopodium eremaeum,Genus,eFLOWER_Dun_2022
Chenopodium nutans,Genus,eFLOWER_Dun_2022
Coccinia sessilifolia,Genus,eFLOWER_Dun_2022
Costus woodsonii,Genus,eFLOWER_Dun_2022
Cucumis prophetarum,Genus,eFLOWER_Dun_2022
Cyclophyllum barbatum,Genus,eFLOWER_Dun_2022
Cymodocea nodosa,Genus,eFLOWER_Dun_2022
Cynometra lenticellata,Genus,eFLOWER_Dun_2022
Cyperus mindorensis,Genus,eFLOWER_Dun_2022
Dendrobium baileyi,Genus,eFLOWER_Dun_2022
Dendrobium clementsii,Genus,eFLOWER_Dun_2022
Dendrobium ellipsophyllum,Genus,eFLOWER_Dun_2022
Dendrobium toressae,Genus,eFLOWER_Dun_2022
Dendrocnide stimulans,Genus,eFLOWER_Dun_2022
Dendrolobium triangulare,Genus,eFLOWER_Dun_2022
Deplanchea speciosa,Genus,eFLOWER_Dun_2022
Dinosperma erythrococca,Genus,eFLOWER_Dun_2022
Diplaspis hydrocotylea,Genus,eFLOWER_Dun_2022
Dryadodaphne novoguineensis,Genus,eFLOWER_Dun_2022
Elaeocarpus dognyensis,Genus,eFLOWER_Dun_2022
Elephantopus tomentosus,Genus,eFLOWER_Dun_2022
Endiandra macrophylla,Genus,eFLOWER_Dun_2022
Entada abyssinica,Genus,eFLOWER_Dun_2022
Epaltes cunninghamii,Genus,eFLOWER_Dun_2022
