genus,species,binomial,growth form,longevity,min height (m),max height (m),min leaf length (mm),max leaf length (mm),min leaf width (mm),max leaf width (mm),leaf shape,leaf type
Oligarrhena,micrantha,Oligarrhena micrantha,shrub,perennial,,0.4,1.5,3,0.5,1,ovate,simple
Sphenotoma,capitatum,Sphenotoma capitatum,shrub,perennial,,0.5,15,35,2,4,ovate,simple
Sphenotoma,drummondii,Sphenotoma drummondii,shrub,perennial,,0.5,40,80,8,10,ovate,simple
Sphenotoma,gracile,Sphenotoma gracile,shrub,perennial,,1,5,15,2,4,ovate,simple
Sphenotoma,parviflorum,Sphenotoma parviflorum,shrub,perennial,,0.5,7,15,1,1,ovate,simple
Sphenotoma,sp. Stirling range,Sphenotoma sp. Stirling range,shrub,perennial,,2,12,30,2.5,9,ovate,simple
Sphenotoma,squarrosum,Sphenotoma squarrosum,shrub,perennial,,2,25,50,3,7,ovate,simple
Styphelia,tenuiflora,Styphelia tenuiflora,shrub,perennial,,0.7,12,28,2,6,ovate,simple
Eremosyne,pectinata,Eremosyne pectinata,herb,annual,,0.2,3,20,1.5,11,obovate,simple
Amperea,ericoides,Amperea ericoides,shrub,perennial,,0.4,5,20,1,3,linear,simple
Amperea,micrantha,Amperea micrantha,shrub,perennial,,0.2,3,12,1,1,linear,simple
Amperea,protensa,Amperea protensa,shrub,perennial,,0.4,10,30,2,8,elliptic,simple
Amperea,simulans,Amperea simulans,shrub,perennial,,0.3,6,13,1,4,ovate,simple
Amperea,volubilis,Amperea volubilis,shrub,perennial,,1,6,28,0.6,1.8,linear,simple
Beyeria,viscosa,Beyeria viscosa,shrub,perennial,,3,25,50,8,20,elliptic,simple
Calycopeplus,oligandrus,Calycopeplus oligandrus,tree,perennial,,5,7,25,1,2,linear,simple
Monotaxis,grandiflora,Monotaxis grandiflora,shrub,perennial,,0.3,5,12,1,1,linear,simple
Monotaxis,occidentalis,Monotaxis occidentalis,herb,perennial,,0.2,1.5,12,1,3,ovate,simple
Phyllanthus,calycinus,Phyllanthus calycinus,shrub,perennial,,5,5,22,3,7,elliptic,simple
Poranthera,huegelii,Poranthera huegelii,shrub,perennial,,0.4,6,20,`,1,linear,simple
Poranthera,microphylla,Poranthera microphylla,herb,annual,,0.45,4,27,1,3.5,ovate,simple
Pseudanthus,virgatus,Pseudanthus virgatus,shrub,perennial,,0.5,3,10,1,2.5,ovate,simple
Ricinocarpos,glaucus,Ricinocarpos glaucus,shrub,perennial,,2,7,50,1,3,linear,simple
Frankenia,pauciflora,Frankenia pauciflora,shrub,perennial,,0.5,2,13,0.5,1.2,linear,simple
Centaurium,spicatum,Centaurium spicatum,herb,annual,,0.3,8,26,2,13,ovate,simple
Geranium,retrorsum,Geranium retrorsum,herb,perennial,,0.3,5,25,10,40,ovate,simple
Geranium,solanderi,Geranium solanderi,herb,perennial,,0.3,10,45,10,65,orbicular,simple
Pelargonium,australe,Pelargonium  australe,herb,perennial,,0.5,15,60,15,80,ovate,simple
Pelargonium,littorale,Pelargonium  littorale,herb,perennial,,0.6,7,55,10,80,ovate,simple
Anthotium,humile,Anthotium humile,herb,perennial,,0.1,30,110,0.5,3,ovate,simple
Anthotium,junciforme,Anthotium junciforme,herb,perennial,,0.4,90,145,0.5,1,linear,simple
Anthotium,sp. Peaceful Bay,Anthotium sp. Peaceful Bay,herb,perennial,,0.4,30,110,0.5,3,linear,simple
Dampiera,alata,Dampiera alata,herb,perennial,,0.6,18,50,3,20,ovate,simple
Dampiera,coronata,Dampiera coronata,herb,perennial,,0.5,15,70,4,18,ovate,simple
Dampiera,heteroptera,Dampiera heteroptera,herb,perennial,,0.6,10,55,1.5,3.5,linear,simple
Dampiera,leptoclada,Dampiera leptoclada,herb,perennial,,1,15,40,2,15,elliptic,simple
Dampiera,trigona,Dampiera trigona,herb,perennial,,0.4,10,50,1.5,6,ovate,simple
Dampiera,hederacea,Dampiera hederacea,herb,perennial,,0.3,9,40,3,30,ovate,simple
Dampiera,linearis,Dampiera linearis,herb,perennial,,0.5,6,40,2,17,obovate,simple
Dampiera,pedunculata,Dampiera pedunculata,herb,perennial,,0.5,10,35,1.5,4,linear,simple
Diaspasis,filifolia,Diaspasis filifolia,herb,perennial,,0.5,10,40,0.5,2,linear,simple
Goodenia,caerulea,Goodenia caerulea,herb,perennial,,0.5,8,30,1,1,linear,simple
Goodenia,eatoniana,Goodenia eatoniana,herb,perennial,,0.4,10,22,5,12,ovate,simple
Goodenia,incana,Goodenia incana,herb,perennial,,0.3,15,50,2,5,ovate,simple
Goodenia,leptoclada,Goodenia leptoclada,herb,perennial,,0.3,10,25,1.5,5,linear,simple
Goodenia,claytoniacea,Goodenia claytoniacea,herb,perennial,,0.2,15,60,1.5,4,linear,simple
Goodenia,micrantha,Goodenia micrantha,herb,annual,,0.2,10,50,0.5,1,ovate,simple
Goodenia,pulchella,Goodenia pulchella,herb,perennial,,0.45,20,130,1,15,elliptic,simple
Goodenia,pusilla,Goodenia pusilla,herb,annual,,0.2,5,50,2,10,ovate,simple
Lechenaultia,biloba,Lechenaultia biloba,shrub,perennial,,1,6,15,0.5,1,ovate,simple
Lechenaultia,expansa,Lechenaultia expansa,shrub,perennial,,0.6,5,10,0.5,1,linear,simple
Scaevola,calliptera,Scaevola calliptera,herb,perennial,,0.4,20,70,5,40,obovate,simple
Scaevola,striata,Scaevola striata,herb,perennial,,0.3,15,50,3,20,obovate,simple
Scaevola,crassifolia,Scaevola crassifolia,shrub,perennial,,1.5,15,80,10,43,obovate,simple
Scaevola,globulifera,Scaevola globulifera,shrub,perennial,,1.2,15,120,1.5,2.5,obovate,simple
Scaevola,nitida,Scaevola nitida,shrub,perennial,,3,20,95,7,40,elliptic,simple
Scaevola,anchusifolia,Scaevola anchusifolia,shrub,perennial,,1.4,25,90,2,18,elliptic,simple
Scaevola,glandulifera,Scaevola glandulifera,herb,perennial,,0.3,20,80,2,10,elliptic,simple
Scaevola,lanceolata,Scaevola lanceolata,herb,perennial,,0.5,60,200,1,10,ovate,simple
Scaevola,microphylla,Scaevola microphylla,shrub,perennial,,1,5,40,3,22,ovate,simple
Selliera,radicans,Selliera radicans,herb,perennial,,0.3,10,100,2,30,elliptic,simple
Velleia,macrophylla,Velleia macrophylla,herb,perennial,,2,50,150,10,55,elliptic,simple
Velleia,trinervis,Velleia trinervis,herb,perennial,,0.4,20,100,3,25,linear,simple
Gyrostemon,sheathii,Gyrostemon sheathii,shrub,perennial,,2,10,60,1,2,linear,simple
Glischrocaryon,aureum,Glischrocaryon aureum,herb,perennial,,1,10,60,1,15,linear,simple
Glischrocaryon,roei,Glischrocaryon roei,herb,perennial,,0.4,10,10,0.5,0.5,linear,simple
Gonocarpus,hexandrus,Gonocarpus hexandrus,shrub,perennial,,2,15,50,4,17,linear,simple
Gonocarpus,benthamii,Gonocarpus benthamii,herb,perennial,,0.7,7,17,7,15,ovate,simple
Gonocarpus,diffusus,Gonocarpus diffusus,herb,perennial,,0.4,4,10,3,8,ovate,simple
Gonocarpus,trichostachyus,Gonocarpus trichostachyus,herb,perennial,,0.25,7,10,2,7,ovate,simple
Gonocarpus,paniculatus,Gonocarpus paniculatus,herb,perennial,,0.7,20,50,1,1.5,linear,simple
Gonocarpus,pusillus,Gonocarpus pusillus,herb,annual,,0.3,7,8,1,1,linear,simple
Gonocarpus,simplex,Gonocarpus simplex,herb,perennial,,0.4,5,10,0.3,0.5,linear,simple
Haloragis,acutangula,Haloragis acutangula,herb,perennial,,0.3,10,30,2,4,linear,simple
Haloragis,brownii,Haloragis brownii,herb,perennial,,0.6,20,55,1.5,2,linear,simple
Haloragis,digyna,Haloragis digyna,herb,perennial,,0.4,10,25,1,1.5,linear,simple
Haloragis,tenuifolia,Haloragis tenuifolia,herb,perennial,,0.5,15,50,1,1.5,linear,simple
Haloragodendron,racemosum,Haloragodendron racemosum,tree,perennial,,4,60,90,6,8,ovate,simple
Meziella,trifida,Meziella trifida,herb,perennial,,,3.5,5,0.4,0.4,ovate,simple
Myriophyllum,crispatum,Myriophyllum crispatum,herb,perennial,,0.6,,,,,ovate,simple
Myriophyllum,salsugineum,Myriophyllum salsugineum,herb,perennial,,,,,,,ovate,simple
Myriophyllum,drummondii,Myriophyllum drummondii,herb,annual,,0.04,,,,,ovate,simple
Myriophyllum,echinatum,Myriophyllum echinatum,herb,annual,,,,,,,ovate,simple
Myriophyllum,limnophilum,Myriophyllum limnophilum,herb,annual,,0.04,,,,,ovate,simple
Hemiandra,australis,Hemiandra australis,shrub,perennial,,0.3,13,21,4.5,8,ovate,simple
Hemiandra,glabra,Hemiandra glabra,shrub,perennial,,1,7,25,1,5,ovate,simple
Hemiandra,pungens,Hemiandra pungens,shrub,perennial,,0.5,12,22,2,5,ovate,simple
Hemigenia,microphylla,Hemigenia microphylla,shrub,perennial,,1.3,5,14,1.5,3,ovate,simple
Hemigenia,rigida,Hemigenia rigida,shrub,perennial,,0.6,10,25,2,5,ovate,simple
Hemigenia,humilis,Hemigenia humilis,shrub,perennial,,1,15,25,3,5.5,ovate,simple
Hemigenia,incana,Hemigenia incana,shrub,perennial,,1.4,8,45,4,12,ovate,simple
Hemigenia,podalyrina,Hemigenia podalyrina,shrub,perennial,,2,7,25,4,25,ovate,simple
Hemigenia,sp. Albany,Hemigenia sp. Albany,shrub,perennial,,1.5,8,45,2,10,ovate,simple
Westringia,dampieri,Westringia dampieri,shrub,perennial,,1.3,8,40,1,3,ovate,simple
Cassytha,flava,Cassytha flava,vine,perennial,,,0.5,1,1,1,ovate,simple
Cassytha,glabella,Cassytha glabella,vine,perennial,,,0.5,0.5,0.5,0.5,ovate,simple
Cassytha,micrantha,Cassytha micrantha,vine,perennial,,,0.5,0.5,0.5,0.5,ovate,simple
Cassytha,pomiformis,Cassytha pomiformis,vine,perennial,,,1,1.5,1,1,ovate,simple
Cassytha,racemosa,Cassytha racemosa,vine,perennial,,,1.5,2,1,1,ovate,simple
Urticularia,australis,Urticularia australis,herb,perennial,,,15,40,2,5,ovate,simple
Urticularia,benthamii,Urticularia benthamii,herb,annual,,0.2,3,12,0.2,0.3,linear,simple
Urticularia,inaequalis,Urticularia inaequalis,herb,annual,,0.2,12,35,0.3,0.5,linear,simple
Urticularia,paulineae,Urticularia paulineae,herb,perennial,,0.2,10,10,1.4,1.4,linear,simple
Urticularia,simplex,Urticularia simplex,herb,perennial,,0.05,4,6,0.5,2.5,ovate,simple
Urticularia,violacea,Urticularia violacea,herb,annual,,0.01,3,10,0.5,0.5,linear,simple
Urticularia,volubilis,Urticularia volubilis,herb,perennial,,,10,100,1,1.5,ovate,simple
Urticularia,menziesii,Urticularia menziesii,herb,perennial,,0.07,2,4,2,3,ovate,simple
Urticularia,multifida,Urticularia multifida,herb,annual,,0.2,2,5,1,2,ovate,simple
Urticularia,tenella,Urticularia tenella,herb,annual,,0.1,2,5,0.5,1.5,ovate,simple
Linum,marginale,Linum marginale,herb,perennial,,1.2,8,32,1,2,ovate,simple
Grammatotheca,bergiana,Grammatotheca bergiana,herb,annual,,0.3,20,55,1,2,linear,simple
Isotoma,hypocrateriformis,Isotoma hypocrateriformis,herb,annual,,0.5,8,25,0.5,1,linear,simple
Isotoma,pusilla,Isotoma pusilla,herb,annual,,0.15,5,13,1,3,ovate,simple
Isotoma,scapigera,Isotoma scapigera,herb,annual,,0.2,5,30,2,13,ovate,simple
Lobelia,alata,Lobelia alata,herb,perennial,,0.5,10,80,1.5,15,linear,simple
Lobelia,gibbosa,Lobelia gibbosa,herb,annual,,0.5,15,30,0.5,1,linear,simple
Lobelia,heterophylla,Lobelia heterophylla,herb,annual,,0.4,15,60,1,10,linear,simple
Lobelia,rhombifolia,Lobelia rhombifolia,herb,annual,,0.4,8,27,3,10,ovate,simple
Lobelia,rhytidosperma,Lobelia rhytidosperma,herb,annual,,0.3,10,30,1,7,linear,simple
Lobelia,tenuior,Lobelia tenuior,herb,annual,,0.5,18,70,3,10,linear,simple
Logania,campanulata,Logania campanulata,herb,perennial,,0.6,12,38,1.5,6,ovate,simple
Logania,serpyllifolia,Logania serpyllifolia,shrub,perennial,,0.2,3,16,2,7,ovate,simple
Logania,tortuosa,Logania tortuosa,shrub,perennial,,0.4,1,1,1,1,triangular,simple
Logania,vaginalis,Logania vaginalis,shrub,perennial,,3.5,25,85,7,35,elliptic,simple
Mitreola,minima,Mitreola minima,herb,annual,,0.3,3,3,0.5,0.5,ovate,simple
Phyllangium,divergens,Phyllangium divergens,herb,annual,,0.2,4,10,1,3,ovate,simple
Phyllangium,paradoxum,Phyllangium paradoxum,herb,annual,,0.25,3,12,0.5,3.5,ovate,simple
Amyema,miquelii,Amyema miquelii,shrub,perennial,,,30,350,5,30,ovate,simple
Nuytsia,floribunda,Nuytsia floribunda,tree,perennial,,8,40,100,3,8,linear,simple
Alyogyne,huegelii,Alyogyne huegelii,shrub,perennial,,3,30,80,20,90,ovate,simple
Malva,australiana,Malva australiana,herb,annual,,2,25,60,40,100,ovate,simple
Sida,hookeriana,Sida hookeriana,herb,annual,,0.6,10,40,15,50,ovate,simple
Villarsia,albiflora,Villarsia albiflora,herb,perennial,,1.2,10,70,10,80,orbicular,simple
Villarsia,lasiosperma,Villarsia lasiosperma,herb,perennial,,1.5,25,95,15,60,elliptic,simple
Villarsia,submersa,Villarsia submersa,herb,perennial,,0.6,25,60,10,30,ovate,simple
Villarsia,capitata,Villarsia capitata,herb,perennial,,0.4,10,40,10,40,orbicular,simple
Villarsia,latifolia,Villarsia latifolia,herb,perennial,,1.5,50,70,40,50,ovate,simple
Villarsia,parnassifolia,Villarsia parnassifolia,herb,perennial,,0.75,10,50,7,40,ovate,simple
Villarsia,violifolia,Villarsia violifolia,herb,perennial,,0.15,5,20,5,25,orbicular,simple
Paraserianthes,lophantha,Paraserianthes lophantha,tree,perennial,,10,5,10,1.5,3,linear,compound
Macarthuria,apetala,Macarthuria apetala,shrub,perennial,,0.3,5,30,0.3,3,linear,simple
Myoporum,oppositifolium,Myoporum oppositifolium,shrub,perennial,,1.5,15,80,7,27,ovate,simple
Myoporum,tetrandrum,Myoporum tetrandrum,shrub,perennial,,3,25,90,5,25,ovate,simple
Actinodium,cunninghamii,Actinodium cunninghamii,shrub,perennial,,0.6,2.5,5,0.5,1.2,ovate,simple
Agonis,flexuosa,Agonis flexuosa,tree,perennial,,10,20,120,3.5,12,ovate,simple
Agonis,hypericifolia,Agonis hypericifolia,shrub,perennial,,2,6,20,4,8,ovate,simple
Agonis,conspicua,Agonis conspicua,shrub,perennial,,1.5,10,23,1.5,4,ovate,simple
Agonis,juniperina,Agonis juniperina,tree,perennial,,27,4,23,0.3,2,linear,simple
Agonis,linearifolia,Agonis linearifolia,tree,perennial,,5,7,45,0.5,5,ovate,simple
Agonis,marginata,Agonis marginata,shrub,perennial,,2,9,28,4,9,ovate,simple
Agonis,sp. Coarse agonis,Agonis sp. Coarse agonis,shrub,perennial,,2.4,7,14,0.8,2,ovate,simple
Agonis,parviceps,Agonis parviceps,shrub,perennial,,3,3,6.5,0.6,1.5,ovate,simple
Agonis,sp. Lake Jasper,Agonis sp. Lake Jasper,shrub,perennial,,2,6,14,2,6,ovate,simple
Astartea,sp. Big bracteoles,Astartea sp. Big bracteoles,shrub,perennial,,2,5,8,0.5,0.7,linear,simple
Astartea,sp. Brixton Rd,Astartea sp. Brixton Rd,shrub,perennial,,2,3,12,0.5,1,linear,simple
Astartea,sp. Scott River,Astartea sp. Scott River,shrub,perennial,,1.5,3,12,0.3,0.5,linear,simple
Astartea,sp. Gingalup,Astartea sp. Gingalup,shrub,perennial,,1.5,3,7,0.4,0.6,oblong,simple
Astartea,sp. Juniperina,Astartea sp. Juniperina,shrub,perennial,,2,,,,,ovate,simple
Astartea,sp. Long stalks,Astartea sp. Long stalks,shrub,perennial,,1,2,4,0.5,0.5,ovate,simple
Astartea,sp. Rivers,Astartea sp. Rivers,shrub,perennial,,1.5,10,15,0.5,0.7,linear,simple
Astartea,sp. Wingtips,Astartea sp. Wingtips,shrub,perennial,,3,3,8,0.4,0.6,linear,simple
Baeckea,arbuscula,Baeckea arbuscula,shrub,perennial,,0.5,1.5,5,0.3,0.5,ovate,simple
Baeckea,blackettii,Baeckea blackettii,shrub,perennial,,3,3,7,2,5,ovate,simple
Baeckea,camphorosmae,Baeckea camphorosmae,shrub,perennial,,1,2,7,0.2,1,ovate,simple
Baeckea,pygmaea,Baeckea pygmaea,shrub,perennial,,0.8,2,5,0.5,0.5,ovate,simple
Beaufortia,decussata,Beaufortia decussata,shrub,perennial,,3,5,10,3,7,ovate,simple
Beaufortia,sparsa,Beaufortia sparsa,shrub,perennial,,2,4.5,10,2,6,ovate,simple
Beaufortia,squarrosa,Beaufortia squarrosa,shrub,perennial,,3,3,9,2,5,ovate,simple
Callistemon,glaucus,Callistemon glaucus,tree,perennial,,3,35,150,5.5,18,ovate,simple
Calothamnus,lateralis,Calothamnus lateralis,shrub,perennial,,2.5,100,350,1,2,linear,simple
Calothamnus,pallidifolius,Calothamnus pallidifolius,shrub,perennial,,1,40,85,5,13,ovate,simple
Calothamnus,sp. Mount Lindesay,Calothamnus sp. Mount Lindesay,shrub,perennial,,1.5,30,60,0.5,1,linear,simple
Calothamnus,sp. Scott River,Calothamnus sp. Scott River,shrub,perennial,,2.5,50,170,1,1,linear,simple
Calothamnus,graniticus,Calothamnus graniticus,shrub,perennial,,2,40,70,1.5,1.5,linear,simple
Calothamnus,quadrifidus,Calothamnus quadrifidus,shrub,perennial,,3,9,30,0.3,1,linear,simple
Calothamnus,sanguineus,Calothamnus sanguineus,shrub,perennial,,1,6,35,0.3,1,linear,simple
Calothamnus,schaueri,Calothamnus schaueri,shrub,perennial,,0.3,100,300,0.5,1,linear,simple
Calytrix,acutifolia,Calytrix acutifolia,shrub,perennial,,2,3.5,15,0.3,1,linear,simple
Calytrix,asperula,Calytrix asperula,shrub,perennial,,0.7,2,6.5,0.5,1,linear,simple
Calytrix,flavescens,Calytrix flavescens,shrub,perennial,,0.8,4,9,0.5,1.5,linear,simple
Calytrix,leschenaultii,Calytrix leschenaultii,shrub,perennial,,1,1,4,0.5,1.5,ovate,simple
Calytrix,tenuiramea,Calytrix tenuiramea,shrub,perennial,,0.6,2,7,0.5,0.8,ovate,simple
Calytrix,tetragona,Calytrix tetragona,shrub,perennial,,0.6,2,8,0.5,1,ovate,simple
Chamelaucium,erythrochlorum ms,Chamelaucium erythrochlorum ms,shrub,perennial,,2,10,27,0.7,0.8,linear,simple
Chamelaucium,floriferum ms,Chamelaucium floriferum ms,shrub,perennial,,3,7,20,0.5,1,linear,simple
Chamelaucium,roycei ms,Chamelaucium roycei ms,shrub,perennial,,1.2,4,10,0.3,1,linear,simple
Conothamnus,neglectus,Conothamnus neglectus,shrub,perennial,,1,6,10,1.5,3,ovate,simple
Darwinia,citriodora,Darwinia citriodora,shrub,perennial,,3,4,21,2,7,ovate,simple
Darwinia,ferricola ms,Darwinia ferricola ms,shrub,perennial,,1,3.5,5,0.7,0.7,ovate,simple
Darwinia,oederoides,Darwinia oederoides,shrub,perennial,,0.3,1.5,3,0.5,0.7,ovate,simple
Darwinia,thymoides,Darwinia thymoides,shrub,perennial,,0.2,6,12,1,3.5,ovate,simple
Darwinia,sp. Williamson,Darwinia sp. Williamson,shrub,perennial,,0.7,3,4,0.5,0.5,ovate,simple
Darwinia,vestita,Darwinia vestita,shrub,perennial,,1,2,3.3,1,1.5,ovate,simple
Eremaea,pauciflora,Eremaea pauciflora,shrub,perennial,,2,3,8,0.5,1.5,ovate,simple
Homalospermum,firmum,Homalospermum firmum,tree,perennial,,8,9,23,1,4,linear,simple
Hypocalymma,angustifolium,Hypocalymma angustifolium,shrub,perennial,,1,15,35,1,1.5,ovate,simple
Hypocalymma,cordifolium,Hypocalymma cordifolium,shrub,perennial,,1.3,7,10,8,12,ovate,simple
Hypocalymma,ericifolium,Hypocalymma ericifolium,shrub,perennial,,1,4,10,0.7,1.5,ovate,simple
Hypocalymma,scariosum,Hypocalymma scariosum,shrub,perennial,,0.5,8,15,0.7,1,ovate,simple
Hypocalymma,sp. Scott River,Hypocalymma sp. Scott River,shrub,perennial,,0.5,3,7,3,7,ovate,simple
Hypocalymma,robustum,Hypocalymma robustum,shrub,perennial,,1.5,15,27,1.5,2.5,ovate,simple
Hypocalymma,strictum,Hypocalymma strictum,shrub,perennial,,0.7,5,30,0.4,0.8,ovate,simple
Kunzea,ciliata,Kunzea ciliata,shrub,perennial,,3.5,3,8,0.7,1.8,ovate,simple
Kunzea,micrantha,Kunzea micrantha,shrub,perennial,,2,1.5,8,0.5,3,ovate,simple
Kunzea,recurva,Kunzea recurva,shrub,perennial,,2,2.5,5,2.5,4,ovate,simple
Kunzea,rostrata,Kunzea rostrata,shrub,perennial,,3,2,4,1.5,2.5,ovate,simple
Kunzea,ericifolia,Kunzea ericifolia,shrub,perennial,,3,3,11,0.5,1.5,ovate,simple
Kunzea,glabrescens,Kunzea glabrescens,shrub,perennial,,4,5,10,0.5,1.5,ovate,simple
Kunzea,spathulata,Kunzea spathulata,shrub,perennial,,4.5,4,7,0.4,1,ovate,simple
Kunzea,sulphurea,Kunzea sulphurea,shrub,perennial,,6,2.5,3.5,1,2.5,ovate,simple
Leptospermum,erubescens,Leptospermum erubescens,shrub,perennial,,3,2,10,1.5,4,ovate,simple
Melaleuca,basicephala,Melaleuca basicephala,shrub,perennial,,1,6,12,1.5,2.5,ovate,simple
Melaleuca,lateritia,Melaleuca lateritia,shrub,perennial,,2,10,20,1,2,elliptic,simple
Melaleuca,scabra,Melaleuca scabra,shrub,perennial,,1.5,10,23,0.5,0.8,linear,simple
Melaleuca,spathulata,Melaleuca spathulata,shrub,perennial,,2,4,11,1,2,elliptic,simple
Melaleuca,cuticularis,Melaleuca cuticularis,shrub,perennial,,7,5,12,1.5,3,elliptic,simple
Melaleuca,densa,Melaleuca densa,shrub,perennial,,2,2,10,1,7.5,elliptic,simple
Melaleuca,pauciflora,Melaleuca pauciflora,shrub,perennial,,1.5,3,9,1,2,elliptic,simple
Melaleuca,croxfordiae,Melaleuca croxfordiae,shrub,perennial,,10,25,40,2,8,linear,simple
Melaleuca,incana,Melaleuca incana,shrub,perennial,,4,5,25,1,3.5,elliptic,simple
Melaleuca,lateriflora,Melaleuca lateriflora,shrub,perennial,,8,10,30,1,3,elliptic,simple
Melaleuca,thymoides,Melaleuca thymoides,shrub,perennial,,1.5,3.5,12,1.5,2.5,elliptic,simple
Melaleuca,diosmifolia,Melaleuca diosmifolia,shrub,perennial,,3,7,12,2,5,elliptic,simple
Melaleuca,huegelii,Melaleuca huegelii,shrub,perennial,,5,2,6,1.5,5,elliptic,simple
Melaleuca,lanceolata,Melaleuca lanceolata,shrub,perennial,,5,4.5,12,1,2,elliptic,simple
Melaleuca,preissiana,Melaleuca preissiana,shrub,perennial,,10,8,14,1,2,linear,simple
Melaleuca,ringens,Melaleuca ringens,shrub,perennial,,3,4.5,6.6,1.8,3,elliptic,simple
Melaleuca,viminea,Melaleuca viminea,shrub,perennial,,3,5,23,1,2,elliptic,simple
Melaleuca,microphylla,Melaleuca microphylla,shrub,perennial,,5,2,5,0.3,0.5,elliptic,simple
Melaleuca,rhaphiophylla,Melaleuca rhaphiophylla,shrub,perennial,,10,40,1,0.7,1,elliptic,simple
Melaleuca,systena ms,Melaleuca systena ms,shrub,perennial,,1.5,4,25,0.3,0.8,elliptic,simple
Melaleuca,teretifolia,Melaleuca teretifolia,shrub,perennial,,5,30,80,1,2,linear,simple
Melaleuca,uncinata,Melaleuca uncinata,shrub,perennial,,5,12,85,1,1,linear,simple
Pericalymma,crassipes,Pericalymma crassipes,shrub,perennial,,0.45,3,4.5,0.5,1.5,elliptic,simple
Pericalymma,ellipticum,Pericalymma ellipticum,shrub,perennial,,3,3.5,11,0.5,4.5,elliptic,simple
Pericalymma,megaphyllum,Pericalymma megaphyllum,shrub,perennial,,0.35,4,12,2,5,elliptic,simple
Pericalymma,spongiocaule,Pericalymma spongiocaule,shrub,perennial,,1.5,2,7,0.5,2.5,elliptic,simple
Regelia,ciliata,Regelia ciliata,shrub,perennial,,2,2,10,2,7,elliptic,simple
Rinzia,schollerifolia,Rinzia schollerifolia,shrub,perennial,,0.3,3,10,1,2.5,elliptic,simple
Thryptomene,saxicola,Thryptomene saxicola,shrub,perennial,,2,3,6,0.7,2.5,elliptic,simple
Verticordia,acerosa,Verticordia acerosa,shrub,perennial,,1,10,20,0.5,0.7,elliptic,simple
Verticordia,attenuata,Verticordia attenuata,shrub,perennial,,1,2,3,0.7,2,elliptic,simple
Verticordia,fimbrilepis,Verticordia fimbrilepis,shrub,perennial,,0.4,3,18,0.4,0.8,elliptic,simple
Verticordia,habrantha,Verticordia habrantha,shrub,perennial,,0.7,2,12,1,1.5,elliptic,simple
Verticordia,lehmannii,Verticordia lehmannii,shrub,perennial,,0.7,3,12,1,1.5,elliptic,simple
Verticordia,densiflora,Verticordia densiflora,shrub,perennial,,2,3,10,1,2.5,elliptic,simple
Verticordia,plumosa,Verticordia plumosa,shrub,perennial,,1.5,5,15,0.3,0.5,elliptic,simple
Olax,benthamiana,Olax benthamiana,shrub,perennial,,2,2,20,2,4,elliptic,simple
Olax,phyllanthi,Olax phyllanthi,shrub,perennial,,1.5,5,20,4,11,elliptic,simple
Epilobium,billardierianum,Epilobium  billardierianum,herb,perennial,,1,5,40,4,12,elliptic,simple
Epilobium,hirtigerum,Epilobium  hirtigerum,herb,perennial,,1.5,15,70,2,7,elliptic,simple
Oxalis,perennans,Oxalis perennans,herb,perennial,,0.2,8,25,9,28,elliptic,compound
Aotus,carinata,Aotus carinata,shrub,perennial,,1.5,7,14,1.5,3.5,elliptic,simple
Aotus,cordifolia,Aotus cordifolia,shrub,perennial,,1.5,5,15,3,9,elliptic,simple
Aotus,passerinoides,Aotus passerinoides,shrub,perennial,,2,7,15,3,4,elliptic,simple
Aotus,sp. Scott River,Aotus sp. Scott River,shrub,perennial,,0.3,5,12,1,2.5,elliptic,simple
Aotus,gracillima,Aotus gracillima,shrub,perennial,,3,3,10,0.5,0.5,elliptic,simple
Aotus,intermedia,Aotus intermedia,shrub,perennial,,2,4,15,0.5,1,elliptic,simple
Bossiaea,aquifolium,Bossiaea aquifolium,shrub,perennial,,8,5,16,7,20,elliptic,simple
Bossiaea,webbii,Bossiaea webbii,shrub,perennial,,4,5,20,1,7,elliptic,simple
Bossiaea,disticha,Bossiaea disticha,shrub,perennial,,1,5,20,1,7,elliptic,simple
Bossiaea,eriocarpa,Bossiaea eriocarpa,shrub,perennial,,1,6,30,1,4,elliptic,simple
Bossiaea,linophylla,Bossiaea linophylla,shrub,perennial,,6,9,30,0.5,2,elliptic,simple
Bossiaea,ornata,Bossiaea ornata,shrub,perennial,,2,18,60,7,32,elliptic,simple
Bossiaea,pulchella,Bossiaea pulchella,shrub,perennial,,1.5,3,9,3,6,elliptic,simple
Bossiaea,praetermissa,Bossiaea praetermissa,shrub,perennial,,1,6,18,3.5,12,elliptic,simple
Bossiaea,rufa,Bossiaea rufa,shrub,perennial,,2.5,7,30,2,10,elliptic,simple
Brachysema,celsianum,Brachysema celsianum,shrub,perennial,,1.2,20,80,7,30,elliptic,simple
Brachysema,papilio,Brachysema papilio,shrub,perennial,,1.5,5,15,10,30,elliptic,simple
Brachysema,praemorsum,Brachysema praemorsum,shrub,perennial,,1.5,10,45,8,50,elliptic,simple
Brachysema,melanopetalum,Brachysema melanopetalum,shrub,perennial,,3,20,65,8,30,elliptic,simple
Brachysema,minor,Brachysema minor,shrub,perennial,,0.3,15,70,13,50,elliptic,simple
Brachysema,modestum,Brachysema modestum,shrub,perennial,,0.5,25,75,20,40,elliptic,simple
