genus,species,binomial,growth form,longevity,min height (m),max height (m),min leaf length (mm),max leaf length (mm),min leaf width (mm),max leaf width (mm),leaf shape,leaf type
Craspedia,variabilis,Craspedia variabilis,herb,perennial,,0.5,80,250,8,30,obovate,simple
Euchiton,collinus,Euchiton collinus,herb,perennial,,0.3,25,180,3,10,elliptic,simple
Euchiton,sphaericus,Euchiton sphaericus,herb,annual,,0.7,10,80,3,14,elliptic,simple
Gnaphalium,indutum,Gnaphalium indutum,herb,annual,,0.8,5,15,0.5,1.5,oblong,simple
Gnephosis,drummondii,Gnephosis drummondii,herb,annual,,0.05,2,11,0.4,1,obovate,simple
Gnephosis,tenuissima,Gnephosis tenuissima,herb,annual,,0.15,2,12,0.5,4,elliptic,simple
Helichrysum,macranthum,Helichrysum macranthum,herb,perennial,,2,35,150,5,30,obovate,simple
hyalosperma,cotula,hyalosperma cotula,herb,annual,,0.25,5,15,0.3,1,linear,simple
hyalosperma,laxus,hyalosperma laxus,herb,annual,,0.2,4,25,0.4,1,linear,simple
hyalosperma,simplex,hyalosperma simplex,herb,annual,,0.15,7,15,0.4,1.5,linear,simple
Ixiolaena,viscosa,Ixiolaena viscosa,herb,annual,,0.6,20,65,10,30,ovate,simple
Lagenophora,huegelii,Lagenophora huegelii,herb,perennial,,0.3,40,145,12,30,obovate,simple
Leptinella,drummondii,Leptinella drummondii,herb,perennial,,0.15,20,60,10,15,,simple
Leptorynchos,scaber,Leptorynchos scaber,herb,annual,,0.4,10,80,1,8,linear,simple
Leucophyta,brownii,Leucophyta brownii,shrub,perennial,,1,2,15,0.8,1.5,linear,simple
Millotia,myosotidifolia,Millotia myosotidifolia,herb,annual,,0.2,5,60,1,8,linear,simple
Millotia,tenuifolia,Millotia tenuifolia,herb,annual,,0.15,5,25,1,5,ovate,simple
Myriocephalus,helichrysoides,Myriocephalus helichrysoides,herb,annual,,0.3,20,70,0.5,3,linear,simple
Olearia,axillaris,Olearia  axillaris,shrub,perennial,,2,12,20,2,4,obovate,simple
Olearia,cassiniae,Olearia  cassiniae,shrub,perennial,,1.4,3,15,0.5,0.5,linear,simple
Olearia,dampieri,Olearia  dampieri,shrub,perennial,,1.5,5,15,0.5,1,linear,simple
Olearia,ciliata,Olearia  ciliata,shrub,perennial,,0.5,10,30,1,2,linear,simple
Olearia,elaeophila,Olearia  elaeophila,shrub,perennial,,1,3,30,0.5,2,linear,simple
Olearia,paucidentata,Olearia  paucidentata,shrub,perennial,,1.5,3,25,0.3,10,obovate,simple
Olearia,rudis,Olearia  rudis,shrub,perennial,,2.5,40,130,10,30,obovate,simple
Olearia,strigosa,Olearia  strigosa,shrub,perennial,,1.5,2.5,18,1,2.5,oblong,simple
Ozothamnus,cordatus,Ozothamnus cordatus,shrub,perennial,,1,20,70,15,20,ovate,simple
Ozothamnus,ramosus,Ozothamnus ramosus,shrub,perennial,,1,20,45,1.5,9,elliptic,simple
Picris,angustifolia,Picris angustifolia,herb,perennial,,1,35,300,3,30,ovate,simple
Picris,squarrosa,Picris squarrosa,herb,perennial,,1.2,100,450,10,40,obovate,simple
Pithocarpa,pulchella,Pithocarpa pulchella,herb,perennial,,0.7,10,30,0.5,3,elliptic,simple
Podolepis,gracilis,Podolepis gracilis,herb,annual,,0.5,100,100,20,20,oblong,simple
Podolepis,lessonii,Podolepis lessonii,herb,annual,,0.4,70,70,15,15,ovate,simple
Podolepis,rugata,Podolepis rugata,herb,annual,,0.6,100,100,3,15,obovate,simple
Podotheca,angustifolia,Podotheca angustifolia,herb,annual,,0.3,6,90,1,7,obovate,simple
Podotheca,chrysantha,Podotheca chrysantha,herb,annual,,0.5,5,100,1,6.5,linear,simple
Pogonolepis,stricta,Pogonolepis stricta,herb,annual,,0.25,4,23,0.5,1.5,obovate,simple
Quinetia,urvillei,Quinetia urvillei,herb,annual,,0.2,7,20,1,5,obovate,simple
Rhodanthe,citrina,Rhodanthe citrina,herb,annual,,0.4,10,70,1,5,oblong,simple
Rhodanthe,corymbosa,Rhodanthe corymbosa,herb,annual,,0.6,10,50,0.5,3,oblong,simple
Rhodanthe,pyrethrum,Rhodanthe pyrethrum,herb,annual,,0.2,2,12,0.5,2,ovate,simple
Senecio,lautus,Senecio lautus,herb,perennial,,0.8,10,100,0.1,30,elliptic,simple
Senecio,glomeratus,Senecio glomeratus,herb,perennial,,1.5,40,100,5,35,ovate,simple
Senecio,hispidulus,Senecio hispidulus,herb,perennial,,1,30,110,3,30,ovate,simple
Senecio,minimus,Senecio minimus,herb,perennial,,2,50,120,10,30,ovate,simple
Senecio,quadridentatus,Senecio quadridentatus,herb,perennial,,0.7,15,200,2,14,elliptic,simple
Senecio,ramosissimus,Senecio ramosissimus,herb,perennial,,2.5,40,170,5,55,elliptic,simple
Siloxerus,filifolius,Siloxerus filifolius,herb,annual,,0.05,5,17,1,1,ovate,simple
Siloxerus,humifusus,Siloxerus humifusus,herb,annual,,0.1,10,30,1,1.5,ovate,simple
Trichocline,spathulata,Trichocline spathulata,herb,perennial,,1,50,80,3,20,elliptic,simple
Waitzia,suaveolens,Waitzia suaveolens,herb,annual,,0.4,8,80,1,6,obovate,simple
Myosotis,australis,Myosotis australis,herb,annual,,0.3,25,100,4,15,obovate,simple
Cardamine,paucijuga,Cardamine paucijuga,herb,annual,,0.4,,,,,,simple
Lepidium,foliosum,Lepidium foliosum,herb,perennial,,0.9,40,40,3,10,obovate,simple
Lepidium,pseudotasmanicum,Lepidium pseudotasmanicum,herb,annual,,0.75,30,30,,,linear,simple
