family,species,growth form,mycorrhizal status,ref. no.,notes
Aizoaceae,Carpobrotus glaucescens,,VAM,2,
Aizoaceae,Carpobrotus modestus,,nil,3,
Amaranthaceae,Achyranthes aspera,,nil,4,
Amaranthaceae,Amaranthus viridis,,nil,4,
Amaranthaceae,Ptilotus polystachus,,nil,5,
Anthericaceae,Caesia parviflora,,nil,5,
Anthericaceae,Burchardia umbellata,,VAM,5,
Anthericaceae,Sowerbea laxiflora,,nil,5,
Anthericaceae,Thysanotus manglesianus,,subepidermal M,5,
Anthericaceae,Agrostocrinum scabrum,herb,VAM,6,
Anthericaceae,Chamaescilla corymbosa,herb,VAM,6,
Anthericaceae,Thysanotus dichotomus,herb,subepidermal,6,
Anthericaceae,Thysanotus multiflorus,herb,subepidermal,6,
Apiaceae,Actinotis helianthi,,VAM,"1,2",
Apiaceae,Daucus glochidiatus,,VAM,3,
Apiaceae,Eryngium rostratum,herb,VAM,6,
Apiaceae,Hydrocotyle pilifera,,VAM,3,
Apiaceae,Platysace ericoides,,V,2,
Apiaceae,Platysace heterophylla,,ECM,7,
Apiaceae,Platysace linearifolia,,ECM,1,
Apiaceae,Trachymene incisa,,V,2,
Apiaceae,Trachymene pilosa,annual,VAM,"5,6",
Apiaceae,Trachymene pusillus,,VAM,3,
Apiaceae,Trachymene sp.,,VAM,4,
Apiaceae,Xanthosia candida,herb,VAM,6,
Asphodelaceae,Bulbine semibarbata,,VAM,3,
Asphodelaceae,Laxmannia sessilifoilia,,VAM,3,
Asphodelaceae,Thysanotus junctifolius,,(ECM)/VAM,3,
Asphodelaceae,Thysanotus patersonii,,(ECM)/VAM,3,
Asphodelaceae,Tricoryne elatior,,VAM,3,
Asteraceae,Actinobole uliginosum,,VAM,3,
Asteraceae,Argemone ochroleuca,,nil,4,
Asteraceae,Arctotheca calendula,,VAM,3,
Asteraceae,Bidens pilosa,,VAM,4,
Asteraceae,Blenospora drummondii,,VAM,3,
Asteraceae,Brachycome ciliaris,,VAM,3,
Asteraceae,Brachycome liniariloba,,VAM,3,
Asteraceae,Brachycome perpusilla,,VAM,3,
Asteraceae,Calyptocarpus vialis,,nil,4,
Asteraceae,Gnaphalium involucratum,,VAM,3,
Asteraceae,Gnaphalium luteo-album,,VAM,4,
Asteraceae,Conyza bonariensis,,nil,4,
Asteraceae,Conyza canadiensis,,V,2,
Asteraceae,Coltula turbinata,,nil,5,
