Species,Plant Family,Taxa,Region,Site,Ind,Aarea (umol CO2 m-2 s-1) saturate,Leaf P (mg g-1),Leaf Ca (mg g-1),Leaf Al (mg g-1)
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,1,,0.851,19.1,0.107
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,2,,0.674,23.6,0.0793
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,3,,1.53,19.9,0.0841
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,21.70169492,,,
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,15.855,,,
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,15.90181818,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,4,,1.11,11,0.0194
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,5,,1.12,8.31,0.0269
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,6,,1.66,16.6,0.0322
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,15.77915493,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,14.28214286,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,19.58275862,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,16.60434783,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,6.523580034,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,16.7338403,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,8.079558011,,,
M. insulare,Scrophulariaceae,Asterids,"WA, Australia",Quindalup Young,-,18.17647059,,,
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,7,,3.19,12.2,0.0672
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,8,,1.22,10.5,0.143
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,9,,0.871,7.91,0.0857
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,18.56888889,,,
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,11.35636364,,,
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,13.41741176,,,
O. axillaris,Asteraceae,Asterids,"WA, Australia",Quindalup Young,-,11.3295,,,
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,10,,1.28,28.3,0.0391
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,11,,1.32,37.2,0.0422
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,12,,0.946,27.9,0.0379
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,12.47054795,,,
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,12.95157895,,,
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,18.61883408,,,
T. retusa,Fabaceae,Rosids I,"WA, Australia",Quindalup Young,-,10.56943231,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,13,,0.409,16.4,0.0172
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,14,,0.335,20.1,0.0266
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,15,,0.398,21.1,0.0215
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,13.29017341,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,19.10789474,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,14.18918919,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Quindalup Old,-,11.54571429,,,
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,16,,0.782,20,0.0368
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,17,,0.787,20.1,0.0668
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,18,,0.647,34.4,0.0544
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,19.88957055,,,
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,16.58695652,,,
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,18.98007968,,,
S. globulosum,Rhamnaceae,Rosids I,"WA, Australia",Quindalup Old,-,15.91411043,,,
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,19,,0.562,28.8,0.0269
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,20,,0.664,46.5,0.0891
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,21,,0.627,27.4,0.0349
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,15.77257525,,,
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,23.56739812,,,
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,21.38414634,,,
A. rostellifera,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,34.8,,,
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,22,,0.511,30.7,0.0276
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,23,,0.425,25,0.0196
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,24,,0.893,50,0.0323
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,21.13567839,,,
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,12.69189189,,,
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,9.169,,,
A. littorea,Solanaceae,Asterids,"WA, Australia",Spearwood West,-,17.85,,,
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,25,,0.47,10.6,0.0253
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,26,,0.434,12.9,0.0265
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,27,,0.475,8.22,0.0134
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,10.15672131,,,
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,23.6641791,,,
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,16.125,,,
L. cassioides,Fabaceae,Rosids I,"WA, Australia",Spearwood West,-,9.506842105,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,28,,0.314,11,0.0265
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,29,,0.356,18,0.0512
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,30,,0.415,14.2,0.0703
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,15.31067961,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,33.79830508,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,27.37741935,,,
M. systena,Myrtaceae,Rosids II,"WA, Australia",Spearwood West,-,18.91411765,,,
