Site,Vegetation,latitude (deg),longitude (deg),total P (mg/kg),resin P (mg/mg),Ca (mg/kg),Al (mg/kg),CEC (cmol/kg),pH (H2O),geological formation,parent aterial
Quindalup Young,Kwongan,-30.407139,115.081852,350,1.42,4617,0,24.9,9.3,Safety Bay Sand,Calcareous sand
Quindalup Old,Kwongan,-30.1911676,115.0593393,286,1.22,2332,1.2,12.6,8.6,Safety Bay Sand,Calcareous sand
Spearwood West,Kwongan,-30.1920924,115.0630152,22,1.07,738,0.9,4.3,6.6,Tamala Limestone,Calcareous sand
