site_name,trait_name,unit,value,notes
Acacia Creek,longitude,deg,142.071,
Acacia Creek,latitude,deg,-31.817,
Acacia Creek,soil P,ppm,330,
Acacia Creek,soil N,ppm,0.06,
Acacia Creek,vegetation type,,1,
Acacia Creek,geology,,Qd,
Balranald,longitude,deg,143.596,
Balranald,latitude,deg,-34.356,
Balranald,soil P,ppm,242,
Balranald,soil N,ppm,0.06,
Balranald,vegetation type,,1,
Balranald,geology,,Qa,
Bola Creek,longitude,deg,151.032,
Bola Creek,latitude,deg,-34.15,
Bola Creek,soil P,ppm,650,
Bola Creek,soil N,ppm,NA,
Bola Creek,vegetation type,,7,
Bola Creek,geology,,Rh,
Brummagen Creek,longitude,deg,148.363,
Brummagen Creek,latitude,deg,-32.239,
Brummagen Creek,soil P,ppm,431,
Brummagen Creek,soil N,ppm,0.08,
Brummagen Creek,vegetation type,,3,
Brummagen Creek,geology,,Qa,
Burbie,longitude,deg,148.979,
Burbie,latitude,deg,-31.291,
Burbie,soil P,ppm,316,
Burbie,soil N,ppm,0.2,
Burbie,vegetation type,,3,
Burbie,geology,,Tb,
Cedar Brush,longitude,deg,150.686,
Cedar Brush,latitude,deg,-31.851,
Cedar Brush,soil P,ppm,2063,
Cedar Brush,soil N,ppm,0.45,
Cedar Brush,vegetation type,,7,
Cedar Brush,geology,,Tl,
Cobar,longitude,deg,145.798,
Cobar,latitude,deg,-31.51,
Cobar,soil P,ppm,407,
Cobar,soil N,ppm,0.06,
Cobar,vegetation type,,2,
Cobar,geology,,Slc,
Coffs Harbour,longitude,deg,152.972,
Coffs Harbour,latitude,deg,-30.321,
Coffs Harbour,soil P,ppm,249,
Coffs Harbour,soil N,ppm,0.39,
Coffs Harbour,vegetation type,,6,
Coffs Harbour,geology,,Db,
Copeland,longitude,deg,151.816,
Copeland,latitude,deg,-31.982,
Copeland,soil P,ppm,753,
Copeland,soil N,ppm,NA,
Copeland,vegetation type,,5,
Copeland,geology,,Do,
Copper Mine,longitude,deg,142.585,
