trait_name,lookup,value
plant_growth_form,V,climber
plant_growth_form,EP,parasite
plant_growth_form,F,fern
plant_growth_form,G,graminoid
plant_growth_form,H,herb
plant_growth_form,S,shrub
plant_growth_form,T,tree
vegetation type,1,shrubland
vegetation type,2,tall shrubland
vegetation type,3,woodland
vegetation type,4,heathland
vegetation type,5,dry sclerophyll forest
vegetation type,6,wet sclerophyll forest
vegetation type,7,rainforest
vegetation type,8,mallee
vegetation type,9,cypress pine
