"site_name","trait_name","unit","value"
"Balranald","soil P","ppm","242"
"Bola Creek","soil P","ppm","650"
"Burbie","soil P","ppm","316"
"Cox's Gap","soil P","ppm","247"
"Danu","soil P","ppm","179"
"Honeysuckle","soil P","ppm","246"
"Kuringai-Chase NP","soil P","ppm","95"
"Mt Keira","soil P","ppm","725"
"Mungo NP 1","soil P","ppm","365"
"Rosewood","soil P","ppm","196"
"Weddin Mountains","soil P","ppm","99"
"Yathong","soil P","ppm","54"
"Cedar Brush","soil P","ppm","2063"
"Mungo NP 4","soil P","ppm","111"
"Mungo NP 3","soil P","ppm","216"
"Dolo Hills","soil P","ppm","253"
"Little Topar","soil P","ppm","173"
"Acacia Creek","soil P","ppm","330"
"Netallie Hill","soil P","ppm","259"
"Purnawilla","soil P","ppm","269"
"Hermidale","soil P","ppm","454"
"Cumberland","soil P","ppm","216"
"Cobar","soil P","ppm","407"
"Nyngan","soil P","ppm","488"
"Kalyanka Creek","soil P","ppm","212"
"Trangie","soil P","ppm","408"
"Emmdale","soil P","ppm","123"
"Brummagen Creek","soil P","ppm","431"
"Kayrunnera","soil P","ppm","185"
"Copper Mine","soil P","ppm","276"
"West Copper Mine","soil P","ppm","275"
"South White Cliffs","soil P","ppm","234"
"White Cliffs","soil P","ppm","382"
"Matakana","soil P","ppm","142"
"Narriah Mountain","soil P","ppm","401"
"Lake Mere","soil P","ppm","228"
"Tundalya","soil P","ppm","407"
"Myall Lakes","soil P","ppm","22"
"Copeland","soil P","ppm","753"
"Strickland","soil P","ppm","278"
"Macquarie Pass","soil P","ppm","754"
"Ourimbah","soil P","ppm","40"
"Coffs Harbour","soil P","ppm","249"
"Nambucca Heads","soil P","ppm","152"
"Stuart Point","soil P","ppm","24"
"Morton NP","soil P","ppm","42"
"Hamilton's House","soil P","ppm","172"
"Balranald","soil N","ppm","0.06"
"Bola Creek","soil N","ppm",NA
"Burbie","soil N","ppm","0.2"
"Cox's Gap","soil N","ppm","0.15"
"Danu","soil N","ppm","0.32"
"Honeysuckle","soil N","ppm","0.32"
"Kuringai-Chase NP","soil N","ppm","0.15"
"Mt Keira","soil N","ppm","0.37"
"Mungo NP 1","soil N","ppm","0.07"
"Rosewood","soil N","ppm","0.1"
"Weddin Mountains","soil N","ppm","0.12"
"Yathong","soil N","ppm","0.02"
"Cedar Brush","soil N","ppm","0.45"
"Mungo NP 4","soil N","ppm","0.04"
"Mungo NP 3","soil N","ppm","0.08"
"Dolo Hills","soil N","ppm","0.05"
"Little Topar","soil N","ppm","0.05"
"Acacia Creek","soil N","ppm","0.06"
"Netallie Hill","soil N","ppm","0.06"
"Purnawilla","soil N","ppm","0.05"
"Hermidale","soil N","ppm","0.09"
"Cumberland","soil N","ppm",NA
"Cobar","soil N","ppm","0.06"
"Nyngan","soil N","ppm","0.06"
"Kalyanka Creek","soil N","ppm","0.03"
"Trangie","soil N","ppm","0.14"
"Emmdale","soil N","ppm","0.04"
"Brummagen Creek","soil N","ppm","0.08"
"Kayrunnera","soil N","ppm","0.03"
"Copper Mine","soil N","ppm","0.08"
"West Copper Mine","soil N","ppm","0.07"
"South White Cliffs","soil N","ppm","0.08"
"White Cliffs","soil N","ppm","0.05"
"Matakana","soil N","ppm","0.06"
"Narriah Mountain","soil N","ppm","0.12"
"Lake Mere","soil N","ppm","0.06"
"Tundalya","soil N","ppm","0.07"
"Myall Lakes","soil N","ppm","0.07"
"Copeland","soil N","ppm",NA
"Strickland","soil N","ppm",NA
"Macquarie Pass","soil N","ppm","0.46"
"Ourimbah","soil N","ppm","0.05"
"Coffs Harbour","soil N","ppm","0.39"
"Nambucca Heads","soil N","ppm","0.22"
"Stuart Point","soil N","ppm","0.21"
"Morton NP","soil N","ppm","0.04"
"Hamilton's House","soil N","ppm","0.03"
"Balranald","vegetation type","","1"
"Bola Creek","vegetation type","","7"
"Burbie","vegetation type","","3"
"Cox's Gap","vegetation type","","3"
"Danu","vegetation type","","3"
"Honeysuckle","vegetation type","","5"
"Kuringai-Chase NP","vegetation type","","4"
"Mt Keira","vegetation type","","7"
"Mungo NP 1","vegetation type","","1"
"Rosewood","vegetation type","","3"
"Weddin Mountains","vegetation type","","9"
"Yathong","vegetation type","","8"
"Cedar Brush","vegetation type","","7"
"Mungo NP 4","vegetation type","","8"
"Mungo NP 3","vegetation type","","9"
"Dolo Hills","vegetation type","","2"
"Little Topar","vegetation type","","1"
"Acacia Creek","vegetation type","","1"
"Netallie Hill","vegetation type","","1"
"Purnawilla","vegetation type","","1"
"Hermidale","vegetation type","","3"
