sample_date,spp,age,Rep,date,context,WD kg/m3,leaf_area_mm2,SLAmm2mg,C%,N%,P%,notes,leaf_mass_mg,LM/SM80,LMF80,duplicate,d13C_bark,C%_bark,d15N_bark,N%_bark,d13C_wood,C%_wood,d15N_wood,N%_wood,Al,B,calcium,Cu,Fe,K,Mg,Mn,Na,S,Zn,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,DBH,CBH,SLA_photosynthesis_mm2mg,Amass,date_WD,Bark thickness (mm),Bark area (cm2),Pith diam (mm),N(%)_leaf,LMA_leaf_isotope_gm2,gas_d15N_leaf,gas_ d13C_leaf,Species
2010-09,EryChl,sapling,10,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,2072,10.2,51.75,2,0.05163,leaflets,202.3333333,2.0356,0.6706,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
2010-09,EryChl,sapling,44,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,2920,10,50.69,1.796,0.05315,leaflets,292.6666667,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
2010-09,EucMin,adult,31,dry season (Sep 2010),dry_season_measurement_on_adult,NA,4594,5.4,49.28,0.7563,0.04645,NA,849.6666667,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus miniata
2010-09,EucMin,sapling,60,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,5151,6.4,47.53,0.7361,0.04313,NA,809,2.0663,0.6739,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus miniata
2010-09,EucTet,adult,61,dry season (Sep 2010),dry_season_measurement_on_adult,NA,4683,6.4,49.5,0.8802,0.05684,NA,734.3333333,2.3305,0.6997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta
2010-09,EucTet,adult,60,dry season (Sep 2010),dry_season_measurement_on_adult,NA,4809,4.7,48.48,0.8845,0.04725,NA,1018,0.4847,0.3265,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta
2010-09,EucTet,sapling,13,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,6023,5.8,47.66,0.7483,0.03458,NA,1038,1.471,0.5953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta
2010-09,GreDec,adult,40,dry season (Sep 2010),dry_season_measurement_on_adult,NA,1251,14.8,49.28,1.027,0.07287,lflt (lobed),84.66666667,0.9802,0.495,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea decurrens
2010-09,GreDec,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,NA,1317,11.4,52.06,1.049,0.05925,lflt (lobed),115.6666667,0.594,0.3727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea decurrens
2010-09,GreDec,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,1281,12.5,49.07,1.28,0.0624,lflt (lobed),102.3333333,1.8395,0.6478,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea decurrens
2010-09,GrePte,sapling,1,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,1224,6.4,44.12,0.7648,0.05511,leaflet,190,3.5718,0.7813,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea pteridifolia
2010-09,GrePte,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,1585,5.8,30.01,0.6114,0.05957,leaflet,271,5.1149,0.8365,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea pteridifolia
2010-09,LopLac,adult,20,dry season (Sep 2010),dry_season_measurement_on_adult,NA,4536,5.6,33.93,0.852,0.03602,NA,806.3333333,0.6474,0.393,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lophostemon lactifluus
2010-09,LopLac,adult,33,dry season (Sep 2010),dry_season_measurement_on_adult,NA,6253,6.7,41.99,0.6133,0.03692,NA,938.3333333,0.7835,0.4393,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lophostemon lactifluus
2010-09,LopLac,sapling,2,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,4634,5.6,42.55,0.6933,0.03474,NA,832.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lophostemon lactifluus
2010-09,LopLac,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,4051,6.4,43.41,0.6385,0.03228,NA,629.3333333,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lophostemon lactifluus
2010-09,LopLac,sapling,4,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,4317,6.1,52.52,0.9106,0.03676,NA,703.3333333,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lophostemon lactifluus
2010-09,PerFal,adult,40,dry season (Sep 2010),dry_season_measurement_on_adult,NA,2133,7.3,48.81,0.8752,0.05892,NA,292,0.8049,0.446,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Persoonia falcata
2010-09,PerFal,adult,20,dry season (Sep 2010),dry_season_measurement_on_adult,NA,3011,6.8,35.98,0.5609,0.04929,NA,441,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Persoonia falcata
2010-09,PerFal,adult,21,dry season (Sep 2010),dry_season_measurement_on_adult,NA,3975,6.9,39.55,1.11,0.0475,NA,579,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Persoonia falcata
2010-09,PerFal,sapling,43,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,3434,6.1,60.94,1.595,0.05158,NA,565.6666667,0.7479,0.4279,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Persoonia falcata
2010-09,PerFal,sapling,10,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,4154,6.1,44.4,0.9099,0.05265,NA,684,1.2064,0.5468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Persoonia falcata
2010-09,XanPar,adult,60,dry season (Sep 2010),dry_season_measurement_on_adult,NA,4676,7.4,41.09,0.7007,0.04944,NA,635.3333333,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,XanPar,adult,40,dry season (Sep 2010),dry_season_measurement_on_adult,NA,4980,7.2,40.76,0.6805,0.04448,NA,691.6666667,0.2683,0.2116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,XanPar,sapling,63,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,4645,6.8,40.69,0.5851,0.04298,NA,681,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,XanPar,sapling,61,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,5543,7,40.8,0.6074,0.05167,NA,797,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,XanPar,sapling,60,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,4089,6.6,40.58,0.546,0.04585,NA,618.6666667,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,XanPar,sapling,62,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,9199,6.8,41.58,0.6401,0.04513,NA,1350.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,XanPar,sapling,64,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,10073,5.7,41.18,0.7533,0.04647,NA,1778,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthostemon paradoxus
2010-09,AcaDif,adult,20,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,2.1755,0.6851,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
2010-09,AcaDif,adult,5,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,0.9966,0.4991,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
2010-09,AcaDif,adult,60,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,2.5552,0.7187,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
2010-09,AcaMim,adult,43,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,1.256,0.5567,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
2010-09,AcaMim,sapling,20,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,2.0474,0.6719,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
2010-09,BucObo,adult,51,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,1.277,0.5608,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
2010-09,BucObo,sapling,51,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,0.5139,0.3395,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
2010-09,CorBle,sapling,20,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,1.7118,0.6312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
2010-09,CorPor,adult,40,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,0.5945,0.3728,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
2010-09,CorPor,sapling,62,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,1.2143,0.5484,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
2010-09,EryChl,adult,52,dry season (Sep 2010),dry_season_measurement_on_adult,NA,NA,NA,NA,NA,NA,NA,NA,0.7475,0.4277,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
2010-09,EucMin,sapling,10,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,1.7752,0.6397,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus miniata
2010-09,EucMin,sapling,20,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,2.5777,0.7205,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus miniata
2010-09,EucMin,sapling,X,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,1.6338,0.6203,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus miniata
2010-09,EucTet,sapling,20,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,1.8954,0.6546,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta
2010-09,GreDec,sapling,30,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,1.5269,0.6043,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea decurrens
2010-09,GreDec,sapling,31,dry season (Sep 2010),dry_season_measurement_on_sapling,NA,NA,NA,NA,NA,NA,NA,NA,0.466,0.3179,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grevillea decurrens
