family,species,x,Authority,n,ploidy level,"genome size (holoploid C-value, pg) and error",genome_size,genome size SE,Location notes,Latitude,Longitude,latitude (deg),longitude (deg),Altitude (m),Angiosperm group,Life cycle,Woody or Herbaceous,unknown,subfamily,habitat,Original reference details,site_name
Proteaceae,Adenanthos sericeus,1,Labill.,13,2x,1.19 +/- 0.04,1.19,0.04,"cultivated, Adelaide Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Adelaide Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Agastachys odorata,1,R. Br.,13,2x,7.17 +/- 0.23,7.17,0.23,15km E of Rosebery on Murchison Highway,41deg50'S,145deg24'E,-41.833,145.4,150,eudicot,perennial,Woody,yes,Symphionematoideae,wet heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.",15km E of Rosebery on Murchison Highway (wet heath)
Proteaceae,Alloxylon flammeum,1,P.H. Weston & Crisp,11,2x,1.9 +/- 0.06,1.9,0.06,"cultivated, QRS Arboretum, Atherton, based on specimen collected by Bruce Gray",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, QRS Arboretum, Atherton, based on specimen collected by Bruce Gray (tropical rainforest)"
Proteaceae,Alloxylon pinnatum,1,(Maiden & Betche) P.H. Weston & Crisp,11,2x,1.76 +/- 0.06,1.76,0.06,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,subtropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (subtropical rainforest)"
Proteaceae,Athertonia diversifolia,1,L.A.S. Johnson & B. G. Briggs,?,2x,2.92 +/- 0.09,2.92,0.09,"cultivated, QRS Arboretum, Atherton",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, QRS Arboretum, Atherton (tropical rainforest)"
Proteaceae,Aulax cancellata,1,(L.) Druce,11,2x,1.76 +/- 0.06,1.76,0.06,"cultivated, Royal Tasmanian Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Tasmanian Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Austromuellera trinervia,1,C.T. White,14,2x,1.99 +/- 0.05,1.99,0.05,"Malanda road, Milla Milla, North Queensland",17deg22'S,145deg41'E,-17.367,145.683,810,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Malanda road, Milla Milla, North Queensland (tropical rainforest)"
Proteaceae,Austromuellera trinervia,1,L.f.,14,2x,1.3 +/- 0.04,1.3,0.04,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (dry sclerophyll woodland)"
Proteaceae,Banksia grandis,1,Willd.,14,2x,2.23 +/- 0.07,2.23,0.07,"cultivated, Mt Annan Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Annan Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Banksia marginata,1,Cav.,14,2x,1.76 +/- 0.06,1.76,0.06,"Chimney Pot Hill Road, Tasmania",42deg55'S,147deg17'E,-42.917,147.283,340,eudicot,perennial,Woody,no,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Chimney Pot Hill Road, Tasmania (dry sclerophyll woodland)"
