Location,Tree_ID,Species,Longitude,Latitude,MAP_mm,Mass_mg,Volume_mm3,ssd,mean_leaf_mass_mg,mean_leaf_length_cm,mean_leaf_width_cm,mean_LWR,mean_leaf_area_mm2,mean_SLA
Bonython,BON-1,baxteri,138.3338,-35.60086,811,5430.8,9556,0.568313102,595.84,9.7292,3.3508,2.9298242,2362.66,3.9802457846
Bonython,BON-2,baxteri,138.3338,-35.60086,811,6542.8,8474,0.772102903,741.42,10.8204,3.1632,3.4184544,2651.56,3.5545045212
Bonython,BON-3,baxteri,138.3338,-35.60086,811,6175,9612,0.642426134,703.32,12.0814,3.9004000000000003,3.124775,3158.96,5.1261555584
Bonython,BON-4,baxteri,138.3338,-35.60086,811,5450.6,8435,0.6461885,755.96,10.555,3.1936,3.3447448,2551.14,3.4200001972
Bonython,BON-5,baxteri,138.3338,-35.60086,811,7055.9,11597,0.608424593,751.76,11.5972,4.6533999999999995,2.5188742,3813.44,5.0560619392
Bonython,BONO-1,obliqua,138.3338,-35.60086,811,5952.6,9400,0.633255319,814.38,13.1752,4.1038,3.2616368000000002,3538.2799999999997,4.3083515328
Bonython,BONO-2,obliqua,138.3338,-35.60086,811,6403.6,11084,0.57773367,425.7,12.28982,3.1912,3.9226214,2386.86,5.6084697562
Bonython,BONO-3,obliqua,138.3338,-35.60086,811,6417.5,12610,0.508921491,340.96,10.548,3.2184,3.2954282,2321.9,6.852755666
Bonython,BONO-4,obliqua,138.3338,-35.60086,811,6626.9,12547,0.528166095,417.21999999999997,10.4803,2.539,4.1268714,1778.98,4.2815630586
Bonython,BONO-5,obliqua,138.3338,-35.60086,811,6683.3,11083,0.603022647,412.82,12.1836,2.8808000000000002,4.2524556,2367.02,5.8465633812
Bradwood,BRADW-1 BAX,baxteri,138.7284,-35.05476,1024,NA,NA,NA,424.68333333333334,9.886333333333333,2.3783333333333334,4.1937855,1662.2333333333333,3.942125794
Bradwood,BRADW-1 OBLIQ,obliqua,138.7284,-35.05476,1024,NA,NA,NA,1119.92,16.0758,4.2954,3.7541762,4485.16,3.9909526634000003
Bradwood,BRADW-1B,baxteri,138.7284,-35.05476,1024,8300.6,9700,0.855731959,NA,NA,NA,NA,NA,NA
Bradwood,BRADW-1O,obliqua,138.7284,-35.05476,1024,7711.2,11529,0.668852459,NA,NA,NA,NA,NA,NA
Bradwood,BRADW-2,obliqua,138.7284,-35.05476,1024,5036.9,7854,0.641316527,362.8142857142857,11.36357142857143,3.448857142857143,4.931610714285714,1483.057142857143,4.0996498055714286
Bradwood,BRADW-3,obliqua,138.7284,-35.05476,1024,5754.2,8362,0.688136809,568.62,12.7878,2.597,4.9903144,2354.22,4.1787531336
Cleland,CLE-1,obliqua,138.714,-34.96431,1115,5596.4,13744,0.407188591,566.88,12.8604,4.804,2.6967288,3876.82,7.0164869326
Cleland,CLE-2,obliqua,138.714,-34.96431,1115,5751.7,6903,0.833217442,546.14,11.8704,3.0716,3.9115038,2483.04,4.7741623284
Cleland,CLE-3,obliqua,138.714,-34.96431,1115,8847.9,19165,0.46166971,998.5,15.416400000000001,5.2858,2.9637472,5248.76,5.4280026452
Cleland,CLE-4,obliqua,138.714,-34.96431,1115,11014.9,21531,0.511583298,613.1,13.229800000000001,4.1834,3.201333,3396.5,5.5256597806
