genus,species,binomial,longevity,growth form,leaf type,extreme min height (m),min height (m),max height (m),extreme max height (m),extreme min leaf length (mm),leaf length min (mm),leaf length max (mm),extreme max leaf length (mm),extreme min leaf width (mm),leaf width min (mm),leaf width max (mm),extreme max leaf width (mm)
Indigofera,glandulosa,Indigofera glandulosa,a/p,h,c,,0.2,0.7,,,8,37,,,3.5,17,
Indigofera,trifoliata,Indigofera trifoliata,p,h/s,c,,0.3,0.6,1.2,7,12,30,37,2,2.5,8.5,11.5
