var_name,trait_name,unit
genus,NA,NA
species,NA,NA
longevity,life_history,NA
growth form,plant_growth_form,NA
leaf type,leaf_compoundness,NA
extreme min height (m),plant_height_min_extreme,m
min height (m),plant_height_min,m
max height (m),plant_height_max,m
extreme max height (m),plant_height_max_extreme,m
extreme min leaf length (mm),leaf_length_min_extreme,mm
leaf length min (mm),leaf_length_min,mm
leaf length max (mm),leaf_length_max,mm
extreme max leaf length (mm),leaf_length_max_extreme,mm
extreme min leaf width (mm),leaf_width_min_extreme,mm
leaf width min (mm),leaf_width_min,mm
leaf width max (mm),leaf_width_max,mm
extreme max leaf width (mm),leaf_width_max_extreme,mm
