var_name,character,unit
"growth form 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=graminoid, 10=vine",growth form,
"dispersal mode: 1=unassisted, 2=ant, 3=vertebrate, 4=adhesion, 5=wind",dispersal mode,
seed mass (mg),seed mass,mg
lineage,lineage,
