species,TRAIT: leaf size UNITS: cm2,site,specific leaf weight (g dm-2),leaf_length (mm),leaf_width (mm),leaf_thickness (mm),leaf_shape
Acacia huegelii,0.2215,Yule Brook Botany Reserve,2.28,,,,
Acacia pulchella,0.0596,Yule Brook Botany Reserve,1.49,,,,
Adenanthos cygnorum,0.6068,Yule Brook Botany Reserve,2.77,21.93,22.36,0.87,widely_obtrullate
Andersonia carinata,0.0239,Yule Brook Botany Reserve,1.47,,,,
Banksia attenuata,3.53,Yule Brook Botany Reserve,2.38,115.2,8.39,0.47,linear_oblanceolate
Banksia menziesii (seedl.),19.53,Yule Brook Botany Reserve,2.74,112.5,24.43,0.79,oblanceolate
Banksia telmatiaea,0.1852,Yule Brook Botany Reserve,2.19,25.12,1.5,0.63,linear_oblanceolate
Bossiaea eriocarpa,0.195,Yule Brook Botany Reserve,1.58,13.78,2.78,0.22,narrowly_oblong
Calytrix flavescens,0.0121,Yule Brook Botany Reserve,3.71,,,,
Conostephium pendulum,0.4332,Yule Brook Botany Reserve,1.76,,,,
Dampiera linearis,0.6437,Yule Brook Botany Reserve,2.29,26.15,5.7,0.84,narrowly_obtrullate
Dasypogon bromeliifolius,6.99,Yule Brook Botany Reserve,2.74,,,,
Eremaea pauciflora,0.0347,Yule Brook Botany Reserve,3.12,,,,
Eriostemon spicatus,0.0527,Yule Brook Botany Reserve,2.86,,,,
Gompholobium tomentosum,0.3218,Yule Brook Botany Reserve,3.35,,,,
Hibbertia hypericoides,0.1096,Yule Brook Botany Reserve,2.65,9.09,2.23,0.26,oblanceolate
Hibbertia racemosa,0.3031,Yule Brook Botany Reserve,1.48,,,,
Hovea trisperma,1.3108,Yule Brook Botany Reserve,1.67,,,,
Hypocalymma angustifolium,0.1613,Yule Brook Botany Reserve,2.98,28,1.2,0.99,acicular
Jacksonia floribunda,3.574,Yule Brook Botany Reserve,3.24,72,16.35,0.71,lanceolate
Leptospermum ellipticum,0.2517,Yule Brook Botany Reserve,2.08,16.93,4.89,0.34,narrowly_obtrullate
Leucopogon oxycedrus,0.1572,Yule Brook Botany Reserve,1.38,13.47,2.94,0.21,narrowly_rhomboidal
Melaleuca bracteosa,0.0657,Yule Brook Botany Reserve,1.51,4.97,2.99,0.58,obovate
Melaleuca seriata,0.064,Yule Brook Botany Reserve,2.87,,,,
Nuytsia floribunda (seedl.),0.148,Yule Brook Botany Reserve,4.27,,,,
Petrophile linearis,0.9894,Yule Brook Botany Reserve,8.2,70.55,3.85,1.08,linear
Unknown No. 1,0.0584,Yule Brook Botany Reserve,1.86,,,,
Verticordia densiflora,0.0548,Yule Brook Botany Reserve,1.43,9.97,0.94,0.45,half_terete
Verticordia lindleyi,0.0508,Yule Brook Botany Reserve,1.59,5.82,2.65,0.47,obovate
Xanthosia huegelii,0.7263,Yule Brook Botany Reserve,0.52,32.31,19.15,0.53,widely_obovate
Xanthorrhoea gracilis,,Yule Brook Botany Reserve,4.35,,,,
Conostylis juncea,,Yule Brook Botany Reserve,2.94,,,,
Patersonia occidentalis,,Yule Brook Botany Reserve,3.96,,,,
Lomandra hermaphrodita,,Yule Brook Botany Reserve,1.99,,,,
Neurachne alopecuroides,,Yule Brook Botany Reserve,1.71,,,,
Cyathochaete avenacea,,Yule Brook Botany Reserve,3.29,,,,
Anarthria gracilis,,Yule Brook Botany Reserve,2.47,,,,
