Site,Species,psipd (MPa),psimin (MPa),psiTLP (MPa),P50 (MPa),P88 (MPa),Method,wood density (g cm-3),HSM
"Daintree, QLD",Cardwellia sublimis,-0.45 ± 0.01,-0.86 ± 0.08,-1.73 ± 0.12,"-3.43 [-3.09,-3.77]","NA [-4.63, NA]",Bench,0.56 ± 0.02,2.56
"Daintree, QLD",Castanospermum australe,-0.50 ± 0.10,-1.00 ± 0.05,-1.61 ± 0.11,"-1.52 [-0.96,-1.98]","-3.56 [-2.22, NA]",Bench Ks,0.37 ± 0.03,0.52
"Daintree, QLD",Cleistanthus myrianthus,-0.45 ± 0.15,-1.30 ± 0.17,-1.52 ± 0.08,"-4.65 [-4.03,-5.19]","-6.39 [-5.79, NA]",Bench,0.57 ± 0.04,3.34
"Daintree, QLD",Cryptocarya mackinnoniana,-0.26 ± 0.02,-0.60 ± 0.10,-2.02 ± 0.30,"-3.31 [-2.25,-3.59]","-3.90 [-3.50,-6.27]",Bench Ks,0.53 ± 0.05,2.72
"Daintree, QLD",Dysoxylum papuanum,-0.57 ± 0.14,-1.39 ± 0.23,-2.12 ± 0.11,"-2.66 [-2.17,-3.11]","-4.30 [-3.76, NA]",Bench,0.48 ± 0.02,1.27
"Daintree, QLD",Elaeocarpus grandis,-0.28 ± 0.07,-0.80 ± 0.15,-2.16 ± 0.26,"-3.08 [-2.79,-3.41]","-4.35 [-3.96, NA]",Bench,0.48 ± 0.01,2.29
"Daintree, QLD",Endiandra microneura,-0.29 ± 0.03,-0.59 ± 0.05,-2.39 ± 0.21,"-3.99 [-3.54,-4.37]","-5.75 [-5.02, NA]",Bench,0.61 ± 0.02,3.4
"Daintree, QLD",Rockinghamia angustifolia,-0.14 ± 0.03,-0.44 ± 0.02,-1.83 ± 0.03,"-3.11 [-2.63,-3.44]","-4.11 [-3.75, NA]",Bench,0.47 ± 0.03,2.67
"Daintree, QLD",Syzygium graveolens,-0.20 ± 0.03,-0.79 ± 0.09,-1.66 ± 0.07,"-2.61 [-2.26,-2.99]","-4.29 [-3.77, NA]",Bench,0.55 ± 0.01,1.82
"Daintree, QLD",Syzygium sayeri,-0.33 ± 0.07,-0.96 ± 0.02,-1.86 ± 0.14,"-2.16 [-1.85,-2.40]","-3.00 [-2.73, NA]",Bench,0.54 ± 0.01,1.19
