Country,Locality,Latitude ,Longitude,State,Altitude (m),Plant Family,Plant species,Growth type,Herbivores,Growth type,Tree number,Leaf number,Leaf Damage Class - Dirzo method,Total leaf area (cm2)- Image J,Leaf area removed (cm2) - Image J,Herbivory (%) ,Miner damage class - Dirzo method,Gall damage class - Dirzo method,Collector
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,1,0,19.288,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,2,0,10.57,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,3,0,19.777,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,4,0,22.912,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,5,0,27.471,0,0,0,1,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,6,0,21.013,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,7,0,20.946,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,8,0,15.312,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,9,0,18.905,0,0,0,0,Mark Ooi
Australia,"Royal National Park, Sydney",-34.114,151.066417,NSW,100,Proteaceae,Banksia serrata,Tree,chewers,shrub,1,10,0,14.066,0,0,0,0,Mark Ooi
