SITE_text,latitude,longitude,soil P ppm
AgnesBanksNR_2,-33.617,150.715,31
BoxCrossing_2,-31.587,144.848,101
CastlereaghNR_2,-33.683,150.745,175
CocoparraNP_2,-34.120,146.220,105
DennyDF_2,-33.936,146.115,122
EastCobar_2,-31.506,145.901,122
GoobangNP1_2,-32.942,148.401,
GoobangNP2_2,-32.942,148.401,
GoobangNP3_2,-32.942,148.401,
GoobangNP4_2,-32.815,148.345,
hermidale_2,-31.561,146.556,441
KCNP_hiP_2,-33.579,151.292,695
KCNP_loP_2,-33.694,151.143,105
MacquariePass_2,-34.567,150.656,607
MortonNP_2,-34.779,150.335,87
MyallLakesNP2_2,-32.423,152.475,22
NombinnieNR_2,-33.044,146.004,175
RoundHillNR_2,-32.967,146.155,227
ShanesPark_2,-33.719,150.781,105
Talleeban_2,-33.929,146.464,175
