"site_name","trait_name","unit","value"
"AgnesBanksNR","soil total P","ppm","31"
"BoxCrossing","soil total P","ppm","101"
"CastlereaghNR","soil total P","ppm","175"
"CocoparraNP","soil total P","ppm","105"
"DennyDF","soil total P","ppm","122"
"EastCobar","soil total P","ppm","122"
"GoobangNP1","soil total P","ppm",NA
"GoobangNP2","soil total P","ppm",NA
"GoobangNP3","soil total P","ppm",NA
"GoobangNP4","soil total P","ppm",NA
"hermidale","soil total P","ppm","441"
"KCNP_hiP","soil total P","ppm","695"
"KCNP_loP","soil total P","ppm","105"
"MacquariePass","soil total P","ppm","607"
"MortonNP","soil total P","ppm","87"
"MyallLakesNP2","soil total P","ppm","22"
"NombinnieNR","soil total P","ppm","175"
"RoundHillNR","soil total P","ppm","227"
"ShanesPark","soil total P","ppm","105"
"Talleeban","soil total P","ppm","175"
