site_name,trait_name,value,unit
AgnesBanksNR,latitude,-33.617,deg
AgnesBanksNR,longitude,150.715,deg
AgnesBanksNR,soil total P,31,ppm
BoxCrossing,latitude,-31.587,deg
BoxCrossing,longitude,144.848,deg
BoxCrossing,soil total P,101,ppm
CastlereaghNR,latitude,-33.683,deg
CastlereaghNR,longitude,150.745,deg
CastlereaghNR,soil total P,175,ppm
CocoparraNP,latitude,-34.12,deg
CocoparraNP,longitude,146.22,deg
CocoparraNP,soil total P,105,ppm
DennyDF,latitude,-33.936,deg
DennyDF,longitude,146.115,deg
DennyDF,soil total P,122,ppm
EastCobar,latitude,-31.506,deg
EastCobar,longitude,145.901,deg
EastCobar,soil total P,122,ppm
GoobangNP1,latitude,-32.942,deg
GoobangNP1,longitude,148.401,deg
GoobangNP1,soil total P,NA,ppm
GoobangNP2,latitude,-32.942,deg
GoobangNP2,longitude,148.401,deg
GoobangNP2,soil total P,NA,ppm
GoobangNP3,latitude,-32.942,deg
GoobangNP3,longitude,148.401,deg
GoobangNP3,soil total P,NA,ppm
GoobangNP4,latitude,-32.815,deg
GoobangNP4,longitude,148.345,deg
GoobangNP4,soil total P,NA,ppm
hermidale,latitude,-31.561,deg
hermidale,longitude,146.556,deg
hermidale,soil total P,441,ppm
KCNP_hiP,latitude,-33.579,deg
KCNP_hiP,longitude,151.292,deg
KCNP_hiP,soil total P,695,ppm
KCNP_loP,latitude,-33.694,deg
KCNP_loP,longitude,151.143,deg
KCNP_loP,soil total P,105,ppm
MacquariePass,latitude,-34.567,deg
MacquariePass,longitude,150.656,deg
MacquariePass,soil total P,607,ppm
MortonNP,latitude,-34.779,deg
MortonNP,longitude,150.335,deg
MortonNP,soil total P,87,ppm
MyallLakesNP2,latitude,-32.423,deg
MyallLakesNP2,longitude,152.475,deg
MyallLakesNP2,soil total P,22,ppm
NombinnieNR,latitude,-33.044,deg
NombinnieNR,longitude,146.004,deg
NombinnieNR,soil total P,175,ppm
RoundHillNR,latitude,-32.967,deg
RoundHillNR,longitude,146.155,deg
RoundHillNR,soil total P,227,ppm
ShanesPark,latitude,-33.719,deg
ShanesPark,longitude,150.781,deg
ShanesPark,soil total P,105,ppm
Talleeban,latitude,-33.929,deg
Talleeban,longitude,146.464,deg
Talleeban,soil total P,175,ppm
