"site_name","longitude","latitude"
"AgnesBanksNR",150.715,-33.617
"BoxCrossing",144.848,-31.587
"CastlereaghNR",150.745,-33.683
"CocoparraNP",146.22,-34.12
"DennyDF",146.115,-33.936
"EastCobar",145.901,-31.506
"GoobangNP1",148.401,-32.942
"GoobangNP2",148.401,-32.942
"GoobangNP3",148.401,-32.942
"GoobangNP4",148.345,-32.815
"hermidale",146.556,-31.561
"KCNP_hiP",151.292,-33.579
"KCNP_loP",151.143,-33.694
"MacquariePass",150.656,-34.567
"MortonNP",150.335,-34.779
"MyallLakesNP2",152.475,-32.423
"NombinnieNR",146.004,-33.044
"RoundHillNR",146.155,-32.967
"ShanesPark",150.781,-33.719
"Talleeban",146.464,-33.929
