Species,site,latitude (deg),longitude (deg),Vessel diameter a (u),Vessel diameter a (u)-SE,Vessel diameter b (u),Vessel diameter b (u)-SE,Vessel density (no. vessels/mm2),Vessel area (um2),Vessel area (um2)-SE,Conductive area (um2),stem Fibre wall thickness (um),stem Vessel wall thickness (um),stem Vessel diameter (um),stem Outer pit aperture (um),stem Conductive lumen fraction (mm2 mm-2),stem Sapwood density (g cm-3),root Fibre wall thickness (um),root Vessel wall thickness (um),root Vessel diameter (um),root Outer pit aperture (um),root Conductive lumen fraction (mm2 mm-2),root wood density (g cm-3),root wood density replicates,"wood density total, including bark and pith (g/cm3)",stem Fibre wall thickness (um)-SE,stem  Vessel wall thickness (um)-SE,stem  Vessel diameter (um)-SE,stem  Outer pit aperture (um)-SE,stem  Conductive lumen fraction (mm2 mm-2)-SE,stem sapwood density (g cm-3)-SE,stem total wood density (SE),d13C,Ks,vulnerability index,implosion resistance,root Fibre wall thickness (um)-SE,root  Vessel wall thickness (um)-SE,root  Vessel diameter (um)-SE,root  Outer pit aperture (um)-SE,root  Conductive lumen fraction (mm2 mm-2)-SE,root sapwood density (g cm-3)-SE
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,4.01,4.27,35.14,NA,0.098,0.95,3.9,6.07,34.8,4.62,0.17,0.61,5,0.78,0.18,0.19,1.61,NA,0.008,0.07,0.01,-26.96,0.109,0.4,0.0096,0.1,0.19,1.08,0.05,0.014,0.021
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,3.52,4.42,,Outer pit aperture (um),0.099,0.88,,,,,,,,0.8,,,,,,0.09,0.03,NA,0.099,0.37,0.0213,,,,,,
Corymbia opaca ,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,3.36,2.88,39.41,NA,0.258,0.68,5.7,11.5,79.4,5.88,0.08,0.49,3,0.42,0.16,0.17,1.57,NA,0.032,0.022,0.08,-28.43,0.356,0.21,0.0237,0.15,0.29,3.12,0.16,0.006,0.002
Erythrina vespertilio,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.98,40.44,NA,0.249,0.4,NA,6.97,188,7.13,0.05,0.21,5,0.38,0.11,0.09,1.634,NA,0.02,0.016,0.03,-27.45,0.383,0.26,0.14,NA,0.21,6.15,0.11,0.003,0.009
Eucalyptus camaldulensis,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,3.31,2.61,36.67,NA,0.258,0.65,5.3,7.25,131,6.49,0.25,0.44,5,0.51,0.12,0.09,1.38,NA,0.053,0.03,0.01,-29.89,0.328,0.2,0.0404,0.08,0.12,3.42,0.14,0.011,0.03
Hakea sp. ,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,4.26,2.71,27.01,NA,0.123,0.712,5.4,9.48,60.3,6.16,0.12,0.82,5,0.65,0.15,0.13,2.18,NA,0.023,0.03,0.01,-26.84,0.08,0.14,0.059,0.12,0.15,1.91,0.15,0.009,0.023
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,NA,NA,NA,NA,NA,NA,NA,NA,6.79,3.78,20.19,NA,0.133,0.73,4.5,4.12,24.4,3.73,0.37,0.58,5,0.56,0.42,0.13,0.58,NA,0.13,0.017,0.02,-26.5,0.047,0.05,0.067,0.07,0.05,0.29,0.05,0.008,0.01
Erythrina vespertilio,Ti-Tree Basin,-22.13016,133.41602,24.41,0.68,18.37,0.69,418,360.38,22.38,150640.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrina vespertilio,Ti-Tree Basin,-22.13016,133.41602,26.25,0.38,19.23,0.56,515,397.85,14.25,204891.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrina vespertilio,Ti-Tree Basin,-22.13016,133.41602,28.05,0.98,20.9,0.83,622,476.78,36.43,296555.6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
