name_original,site,AusTraits_site_name,AusTraits_key,context,canopy_position,leaf_age,stand_maturity,wood_sample_type,plot_location,photosynthetic pathway,Nfixer,GF,DecEv,LfType,LfForm,SLA (cm2/g),leaf mass/stem mass,LMA (g/m2),leaf longevity,amass (nmol g-1 s-1),aarea (umolm-2s-1),gs (molm-2s-1),13-C,leaf_chlorophyll_umol_per_m2,height_range,height_max,n_mass_%,n_area,p_mass_%,p_area,k_mass_%,Ca_mass_g_per_kg,Mg_mass_g_per_kg,Na_mass_g_per_kg,S_mass_g_per_kg,Fe_mass_ppm,Mn_mass_ppm,Zn_mass_ppm,Cu_mass_ppm,B_mass_ppm,N_mass_wood_g_per_kg,P_mass_wood_g_per_kg,K_mass_wood_g_per_kg,Ca_mass_wood_g_per_kg,Mg_mass_wood_g_per_kg,Na_mass_wood_g_per_kg,N_mass_bark_g_per_kg,P_mass_bark_g_per_kg,K_mass_bark_g_per_kg,Ca_mass_bark_g_per_kg,Mg_mass_bark_g_per_kg,Na_mass_bark_g_per_kg,N_mass_senesced_leaves_%,P_mass_senesced_leaves_%,K_mass_senesced_leaves_%,Ca_mass_senesced_leaves_%,Mg_mass_senesced_leaves_%,N_mass_dead_wood_g_per_kg,P_mass_dead_wood_g_per_kg,K_mass_dead_wood_g_per_kg,Ca_mass_dead_wood_g_per_kg,Mg_mass_dead_wood_g_per_kg,Na_mass_dead_wood_g_per_kg
Pomaderris aspera,Ashton1975_WallabyCk,Ashton_1975_Wallaby Creek,Ashton_1975,young_leaves,,young leaves,,,,,,,,,,,,,,,,,,,,,2.062,,0.416,,1.13,10.22,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomaderris aspera,Ashton1975_WallabyCk,Ashton_1975_Wallaby Creek,Ashton_1975,mature_leaves,,mature leaves,,,,,,,,,,,,,,,,,,,,,2.383,,0.18,,1.131,14.23,3.23,,,,,,,,,,,,,,,,,,,,1.122,0.046,0.405,1.423,0.355,,,,,,
Eucalyptus obliqua,Attiwill1980_MtDisappointment,Attiwill_1980_Mt Disappointment,Attiwill_1980,branch_wood_smooth-barked_less_1.25_cm,,,,branch_wood_smooth-barked_less_1.25_cm,,C3,n,tree,E,B,S,,,,,,,,,,,,,,0.08,,0.45,3.85,3.6,,,,,,,,,0.4,2.9,6.6,3.25,,,0.15,2.82,4.45,2.34,,,,,,,,,,,,
Eucalyptus obliqua,Attiwill1980_MtDisappointment,Attiwill_1980_Mt Disappointment,Attiwill_1980,branch_wood_smooth-branch_wood_barked_more_1.25_cm,,,,branch_wood_smooth-branch_wood_barked_more_1.25_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,1.7,3.7,1.7,,,,,,,,,,,,,,,,,,
Eucalyptus obliqua,Attiwill1980_MtDisappointment,Attiwill_1980_Mt Disappointment,Attiwill_1980,rough-barked,,,,rough-barked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.12,2.05,0.74,,,,,,,,,,,,,,,,,,
Eucalyptus obliqua,Attiwill1980_MtDisappointment,Attiwill_1980_Mt Disappointment,Attiwill_1980,sapwood,,,,sapwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.6,0.29,0.24,,,,,,,,,,,,,,,,,,
Eucalyptus obliqua,Attiwill1980_MtDisappointment,Attiwill_1980_Mt Disappointment,Attiwill_1980,heartwood,,,,heartwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.075,0.085,0.055,,,,,,,,,,,,,,,,,,
Acacia crassicarpa,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,1.72,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rothii,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,1.82,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstonia actinophylla,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,1.78,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrophloeum chlorostachys,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,1.95,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,1.11,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tetrodonta,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea pteridifolia,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,1.1,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca leucadendron,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,0.78,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca viridiflora,Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,,,,,,,,,,,,,,0.88,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia integrifolia,Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.11,Bennett_1996,declining,,,declining,,,C3,n,tree,E,B,S,,,,20,,,,,,,,1.1,,0.04,,0.23,7.6,1.6,0.37,,77,67,5.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Banksia integrifolia,Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.11,Bennett_1996,intermediate,,,intermediate,,,,,,,,,,,,,,,,,,,,1.2,,0.04,,0.28,8.6,1.9,0.41,,62,100,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,
Banksia integrifolia,Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.23_pH7,Bennett_1997,declining,,,declining,,,,,,,,,,,,,,,,,,,,1,,0.04,,0.24,5.9,2.1,0.39,,67,551,4.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Banksia integrifolia,Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.23_pH7,Bennett_1998,healthy,,,healthy,,,,,,,,,,,,,,,,,,,,0.9,,0.04,,0.28,13.5,2.2,0.28,,76,739,4.7,2,,,,,,,,,,,,,,,,,,,,,,,,
