name_original,site,AusTraits_site_name,AusTraits_key,context,canopy_position,leaf_age,stand_maturity,wood_sample_type,plot_location,photosynthetic pathway,Nfixer,GF,DecEv,LfType,LfForm,SLA (cm2/g),leaf mass/stem mass,LMA (g/m2),leaf longevity,amass (nmol g-1 s-1),aarea (umolm-2s-1),gs (molm-2s-1),13-C,leaf_chlorophyll_umol_per_m2,height_range,height_max,n_mass_%,n_area,p_mass_%,p_area,k_mass_%,Ca_mass_g_per_kg,Mg_mass_g_per_kg,Na_mass_g_per_kg,S_mass_g_per_kg,Fe_mass_ppm,Mn_mass_ppm,Zn_mass_ppm,Cu_mass_ppm,B_mass_ppm,N_mass_wood_g_per_kg,P_mass_wood_g_per_kg,K_mass_wood_g_per_kg,Ca_mass_wood_g_per_kg,Mg_mass_wood_g_per_kg,Na_mass_wood_g_per_kg,N_mass_bark_g_per_kg,P_mass_bark_g_per_kg,K_mass_bark_g_per_kg,Ca_mass_bark_g_per_kg,Mg_mass_bark_g_per_kg,Na_mass_bark_g_per_kg,N_mass_senesced_leaves_%,P_mass_senesced_leaves_%,K_mass_senesced_leaves_%,Ca_mass_senesced_leaves_%,Mg_mass_senesced_leaves_%,N_mass_dead_wood_g_per_kg,P_mass_dead_wood_g_per_kg,K_mass_dead_wood_g_per_kg,Ca_mass_dead_wood_g_per_kg,Mg_mass_dead_wood_g_per_kg,Na_mass_dead_wood_g_per_kg
Acacia melanoxylon,Meakinsunpub_Brindabella2,Meakins_0000_Brindabella_2,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,2.8,,0.21,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus delegatensis,Meakinsunpub_Brindabella2,Meakins_0000_Brindabella_2,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,1.4,,0.1,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordia salicina,Meakinsunpub_Brindabella3,Meakins_0000_Brindabella_3,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,1.9,,0.19,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus robertsonii,Meakinsunpub_Brindabella3,Meakins_0000_Brindabella_3,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,1.4,,0.1,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia harpophylla,Mooreetal1967_Meandarra,Moore_1967_Meandarra,Moore_1967,,,,,,,,,,,,,,,,,,,,,,,,1.66,,0.062,,0.745,7.4,1.93,,0.16,,,14,9,,,,,,,,,,,,,,,,,,,,,,,,
Geijera parviflora,Mooreetal1967_Meandarra,Moore_1967_Meandarra,Moore_1967,,,,,,,,,,,,,,,,,,,,,,,,1.64,,0.079,,1.346,8.5,1.62,,0.21,,,51,21,,,,,,,,,,,,,,,,,,,,,,,,
Argyrodendron peralatum,Pearcy1987_CurtinFig,Pearcy_1987_Curtin_Fig,Pearcy_1987,canopy,canopy,,,,,C3,n,tree,E,B,C,,,245,,,9.4,170,,1108.014639,,,1.67,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyrodendron peralatum,Pearcy1987_CurtinFig,Pearcy_1987_Curtin_Fig,Pearcy_1987,gap,gap,,,,,,,,,,,,,136,,,8.1,153,,716.292292,,,1.47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyrodendron peralatum,Pearcy1987_CurtinFig,Pearcy_1987_Curtin_Fig,Pearcy_1987,understory,understory,,,,,,,,,,,,,114,,,5.7,108,,839.4050297,,,1.14,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araucaria cunninghamii,RichardsAustralia_Hooppineplantation25,Richards_2008_2_Hooppine_plantation_25,Richards_2008_2,,,,,,,C3,n,tree,E,N,S,,,,,,,,-30.92,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araucaria cunninghamii,RichardsAustralia_Hooppineplantation34,Richards_2008_2_Hooppine_plantation_34,Richards_2008_2,,,,,,,C3,n,tree,E,N,S,,,,,,,,-31.57,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araucaria cunninghamii,RichardsAustralia_Hooppineplantation50,Richards_2008_2_Hooppine_plantation_50,Richards_2008_2,,,,,,,C3,n,tree,E,N,S,,,,,,,,-30.33,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araucaria cunninghamii,RichardsAustralia_Hooppineplantation63,Richards_2008_2_Hooppine_plantation_63,Richards_2008_2,,,,,,,C3,n,tree,E,N,S,,,,,,,,-30.7,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea robusta,RichardsAustralia_Maleny,Richards_2008_2_Maleny,Richards_2008_2,,,,,,,C3,n,tree,D,B,C,97.8,,,7.44,,12.91,73.3,-25.26,,,,2.04,2.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castanospermum australe,RichardsAustralia_Maleny,Richards_2008_2_Maleny,Richards_2008_2,,,,,,,C3,,tree,E,B,C,123.1,,,12.12,,6.19,195.7,-27.37,,,,3,2.44,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaeocarpus angustifolius,RichardsAustralia_Maleny,Richards_2008_2_Maleny,Richards_2008_2,,,,,,,C3,n,tree,E,B,S,124.8,,,7.68,,12.09,228.6,-28.38,,,,2.56,2.05,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardenia actinocarpa,RichardsAustralia_NorthQueensland1,Richards_2008_2_North_Queensland_1,Richards_2008_2,,,,,,,C3,n,shrub,E,B,S,223,,,,,,,-33.33,,,,1.5,0.67,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthostemon chrysanthus,RichardsAustralia_NorthQueensland1,Richards_2008_2_North_Queensland_1,Richards_2008_2,,,,,,,C3,n,tree,E,B,S,130,,,,,,,-32.89,,,,1.1,0.85,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthostemon formosus,RichardsAustralia_NorthQueensland1,Richards_2008_2_North_Queensland_1,Richards_2008_2,,,,,,,C3,n,tree,E,B,S,159,,,,,,,-32.27,,,,1.1,0.69,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archidendron kanisii,RichardsAustralia_NorthQueensland1,Richards_2008_2_North_Queensland_1,Richards_2008_2,,,,,,,C3,y,tree,E,B,S,181,,,,,,,-32.79,,,,2.2,1.22,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archidendron whitei,RichardsAustralia_NorthQueensland2,Richards_2008_2_North_Queensland_2,Richards_2008_2,,,,,,,C3,,tree,E,B,S,230,,,,,,,-33.73,,,,2.8,1.22,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardenia ovularis,RichardsAustralia_NorthQueensland3,Richards_2008_2_North_Queensland_3,Richards_2008_2,,,,,,,C3,n,tree,E,B,S,168,,,,,,,-32.54,,,,1.5,0.89,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,TurnerandLambert1983_Conglomerate,Turner_1983_Conglomerate,Turner_1983,branch,,,,branch,,C3,n,tree,E,B,S,,,,,,,,,,,,1.47,,0.0895,,0.645,4.8,2.69,,,,,,,,3.2,0.29,3.2,2.2,1.97,,2.21,0.15,2.45,19.36,1.6,,,,,,,,,,,,
Eucalyptus grandis,TurnerandLambert1983_Conglomerate,Turner_1983_Conglomerate,Turner_1983,sapwood,,,,sapwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.05,0.8,0.58,0.2,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,TurnerandLambert1983_Conglomerate,Turner_1983_Conglomerate,Turner_1983,heartwood,,,,heartwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.01,0.11,0.43,0.1,,,,,,,,,,,,,,,,,,
Acacia aneura var. major,Schortemeyeretalunpub_NATT_Kunoth Paddock,Schortemeyer_0000_NATT_Kunoth Paddock,Schortemeyer_0000,,,,,,,,y,,,,,32.3,,,,80.8,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia kempeana,Schortemeyeretalunpub_NATT_Kunoth Paddock,Schortemeyer_0000_NATT_Kunoth Paddock,Schortemeyer_0000,,,,,,,,y,,,,,39.3,,,,91,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia terminalis,Schortemeyeretalunpub_NATT_Kunoth Paddock,Schortemeyer_0000_NATT_Kunoth Paddock,Schortemeyer_0000,,,,,,,,n,,,,,36.2,,,,111,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea suberea,Schortemeyeretalunpub_NATT_Kunoth Paddock,Schortemeyer_0000_NATT_Kunoth Paddock,Schortemeyer_0000,,,,,,,,n,,,,,20,,,,28.1,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lysiphloia,Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,,,,,,,,y,,,,,82.2,,,,152.1,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia neurocarpa,Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,,,,,,,,y,,,,,64.3,,,,123.9,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia shirleyi,Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,,,,,,,,y,,,,,57.3,,,,83.8,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia dichromophloia,Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,,,,,,,,n,,,,,51.6,,,,84,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus chlorophylla,Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,,,,,,,,n,,,,,41.7,,,,59.2,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea wickhamii ssp aprica,Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,,,,,,,,n,,,,,63.9,,,,92.7,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia holosericea,Schortemeyeretalunpub_NATT_Katherine,Schortemeyer_0000_NATT_Katherine,Schortemeyer_0000,,,,,,,,y,,,,,75.9,,,,115.5,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia foelscheana,Schortemeyeretalunpub_NATT_Katherine,Schortemeyer_0000_NATT_Katherine,Schortemeyer_0000,,,,,,,,n,,,,,58.8,,,,74.5,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus patellaris,Schortemeyeretalunpub_NATT_Katherine,Schortemeyer_0000_NATT_Katherine,Schortemeyer_0000,,,,,,,,n,,,,,45.9,,,,51.2,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea dimidiata,Schortemeyeretalunpub_NATT_Katherine,Schortemeyer_0000_NATT_Katherine,Schortemeyer_0000,,,,,,,,n,,,,,51.8,,,,58.4,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea arborescens,Schortemeyeretalunpub_NATT_Katherine,Schortemeyer_0000_NATT_Katherine,Schortemeyer_0000,,,,,,,,n,,,,,28,,,,49.4,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,,,,,,,,y,,,,,134,,,,205.4,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia holosericea,Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,,,,,,,,y,,,,,105.4,,,,193.9,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus miniata,Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,,,,,,,,n,,,,,73.6,,,,104.6,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tetrodonta,Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,,,,,,,,n,,,,,56.5,,,,64.9,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea pteridifolia,Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,,,,,,,,n,,,,,51,,,,58.8,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persoonia falcata,Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,,,,,,,,n,,,,,68.5,,,,71.7,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
