dataset_id,find,replace,reason,taxonomic_resolution
NTH_2025,Abelmoschus ficulneus (L.) Wight & Arn. ex Wight,Abelmoschus ficulneus,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abelmoschus moschatus Medik. subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Abildgaardia vaginata R.Br.,Abildgaardia vaginata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abrus precatorius L.,Abrus precatorius,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abrus precatorius L. subsp. precatorius,Abrus precatorius subsp. precatorius,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),subspecies
NTH_2025,Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon halophilum F.Muell.,Abutilon halophilum,Exact match of taxon name to an APC-known scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon lepidum (F.Muell.) A.S.Mitch.,Abutilon lepidum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon macrum F.Muell.,Abutilon macrum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon malvifolium (Benth.) J.M.Black,Abutilon malvifolium,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Abutilon otocarpum F.Muell.,Abutilon otocarpum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
