"View","Taxon Name","NT Endemic","NT Only","Current Name","Name w/Data (non-current)","Checklist Category","Taxon Status","Eco Source","Eco Status","Deciduous","Diaspore Dispersal Agent","Diaspore Morphology","Ephiphytic","Fire Response Adult","Fire Response Juvenile","Flowering Breeding System","Growth Form","Growth Form NVIS","Growth Form YB","Longevity","Mass Recruitment","Metabolic Type","Mycorrhiza","Nitrogen Fixing","Palatibility","Parasitic","Phenology Flowering","Phenology Fruit Maturity","Pollen Transfer","Pollination Breeding System","Pollination Syndrome","Presence Defence Compounds","Presence Defence Structures","Response To Grazing","Resprout Type","Resurrection","Seed Bank","Taxon ID","Taxon Id","Underground Storage","Vegetative Spread"
"View","ACANTHACEAE","N","N","Y","N","NT","ACTIVE","-","DELETED","-","-","-","Y","-","-","-","-","-","-","-","-","-","-","Y","Y","-","-","-","-","-","-","-","-","-","-","Y","-","2","2","-","-"
"-","ACANTHACEAE Acanthus","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","-","-"
"-","ACANTHACEAE Acanthus ebracteatus Vahl","-","-","Y","-","NT","ACTIVE","-","-","Evergreen","-","-","-","-","-","-","-","Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","-","-"
"-","ACANTHACEAE Acanthus ebracteatus Vahl subsp. ebarbatus R.M.Barker","N","N","Y","N","NT","ACTIVE","-","-","Evergreen","-","-","-","-","-","-","-","Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20343","-","-"
"View","ACANTHACEAE Acanthus ilicifolius L.","-","-","Y","-","NT","ACTIVE","Liddle 2004, Brennan 2004","-","Evergreen","-","-","N","-","-","-","Shrub","Shrub","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","19749","19749","-","-"
"-","ACANTHACEAE Andrographis","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","-","-"
"-","ACANTHACEAE Andrographis paniculata (Burm.f.) Wall. ex Nees","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","Without swollen storage structure","-"
"-","ACANTHACEAE Asystasia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1050094","-","-"
"-","ACANTHACEAE Asystasia gangetica (L.) T.Anderson","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12211","Without swollen storage structure","-"
"-","ACANTHACEAE Asystasia gangetica (L.) T.Anderson subsp. gangetica","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1049873","Without swollen storage structure","-"
"-","ACANTHACEAE Avicennia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5850","-","-"
"View","ACANTHACEAE Avicennia integra N.C.Duke","Y","-","Y","-","NT","ACTIVE","I.D. Cowie 2020","ACTIVE","Evergreen","-","-","-","-","-","-","-","Tree","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5851","5851","-","-"
"View","ACANTHACEAE Avicennia marina (Forssk.) Vierh.","-","-","Y","-","NT","ACTIVE","I.D. Cowie 2020","ACTIVE","Evergreen","-","-","-","-","-","-","-","Tree","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5852","5852","-","-"
"View","ACANTHACEAE Avicennia marina (Forssk.) Vierh. subsp. eucalyptifolia (Valeton) J.Everett","N","N","Y","N","NT","ACTIVE","I.D. Cowie 2020","ACTIVE","Evergreen","-","-","-","-","-","-","-","Tree","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5854","5854","-","-"
"-","ACANTHACEAE Barleria","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","-","-"
"-","ACANTHACEAE Barleria cristata L.","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27166","Without swollen storage structure","-"
"-","ACANTHACEAE Barleria lupulina Lindl.","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","Without swollen storage structure","-"
"-","ACANTHACEAE Barleria prionitis L.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","Without swollen storage structure","-"
"-","ACANTHACEAE Brunoniella","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11","-","-"
"-","ACANTHACEAE Brunoniella acaulis (R.Br.) Bremek.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12","With distinct swollen storage structure from which resprouting may occur","-"
"-","ACANTHACEAE Brunoniella acaulis (R.Br.) Bremek. subsp. acaulis","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","With distinct swollen storage structure from which resprouting may occur","-"
"View","ACANTHACEAE Brunoniella australis (Cav.) Bremek.","-","-","Y","-","NT","ACTIVE","Yates 2003, JRS 2004, Liddle 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Resprouter","-","-","Forb","Forb","-","Perennial, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Underground storage organs (bulbs/tubers)","-","Soil-stored seed","14","14","With distinct swollen storage structure from which resprouting may occur","Plants always discrete (includes shortly rhizomatous)"
"View","ACANTHACEAE Brunoniella linearifolia R.M.Barker","Y","-","Y","-","NT","ACTIVE","cowie 2021","ACTIVE","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15","15","With distinct swollen storage structure from which resprouting may occur","-"
"View","ACANTHACEAE Brunoniella sp. Daly River Road (N.Byrnes 1275) R.M.Barker","Y","N","Y","-","NT","ACTIVE","I.D. Cowie","Name Updated","-","-","-","-","-","-","-","Forb","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1049899","1049899","With distinct swollen storage structure from which resprouting may occur","-"
"-","ACANTHACEAE Dicliptera","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16","-","-"
"View","ACANTHACEAE Dicliptera armata F.Muell.","-","-","Y","-","SR","ACTIVE","Yates 2003, JRS 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","17","17","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ACANTHACEAE Dicliptera arnhemica R.M.Barker","Y","-","Y","-","NT","ACTIVE","Liddle 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","18","18","-","-"
"-","ACANTHACEAE Dicliptera australis (Nees) R.M.Barker","Y","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19","-","-"
"View","ACANTHACEAE Dicliptera ciliata Decne.","-","-","Y","-","NT","ACTIVE","JRS 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","20","20","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ACANTHACEAE Dicliptera spicata Decne.","-","-","Y","-","NT","ACTIVE","KNP plots, JRS 2004, Liddle 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","21","21","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ACANTHACEAE Dipteracanthus","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22","-","-"
"-","ACANTHACEAE Dipteracanthus australasicus F.Muell.","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23","-","-"
"View","ACANTHACEAE Dipteracanthus australasicus F.Muell. subsp. australasicus","-","-","Y","-","SR","ACTIVE","Latz 2004","-","Evergreen","-","-","N","Seeder, Faculative resprouter","-","-","Shrub, Subshrub","Shrub","-","Perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","Soil-stored seed","24","24","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ACANTHACEAE Dipteracanthus australasicus F.Muell. subsp. dalyensis R.M.Barker","Y","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","With distinct swollen storage structure from which resprouting may occur","-"
"-","ACANTHACEAE Dipteracanthus bracteatus (R.Br.) Nees","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26","With distinct swollen storage structure from which resprouting may occur","-"
"View","ACANTHACEAE Dipteracanthus prostratus (Poir.) Nees","N","N","Y","N","NT","ACTIVE","I.D. Cowie","ACTIVE","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25691","25691","-","-"
"-","ACANTHACEAE Graptophyllum","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27","-","-"
